"","x"
"Wave_500",0.464182221993282
"Wave_501",0.465192581982181
"Wave_502",0.467575803340822
"Wave_503",0.469372569397744
"Wave_504",0.471596784554302
"Wave_505",0.474938373210961
"Wave_506",0.478572018810485
"Wave_507",0.481858934684025
"Wave_508",0.487370904925242
"Wave_509",0.493227354787513
"Wave_510",0.499180435439699
"Wave_511",0.506419959105393
"Wave_512",0.514234522336443
"Wave_513",0.524192684273438
"Wave_514",0.535529947056301
"Wave_515",0.548378079557752
"Wave_516",0.56234459633405
"Wave_517",0.578450532192808
"Wave_518",0.59602776398103
"Wave_519",0.613906235830175
"Wave_520",0.631738306304625
"Wave_521",0.65050367159789
"Wave_522",0.669237936496879
"Wave_523",0.688037847063951
"Wave_524",0.706695380964328
"Wave_525",0.725739170823031
"Wave_526",0.742106563589376
"Wave_527",0.758861453471032
"Wave_528",0.774232041414084
"Wave_529",0.78918360190364
"Wave_530",0.803580171982948
"Wave_531",0.818248077284008
"Wave_532",0.834339805879338
"Wave_533",0.850929785574263
"Wave_534",0.866315614531216
"Wave_535",0.882288354261902
"Wave_536",0.899152033854241
"Wave_537",0.914827076195282
"Wave_538",0.930439814343126
"Wave_539",0.946340567038077
"Wave_540",0.962174949199132
"Wave_541",0.975915123819847
"Wave_542",0.99572191817582
"Wave_543",1.01003145464985
"Wave_544",1.02459815589373
"Wave_545",1.04109032611253
"Wave_546",1.05425962432371
"Wave_547",1.06955232705966
"Wave_548",1.08625119349248
"Wave_549",1.10324725879342
"Wave_550",1.12117193245043
"Wave_551",1.13329686417414
"Wave_552",1.14092956170775
"Wave_553",1.14971513219368
"Wave_554",1.16303491776157
"Wave_555",1.1734061612758
"Wave_556",1.18087655778499
"Wave_557",1.18247551153795
"Wave_558",1.17466400600948
"Wave_559",1.1694968798923
"Wave_560",1.17048701053337
"Wave_561",1.17221410004866
"Wave_562",1.17617764907282
"Wave_563",1.18099335416469
"Wave_564",1.18530599937103
"Wave_565",1.18378633769495
"Wave_566",1.17953634269934
"Wave_567",1.17089458712493
"Wave_568",1.16213109469167
"Wave_569",1.15200091023467
"Wave_570",1.1403243681511
"Wave_571",1.12309400414863
"Wave_572",1.1063437569953
"Wave_573",1.08940967766097
"Wave_574",1.07439798371908
"Wave_575",1.05936295412931
"Wave_576",1.04368781342664
"Wave_577",1.02813842712234
"Wave_578",1.01524990726702
"Wave_579",1.00206311762509
"Wave_580",0.990088395230201
"Wave_581",0.979590966587589
"Wave_582",0.969331661871511
"Wave_583",0.960180540111115
"Wave_584",0.949938652860014
"Wave_585",0.940407988943899
"Wave_586",0.930948623724235
"Wave_587",0.921728140948917
"Wave_588",0.913120632141004
"Wave_589",0.904387092159649
"Wave_590",0.896678471952919
"Wave_591",0.890590756093085
"Wave_592",0.885824315804371
"Wave_593",0.882544357723022
"Wave_594",0.880114778514749
"Wave_595",0.878692536928992
"Wave_596",0.878219421043176
"Wave_597",0.878798176481837
"Wave_598",0.879464715934146
"Wave_599",0.88024013999862
"Wave_600",0.880910329747037
"Wave_601",0.881171546184969
"Wave_602",0.881715763452513
"Wave_603",0.881411622955104
"Wave_604",0.880790328063111
"Wave_605",0.880243353648174
"Wave_606",0.879380626429957
"Wave_607",0.875718173392202
"Wave_608",0.871901910747527
"Wave_609",0.868745659999142
"Wave_610",0.865219460352571
"Wave_611",0.861690004555572
"Wave_612",0.857743074612022
"Wave_613",0.852986917373159
"Wave_614",0.848629982731092
"Wave_615",0.84478897978446
"Wave_616",0.841738247443244
"Wave_617",0.839836012288385
"Wave_618",0.838136426389878
"Wave_619",0.836596767618644
"Wave_620",0.835971459830623
"Wave_621",0.836669039198251
"Wave_622",0.836637912985187
"Wave_623",0.836837925580007
"Wave_624",0.83693914661464
"Wave_625",0.838453635069556
"Wave_626",0.840776545537881
"Wave_627",0.843798228345207
"Wave_628",0.844847594403984
"Wave_629",0.848177402074205
"Wave_630",0.849325425636985
"Wave_631",0.849627792256381
"Wave_632",0.850309050269986
"Wave_633",0.849270326868855
"Wave_634",0.846484205690373
"Wave_635",0.843663540586472
"Wave_636",0.83878523722285
"Wave_637",0.832351229825107
"Wave_638",0.827098679463656
"Wave_639",0.821836470513462
"Wave_640",0.814347243477452
"Wave_641",0.807339865414579
"Wave_642",0.799519701257104
"Wave_643",0.790684330833223
"Wave_644",0.784277013144758
"Wave_645",0.777487620289881
"Wave_646",0.770195483909798
"Wave_647",0.763865299474101
"Wave_648",0.758882926245393
"Wave_649",0.753828969485183
"Wave_650",0.750381435515913
"Wave_651",0.747818496665736
"Wave_652",0.744824510803734
"Wave_653",0.744223069491052
"Wave_654",0.744138252327214
"Wave_655",0.744459527423427
"Wave_656",0.744822890552713
"Wave_657",0.742335590143537
"Wave_658",0.741232897451855
"Wave_659",0.74233025347357
"Wave_660",0.745264877681026
"Wave_661",0.754447250667212
"Wave_662",0.765196532311011
"Wave_663",0.773916547555029
"Wave_664",0.778438667629367
"Wave_665",0.789784657534301
"Wave_666",0.796687907003728
"Wave_667",0.797880991767183
"Wave_668",0.793961290167356
"Wave_669",0.784313405610964
"Wave_670",0.776680837514847
"Wave_671",0.770200272159134
"Wave_672",0.771059229235834
"Wave_673",0.768913017594631
"Wave_674",0.766415202315913
"Wave_675",0.767682773701953
"Wave_676",0.772721609365769
"Wave_677",0.781643152001785
"Wave_678",0.792506689208618
"Wave_679",0.796918188199205
"Wave_680",0.80022528810919
"Wave_681",0.799703995943651
"Wave_682",0.79752283296084
"Wave_683",0.793105053322063
"Wave_684",0.789316497376412
"Wave_685",0.78607037707862
"Wave_686",0.785318977909545
"Wave_687",0.794952206002566
"Wave_688",0.822158199582952
"Wave_689",0.866243625078621
"Wave_690",0.922648156164244
"Wave_691",0.993659208947757
"Wave_692",1.08255129010485
"Wave_693",1.18141413525859
"Wave_694",1.29229020657153
"Wave_695",1.36445680217797
"Wave_696",1.44093097334575
"Wave_697",1.52578991165839
"Wave_698",1.61807581956524
"Wave_699",1.6946110527284
"Wave_700",1.75614465688491
"Wave_701",1.82453508488211
"Wave_702",1.86202150315236
"Wave_703",1.88788392591689
"Wave_704",1.93667405019283
"Wave_705",1.99225362215719
"Wave_706",1.98648371314357
"Wave_707",2.00678714360644
"Wave_708",2.04349781772285
"Wave_709",2.06852611732741
"Wave_710",2.08523570798738
"Wave_711",2.09684963942746
"Wave_712",2.11274552824222
"Wave_713",2.13740078690704
"Wave_714",2.14144893810497
"Wave_715",2.15268156252278
"Wave_716",2.16841216100082
"Wave_717",2.18157688932583
"Wave_718",2.16797076169333
"Wave_719",2.15436702816753
"Wave_720",2.13427863321628
"Wave_721",2.12504565389957
"Wave_722",2.11742340283972
"Wave_723",2.09039561215324
"Wave_724",2.05605255401318
"Wave_725",2.01864094474461
"Wave_726",1.97863322280785
"Wave_727",1.93343109080161
"Wave_728",1.88008345779834
"Wave_729",1.82349544089396
"Wave_730",1.74534412529635
"Wave_731",1.67701387780908
"Wave_732",1.61373800489142
"Wave_733",1.56788291081498
"Wave_734",1.51376703095105
"Wave_735",1.45459371186336
"Wave_736",1.40205824253731
"Wave_737",1.34256845658578
"Wave_738",1.31617131137468
"Wave_739",1.2884999336161
"Wave_740",1.26985497026509
"Wave_741",1.2518327198005
"Wave_742",1.24536959408215
"Wave_743",1.24868377812917
"Wave_744",1.25792073451438
"Wave_745",1.26215775303368
"Wave_746",1.28007700716555
"Wave_747",1.29049760840386
"Wave_748",1.30307626757582
"Wave_749",1.31710778700866
