"","CN_ratio.5.comps"
"(Intercept)",25.5316452014807
"Wave_500",0.00152051150973943
"Wave_501",0.00168029426301549
"Wave_502",0.0017541218663759
"Wave_503",0.00187841330791275
"Wave_504",0.0020831713452794
"Wave_505",0.0022379526029745
"Wave_506",0.0023653557447711
"Wave_507",0.00258380860044447
"Wave_508",0.00267561547829929
"Wave_509",0.00277277456976342
"Wave_510",0.00302524609988131
"Wave_511",0.00324962331830124
"Wave_512",0.00348659789207382
"Wave_513",0.00374221390601811
"Wave_514",0.00393989461283409
"Wave_515",0.00425742862945681
"Wave_516",0.00464023591833451
"Wave_517",0.00499036062822261
"Wave_518",0.00520212690983025
"Wave_519",0.00523381951659712
"Wave_520",0.00529153635890964
"Wave_521",0.00550681916329414
"Wave_522",0.00565435302601553
"Wave_523",0.00561279931607031
"Wave_524",0.00556440466767143
"Wave_525",0.0055574361059829
"Wave_526",0.00532003504414092
"Wave_527",0.00486314261566116
"Wave_528",0.00419313786266641
"Wave_529",0.00348867683630586
"Wave_530",0.00278868375171478
"Wave_531",0.00226837792486211
"Wave_532",0.00170417860569295
"Wave_533",0.00089723342731284
"Wave_534",0.000275505007232947
"Wave_535",-0.000590924705638401
"Wave_536",-0.00143523729099699
"Wave_537",-0.00195978106761264
"Wave_538",-0.00249372548603805
"Wave_539",-0.00316045224867302
"Wave_540",-0.00376815451725031
"Wave_541",-0.00426704275846491
"Wave_542",-0.00520938868812168
"Wave_543",-0.00571531561538446
"Wave_544",-0.00618919515785198
"Wave_545",-0.00668873352927453
"Wave_546",-0.00665723828528569
"Wave_547",-0.0066393856911581
"Wave_548",-0.00668518918192513
"Wave_549",-0.0070978323192759
"Wave_550",-0.00768809242233258
"Wave_551",-0.00829300915495551
"Wave_552",-0.00871111624712378
"Wave_553",-0.00910226399536519
"Wave_554",-0.00961098655125884
"Wave_555",-0.0099699786028959
"Wave_556",-0.0102665286537053
"Wave_557",-0.0105407676645462
"Wave_558",-0.0105471584496493
"Wave_559",-0.0105184818477371
"Wave_560",-0.0107837974820674
"Wave_561",-0.0108639661264199
"Wave_562",-0.0108969984884171
"Wave_563",-0.0109158032155816
"Wave_564",-0.0109124125628548
"Wave_565",-0.0107270087391889
"Wave_566",-0.0104554814868314
"Wave_567",-0.0100523845368802
"Wave_568",-0.00971787666358392
"Wave_569",-0.00932193495967242
"Wave_570",-0.00892617291294422
"Wave_571",-0.00827496270514681
"Wave_572",-0.00770935089227723
"Wave_573",-0.0071047334732171
"Wave_574",-0.00661089442306196
"Wave_575",-0.00606945468819952
"Wave_576",-0.00544655434358314
"Wave_577",-0.0048600324903516
"Wave_578",-0.0044476767719465
"Wave_579",-0.00386370422025864
"Wave_580",-0.00333349051228407
"Wave_581",-0.00291471631327056
"Wave_582",-0.00248827069947164
"Wave_583",-0.0021693057223104
"Wave_584",-0.00166883440328994
"Wave_585",-0.00111682886775472
"Wave_586",-0.00046042063845343
"Wave_587",0.000178191194874758
"Wave_588",0.000739135048556168
"Wave_589",0.00126869966431069
"Wave_590",0.00186987917080084
"Wave_591",0.002376917510808
"Wave_592",0.00278717954159918
"Wave_593",0.00316133742934077
"Wave_594",0.00355693766562509
"Wave_595",0.00403877645594517
"Wave_596",0.00448822673780024
"Wave_597",0.00484669197061271
"Wave_598",0.00515308207828008
"Wave_599",0.00543743445330315
"Wave_600",0.00573657965023601
