"","Jmax_Spec_Tleaf.9.comps"
"(Intercept)",92.0550984409903
"Wave_500",-0.120624101487961
"Wave_501",-0.111557723319383
"Wave_502",-0.102183195208217
"Wave_503",-0.0932511480506447
"Wave_504",-0.0840974545570641
"Wave_505",-0.075209622754575
"Wave_506",-0.0645245464390399
"Wave_507",-0.0501441509941392
"Wave_508",-0.0388162344225872
"Wave_509",-0.0288438367774347
"Wave_510",-0.0205345322262397
"Wave_511",-0.014014915683814
"Wave_512",-0.00462265327793464
"Wave_513",0.00608780598524981
"Wave_514",0.0157452354768726
"Wave_515",0.0246729914318722
"Wave_516",0.0334038859576028
"Wave_517",0.042429194705692
"Wave_518",0.044046914985161
"Wave_519",0.0386747813842478
"Wave_520",0.0287272562096805
"Wave_521",0.0201704613432078
"Wave_522",0.0121326604596536
"Wave_523",0.0033670540414456
"Wave_524",-0.00752750056197045
"Wave_525",-0.0196531308624673
"Wave_526",-0.0335922843952929
"Wave_527",-0.049882002310796
"Wave_528",-0.070506034005687
"Wave_529",-0.0810952573914886
"Wave_530",-0.0885250235148856
"Wave_531",-0.098657128544721
"Wave_532",-0.111618365880355
"Wave_533",-0.122282370469753
"Wave_534",-0.131154173640146
"Wave_535",-0.140159329763831
"Wave_536",-0.14570250525117
"Wave_537",-0.151551641241364
"Wave_538",-0.160219674452158
"Wave_539",-0.16564140008833
"Wave_540",-0.167662627517358
"Wave_541",-0.166792547225452
"Wave_542",-0.168905605592874
"Wave_543",-0.170319246010568
"Wave_544",-0.169926197575322
"Wave_545",-0.167324418667045
"Wave_546",-0.150971835813183
"Wave_547",-0.132952744394294
"Wave_548",-0.117419495154213
"Wave_549",-0.122331476433246
"Wave_550",-0.107104122058561
"Wave_551",-0.0839629905601729
"Wave_552",-0.0631637641104583
"Wave_553",-0.0569017645959492
"Wave_554",-0.0561780061010194
"Wave_555",-0.0569205186201527
"Wave_556",-0.0296117325114785
"Wave_557",-0.013706875021195
"Wave_558",-0.00405204130995704
"Wave_559",0.00404148233381074
"Wave_560",-0.0091030435792235
"Wave_561",-0.0102998867961274
"Wave_562",-0.00503197481733102
"Wave_563",-0.00966482147180617
"Wave_564",-0.0111229546663522
"Wave_565",-0.0103162760057847
"Wave_566",-0.00751014926890991
"Wave_567",-0.00303142451401415
"Wave_568",0.00402998356006434
"Wave_569",0.0129388563487548
"Wave_570",0.0247041340516852
"Wave_571",0.0418721028488553
"Wave_572",0.0595014009960409
"Wave_573",0.0743404632533914
"Wave_574",0.0859704383876442
"Wave_575",0.102506928624075
"Wave_576",0.119958529503308
"Wave_577",0.136902310171345
"Wave_578",0.149759054387653
"Wave_579",0.161811264983019
"Wave_580",0.173682070283567
"Wave_581",0.178998867789358
"Wave_582",0.186998928804444
"Wave_583",0.196427832945315
"Wave_584",0.205683545888305
"Wave_585",0.21900375037763
"Wave_586",0.233208716819988
"Wave_587",0.24968138693678
"Wave_588",0.269940561107725
"Wave_589",0.280074773860659
"Wave_590",0.288939865943128
"Wave_591",0.297461921415548
"Wave_592",0.302495986487645
"Wave_593",0.311438754785214
"Wave_594",0.321465841426914
"Wave_595",0.330252828783327
"Wave_596",0.336283589992903
"Wave_597",0.342698096765925
"Wave_598",0.349244280793182
"Wave_599",0.355605275193207
"Wave_600",0.363012685268653
"Wave_601",0.369930360317784
"Wave_602",0.374273129117249
"Wave_603",0.379741633652972
"Wave_604",0.384478670397098
"Wave_605",0.388999711067465
