"","x"
"Wave_500",0.819726490954848
"Wave_501",0.806986118891158
"Wave_502",0.796159702749604
"Wave_503",0.783571385091959
"Wave_504",0.767783353102281
"Wave_505",0.751935410063625
"Wave_506",0.735393471007322
"Wave_507",0.717049393158997
"Wave_508",0.698649741912574
"Wave_509",0.679189455339065
"Wave_510",0.658891035452924
"Wave_511",0.63847773184591
"Wave_512",0.617677005556831
"Wave_513",0.598781764360908
"Wave_514",0.580098386961391
"Wave_515",0.565511233190487
"Wave_516",0.554373100760743
"Wave_517",0.545258311281048
"Wave_518",0.536116471709483
"Wave_519",0.528748447310523
"Wave_520",0.521276373170808
"Wave_521",0.518786930854441
"Wave_522",0.519539200480352
"Wave_523",0.525333346702586
"Wave_524",0.533299283574857
"Wave_525",0.542893324706639
"Wave_526",0.5548229530412
"Wave_527",0.56760314968594
"Wave_528",0.581325408628836
"Wave_529",0.597849315544291
"Wave_530",0.616698176344517
"Wave_531",0.6351551626868
"Wave_532",0.655049270518299
"Wave_533",0.675897934929125
"Wave_534",0.70040721392915
"Wave_535",0.7243574967121
"Wave_536",0.746717247682818
"Wave_537",0.768093122373948
"Wave_538",0.78572150226051
"Wave_539",0.802960873561513
"Wave_540",0.82227347415854
"Wave_541",0.844551497403527
"Wave_542",0.870511683525114
"Wave_543",0.895899398116132
"Wave_544",0.918257331072059
"Wave_545",0.934585922795839
"Wave_546",0.922747568073944
"Wave_547",0.905743870075521
"Wave_548",0.894067168743193
"Wave_549",0.904037789188584
"Wave_550",0.917838819684718
"Wave_551",0.932889117163737
"Wave_552",0.952225204415633
"Wave_553",0.97198874636243
"Wave_554",0.987276467349126
"Wave_555",0.998673188269709
"Wave_556",1.0102921913323
"Wave_557",1.02103906168758
"Wave_558",1.03046332762592
"Wave_559",1.03703057188156
"Wave_560",1.03888588769831
"Wave_561",1.03620097530446
"Wave_562",1.03227966921917
"Wave_563",1.02627762016047
"Wave_564",1.02117973367831
"Wave_565",1.01619025681676
"Wave_566",1.01411063905813
"Wave_567",1.00796997554406
"Wave_568",1.00139420160087
"Wave_569",0.989199495512175
"Wave_570",0.967265102530447
"Wave_571",0.943718107222098
"Wave_572",0.921032596746309
"Wave_573",0.898542841902628
"Wave_574",0.872723742298414
"Wave_575",0.84728890568949
"Wave_576",0.822023544395422
"Wave_577",0.798353442080247
"Wave_578",0.779605824474718
"Wave_579",0.762293685954901
"Wave_580",0.748134518574468
"Wave_581",0.736763241743202
"Wave_582",0.726283928352111
"Wave_583",0.716886394092102
"Wave_584",0.70789291584728
"Wave_585",0.699502024622541
"Wave_586",0.691243643449263
"Wave_587",0.684102086823962
"Wave_588",0.679102564230726
"Wave_589",0.677248204814368
"Wave_590",0.676852867179151
"Wave_591",0.676765372181203
"Wave_592",0.675590617281194
"Wave_593",0.675573903819196
"Wave_594",0.676934869127847
"Wave_595",0.678870440216951
"Wave_596",0.681187115517443
"Wave_597",0.684551482463081
"Wave_598",0.688000223948594
"Wave_599",0.692654890938157
"Wave_600",0.697178319482529
"Wave_601",0.700699889057238
"Wave_602",0.705201154068128
"Wave_603",0.708532908295369
"Wave_604",0.711153193884314
"Wave_605",0.714762540042104
"Wave_606",0.720739474366855
"Wave_607",0.725788265798928
"Wave_608",0.731120742922149
"Wave_609",0.737256437120399
"Wave_610",0.744177452539704
"Wave_611",0.752535599419535
"Wave_612",0.760373035610814
"Wave_613",0.767769570018511
"Wave_614",0.775480735406398
"Wave_615",0.783304208400391
"Wave_616",0.790902089424876
"Wave_617",0.797439012433393
"Wave_618",0.804996054143228
"Wave_619",0.812706385199224
"Wave_620",0.820418558778894
"Wave_621",0.828065965293832
"Wave_622",0.836561597035825
"Wave_623",0.845707070547042
"Wave_624",0.8553694358566
"Wave_625",0.864626230105545
"Wave_626",0.873683392276047
"Wave_627",0.882382547276333
"Wave_628",0.891887568615487
"Wave_629",0.900447421200492
"Wave_630",0.909650426902883
"Wave_631",0.918531295247618
"Wave_632",0.924138105813197
"Wave_633",0.929855353699376
"Wave_634",0.93504267155771
"Wave_635",0.940528503401615
"Wave_636",0.946839300925962
"Wave_637",0.952701100719477
"Wave_638",0.958576658599597
"Wave_639",0.96478550468317
"Wave_640",0.971220073714471
"Wave_641",0.978370112600504
"Wave_642",0.986459754435705
"Wave_643",0.997873451373824
"Wave_644",1.00874560076827
"Wave_645",1.02047065619942
"Wave_646",1.03290966896061
"Wave_647",1.0460238642538
"Wave_648",1.05738683826886
"Wave_649",1.06649898553738
"Wave_650",1.0761926373097
"Wave_651",1.08448993675359
