"","LMA_gDW_m2.9.comps"
"(Intercept)",83.7508039911218
"Wave_500",0.187544847132567
"Wave_501",0.18166134813233
"Wave_502",0.17648786066376
"Wave_503",0.170205960187054
"Wave_504",0.161560406220774
"Wave_505",0.152840022626017
"Wave_506",0.14395623170641
"Wave_507",0.133889946503544
"Wave_508",0.123354473414069
"Wave_509",0.111918562083016
"Wave_510",0.0983546534938474
"Wave_511",0.0849604639121043
"Wave_512",0.071462986881239
"Wave_513",0.0576911104151276
"Wave_514",0.0407894591761661
"Wave_515",0.0239634491837144
"Wave_516",0.0085156613521341
"Wave_517",-0.00785191622228013
"Wave_518",-0.0227379654591327
"Wave_519",-0.0393611178069638
"Wave_520",-0.051617410950778
"Wave_521",-0.065566838234495
"Wave_522",-0.0790742457917747
"Wave_523",-0.0945714464582523
"Wave_524",-0.105532183552481
"Wave_525",-0.111687887470698
"Wave_526",-0.121308545830447
"Wave_527",-0.127675087143614
"Wave_528",-0.129458996711113
"Wave_529",-0.129444426148738
"Wave_530",-0.12921832240821
"Wave_531",-0.129053214540065
"Wave_532",-0.130997849730024
"Wave_533",-0.128257058036954
"Wave_534",-0.126894348020564
"Wave_535",-0.123360925143402
"Wave_536",-0.122928298398481
"Wave_537",-0.124276652116928
"Wave_538",-0.121870064694472
"Wave_539",-0.120896206010978
"Wave_540",-0.120376425483573
"Wave_541",-0.11966310029222
"Wave_542",-0.110306661850649
"Wave_543",-0.107412316380998
"Wave_544",-0.103216888782706
"Wave_545",-0.0966812162349782
"Wave_546",-0.0909169556057207
"Wave_547",-0.0897408918862301
"Wave_548",-0.0948999948819903
"Wave_549",-0.104297700836757
"Wave_550",-0.104139560978099
"Wave_551",-0.0945986193733346
"Wave_552",-0.0799756712964288
"Wave_553",-0.0731711586270142
"Wave_554",-0.0673884243768497
"Wave_555",-0.0624211817503126
"Wave_556",-0.0492177424840585
"Wave_557",-0.0346473379836844
"Wave_558",-0.0221422379370478
"Wave_559",-0.0154902013158156
"Wave_560",-0.014785475050795
"Wave_561",-0.0162188729072521
"Wave_562",-0.0171306846037738
"Wave_563",-0.0150466663051634
"Wave_564",-0.0097494934145062
"Wave_565",-0.00926200516250213
"Wave_566",-0.00941540802469415
"Wave_567",-0.0119252533178198
"Wave_568",-0.0125173955521649
"Wave_569",-0.0141707518532966
"Wave_570",-0.015700302532141
"Wave_571",-0.0170803058365858
"Wave_572",-0.0194659333856849
"Wave_573",-0.0210125531819019
"Wave_574",-0.0245473543279153
"Wave_575",-0.0255985282457051
"Wave_576",-0.0271062858044174
"Wave_577",-0.030091263774126
"Wave_578",-0.0326518119627332
"Wave_579",-0.035030147586281
"Wave_580",-0.0357790285694318
"Wave_581",-0.0359927410780491
"Wave_582",-0.0366784995785191
"Wave_583",-0.0379809812836513
"Wave_584",-0.0387865984640088
"Wave_585",-0.0399428294766109
"Wave_586",-0.0412843229435381
"Wave_587",-0.0431178605507857
"Wave_588",-0.0432809642854902
"Wave_589",-0.0441688087554001
"Wave_590",-0.0435381233214565
"Wave_591",-0.0434529521730994
"Wave_592",-0.0431988879464979
"Wave_593",-0.0425916988769259
"Wave_594",-0.0432603384993646
"Wave_595",-0.0426701503297419
"Wave_596",-0.0432210821346371
"Wave_597",-0.0436659355507877
"Wave_598",-0.0432183400654709
"Wave_599",-0.0436533824232869
"Wave_600",-0.0433117569132853
"Wave_601",-0.040975890915641
"Wave_602",-0.0403416925025886
"Wave_603",-0.038166440688712
"Wave_604",-0.0351933683168306
"Wave_605",-0.032711279505272
"Wave_606",-0.0314268002769043
"Wave_607",-0.02824839362358
"Wave_608",-0.0247951481560386
"Wave_609",-0.0217879605509234
"Wave_610",-0.0198287935414495
"Wave_611",-0.0179559701256735
"Wave_612",-0.014911362177526
"Wave_613",-0.0105206757140948
"Wave_614",-0.00855463385757941
"Wave_615",-0.00664315464951592
"Wave_616",-0.00414837353119047
"Wave_617",-0.00260921154863832
"Wave_618",-0.00141260532661433
"Wave_619",0.000153904524766123
"Wave_620",0.00134090678672583
"Wave_621",0.00252828008180378
"Wave_622",0.00294995122633244
"Wave_623",0.00261441287160662
"Wave_624",0.00273049071673534
"Wave_625",0.00166556558789562
"Wave_626",0.000820694460071242
"Wave_627",3.55273167655032e-05
"Wave_628",0.000379536462989293
"Wave_629",-0.000272729794677448
"Wave_630",-0.00145251519264399
"Wave_631",-0.0038338321552635
"Wave_632",-0.00325916779101076
"Wave_633",-0.00170569585164551
"Wave_634",0.00159600314434739
"Wave_635",0.00566231553004248
"Wave_636",0.0103903429770192
"Wave_637",0.0157668982663742
"Wave_638",0.0224576598594275
"Wave_639",0.0277747268691502
"Wave_640",0.0357280145155351
"Wave_641",0.0446202506338585
"Wave_642",0.0533405523048322
"Wave_643",0.0622553182817975
"Wave_644",0.0703454914334061
"Wave_645",0.0787192144391148
"Wave_646",0.0868894179958951
"Wave_647",0.0967502736523768
"Wave_648",0.105325241961616
"Wave_649",0.110604254803093
"Wave_650",0.114428133415432
"Wave_651",0.116791844103762
"Wave_652",0.118679113543183
"Wave_653",0.121240285465102
"Wave_654",0.123790037311537
"Wave_655",0.127364370995406
"Wave_656",0.133161899638531
"Wave_657",0.139646772645873
"Wave_658",0.148091531882177
"Wave_659",0.152853780805387
"Wave_660",0.160140085461428
"Wave_661",0.16900173280606
"Wave_662",0.17944003378802
"Wave_663",0.185795867779634
"Wave_664",0.189256593321009
"Wave_665",0.192245604856574
"Wave_666",0.195485453121767
"Wave_667",0.206447267293813
"Wave_668",0.213054158801379
"Wave_669",0.216814165426795
"Wave_670",0.217870703515643
"Wave_671",0.219257228080433
"Wave_672",0.22089464402743
"Wave_673",0.22273448185187
"Wave_674",0.223803267085194
"Wave_675",0.225963790033531
"Wave_676",0.224650301927704
"Wave_677",0.222254371482165
"Wave_678",0.217485160678103
"Wave_679",0.211469207617184
"Wave_680",0.206378259711881
"Wave_681",0.199627327893305
"Wave_682",0.19328224482419
"Wave_683",0.18586040715323
"Wave_684",0.17264025041163
"Wave_685",0.156463065901498
"Wave_686",0.135346496134335
"Wave_687",0.109460816534102
"Wave_688",0.0841016190713604
"Wave_689",0.0567766515552046
"Wave_690",0.0256578221675735
"Wave_691",-0.00407595938838014
"Wave_692",-0.0360389966672903
"Wave_693",-0.0696383929012068
"Wave_694",-0.0973704235796374
"Wave_695",-0.117722086747762
"Wave_696",-0.138961277133729
"Wave_697",-0.151825975845461
"Wave_698",-0.181112706840869
"Wave_699",-0.202101614315269
"Wave_700",-0.198730172850279
"Wave_701",-0.197354628251707
"Wave_702",-0.200025100439142
"Wave_703",-0.196947013030046
"Wave_704",-0.186246506556408
"Wave_705",-0.175633560103859
"Wave_706",-0.155869377265847
"Wave_707",-0.15126949050858
"Wave_708",-0.141231672717821
"Wave_709",-0.132497463025607
"Wave_710",-0.113159662073675
"Wave_711",-0.0837472766704403
"Wave_712",-0.0671393691989216
"Wave_713",-0.0730766577891668
"Wave_714",-0.0412292430224441
"Wave_715",-0.030478513782312
"Wave_716",-0.0400542471041853
"Wave_717",-0.0607750722441148
"Wave_718",-0.0396012496386505
"Wave_719",0.00645435888618895
"Wave_720",0.0683115744953891
"Wave_721",0.0792081368842566
"Wave_722",0.0799108139057211
