"","LMA_gDW_m2.10.comps"
"(Intercept)",81.316183676168
"Wave_500",0.302338758264343
"Wave_501",0.294358965893716
"Wave_502",0.286816321070785
"Wave_503",0.278104362088555
"Wave_504",0.2677485026828
"Wave_505",0.257091567391612
"Wave_506",0.246072059496675
"Wave_507",0.233970338297409
"Wave_508",0.221201201571748
"Wave_509",0.207366773724992
"Wave_510",0.193182209013062
"Wave_511",0.176888111464384
"Wave_512",0.15970359330937
"Wave_513",0.141788065451437
"Wave_514",0.11957453173012
"Wave_515",0.0941411035881264
"Wave_516",0.0698654228822929
"Wave_517",0.0448999144745443
"Wave_518",0.0269163671196547
"Wave_519",0.00847415819443804
"Wave_520",-0.00486489490983361
"Wave_521",-0.0214660888200659
"Wave_522",-0.0371902204027137
"Wave_523",-0.0553619519803017
"Wave_524",-0.069922544749778
"Wave_525",-0.08294008278675
"Wave_526",-0.0976575316537837
"Wave_527",-0.108065267533516
"Wave_528",-0.111591001758969
"Wave_529",-0.107914157127274
"Wave_530",-0.103940111381084
"Wave_531",-0.104429400913893
"Wave_532",-0.109872724326731
"Wave_533",-0.107355588046275
"Wave_534",-0.104537349354728
"Wave_535",-0.10147178644139
"Wave_536",-0.1024556064368
"Wave_537",-0.10581843841741
"Wave_538",-0.105830763569415
"Wave_539",-0.106721365285818
"Wave_540",-0.107201217602942
"Wave_541",-0.106848208045183
"Wave_542",-0.0934526016592147
"Wave_543",-0.0874356884579855
"Wave_544",-0.0799579404885941
"Wave_545",-0.0726262151058851
"Wave_546",-0.0821349877721095
"Wave_547",-0.101737648016668
"Wave_548",-0.131232870099285
"Wave_549",-0.157762434060309
"Wave_550",-0.159810199442743
"Wave_551",-0.142135692513434
"Wave_552",-0.112302465179801
"Wave_553",-0.0988210362658816
"Wave_554",-0.0924964968752534
"Wave_555",-0.0919600524667237
"Wave_556",-0.0786578287735294
"Wave_557",-0.0600841252217498
"Wave_558",-0.0420191296365901
"Wave_559",-0.028096719873973
"Wave_560",-0.0206412123179172
"Wave_561",-0.0125538571248698
"Wave_562",-0.00247475162116514
"Wave_563",0.0099730495076079
"Wave_564",0.026676490131879
"Wave_565",0.0385359974823349
"Wave_566",0.049948357416202
"Wave_567",0.0562593805151601
"Wave_568",0.0646035756746774
"Wave_569",0.0698823167880422
"Wave_570",0.0692375181222635
"Wave_571",0.070241730395116
"Wave_572",0.0710078021338551
"Wave_573",0.0707684713010955
"Wave_574",0.0658393210823416
"Wave_575",0.0618235954969872
"Wave_576",0.0565960637028741
"Wave_577",0.0502559149742634
"Wave_578",0.0458684461977681
"Wave_579",0.0414178705042625
"Wave_580",0.0391572051842164
"Wave_581",0.0379083012859948
"Wave_582",0.0360605073564036
"Wave_583",0.0335934806796817
"Wave_584",0.0311321785005742
"Wave_585",0.0266331540335666
"Wave_586",0.0207242723934793
"Wave_587",0.0132216686113803
"Wave_588",0.00490730309021018
"Wave_589",-0.0030542868196731
"Wave_590",-0.00715372189967952
"Wave_591",-0.00969462150281739
"Wave_592",-0.00650226947348423
"Wave_593",-0.00531634781256107
"Wave_594",-0.00613316681898651
"Wave_595",-0.00602005942150143
"Wave_596",-0.00580299168715877
"Wave_597",-0.00685260966164832
"Wave_598",-0.00842300216316064
"Wave_599",-0.0112034146787517
"Wave_600",-0.0118373369110152
"Wave_601",-0.00935387472127519
"Wave_602",-0.00867871317575
"Wave_603",-0.00679259279055458
"Wave_604",-0.00251567499448995
"Wave_605",0.00154641701515578
"Wave_606",0.00248798525005493
"Wave_607",0.00404872093360032
"Wave_608",0.00560969550537809
"Wave_609",0.00666145021922828
"Wave_610",0.00701181545193677
"Wave_611",0.00792979598131983
"Wave_612",0.00981744117431481
"Wave_613",0.012598864178271
"Wave_614",0.0129929707471035
"Wave_615",0.0135201681337798
"Wave_616",0.0148656424868628
"Wave_617",0.0167332249888032
"Wave_618",0.0176695629297762
"Wave_619",0.0189817917411456
"Wave_620",0.0197950648303044
"Wave_621",0.0194595954506564
"Wave_622",0.0175258464990614
"Wave_623",0.0139961775541468
"Wave_624",0.0106100279760566
"Wave_625",0.00567237873714472
"Wave_626",0.00201839831342531
"Wave_627",-0.0022343897863035
"Wave_628",-0.0072214838570182
"Wave_629",-0.00984098646795999
"Wave_630",-0.0123028651189291
"Wave_631",-0.0158641931962523
"Wave_632",-0.0141272517378409
"Wave_633",-0.00987588259248465
"Wave_634",-0.00308329252164486
"Wave_635",0.0055842296189535
"Wave_636",0.0148433147749198
"Wave_637",0.0229803480967662
"Wave_638",0.0313990233153701
"Wave_639",0.0378769227801499
"Wave_640",0.0468840625295257
"Wave_641",0.057624365273872
"Wave_642",0.0676919655100013
"Wave_643",0.0764468673117232
"Wave_644",0.0847837086580124
"Wave_645",0.0934326816094493
"Wave_646",0.102198708162899
"Wave_647",0.112462471078311
"Wave_648",0.120574987704583
"Wave_649",0.12491660738431
"Wave_650",0.128861394237564
"Wave_651",0.131275318230283
"Wave_652",0.132178598915668
"Wave_653",0.133978079882148
"Wave_654",0.134377146154636
"Wave_655",0.135206248907117
"Wave_656",0.139836006947283
"Wave_657",0.146701564783346
"Wave_658",0.155110474131176
"Wave_659",0.162531554040273
"Wave_660",0.172039116397431
"Wave_661",0.182679973741523
"Wave_662",0.195575838116659
"Wave_663",0.203188320262085
"Wave_664",0.203561351671315
"Wave_665",0.201500811292342
"Wave_666",0.200186977961996
"Wave_667",0.211495480954487
"Wave_668",0.216474186689521
"Wave_669",0.215886651625676
"Wave_670",0.213017209178543
"Wave_671",0.215298329732595
"Wave_672",0.217489464723627
"Wave_673",0.218198127761492
"Wave_674",0.218133669125752
"Wave_675",0.220324188190307
"Wave_676",0.219410947859549
