"","x"
"Wave_500",0.901619999045013
"Wave_501",0.887008607233556
"Wave_502",0.872444045688821
"Wave_503",0.855472996416976
"Wave_504",0.835558509109661
"Wave_505",0.814936882910498
"Wave_506",0.793219815828037
"Wave_507",0.770039971807812
"Wave_508",0.745216743594128
"Wave_509",0.718323374909482
"Wave_510",0.69159616906661
"Wave_511",0.662939181142756
"Wave_512",0.632826139667239
"Wave_513",0.604312764382257
"Wave_514",0.574125814695047
"Wave_515",0.547201004641083
"Wave_516",0.525847310894263
"Wave_517",0.50822118578371
"Wave_518",0.492437508569104
"Wave_519",0.479658365119872
"Wave_520",0.469327132298577
"Wave_521",0.46700106961898
"Wave_522",0.470285821767108
"Wave_523",0.480429100532702
"Wave_524",0.493309683452789
"Wave_525",0.509312401198407
"Wave_526",0.530177959099108
"Wave_527",0.549733552531511
"Wave_528",0.565958175106431
"Wave_529",0.578496447728266
"Wave_530",0.592354799582465
"Wave_531",0.609620120580196
"Wave_532",0.631813132443563
"Wave_533",0.649031992812076
"Wave_534",0.67045144325539
"Wave_535",0.691494189846591
"Wave_536",0.713455123834872
"Wave_537",0.735980975076113
"Wave_538",0.753180427994033
"Wave_539",0.771319454865733
"Wave_540",0.79129738786269
"Wave_541",0.813610080438184
"Wave_542",0.833142489035864
"Wave_543",0.856270561347265
"Wave_544",0.876675978117027
"Wave_545",0.892663208484504
"Wave_546",0.890450670147452
"Wave_547",0.88433574787538
"Wave_548",0.884069190965096
"Wave_549",0.905368142994066
"Wave_550",0.923895543038049
"Wave_551",0.936271656954362
"Wave_552",0.950016029484478
"Wave_553",0.96762931081535
"Wave_554",0.981131024295452
"Wave_555",0.990255063772887
"Wave_556",0.994137109775722
"Wave_557",0.993545232368221
"Wave_558",0.992417969161593
"Wave_559",0.992954876390919
"Wave_560",0.992024779138696
"Wave_561",0.989435640707984
"Wave_562",0.986585468703742
"Wave_563",0.982140102948821
"Wave_564",0.979138533350285
"Wave_565",0.975795816173941
"Wave_566",0.975416691489703
"Wave_567",0.970526869045955
"Wave_568",0.965066718459991
"Wave_569",0.95423611244955
"Wave_570",0.933757636195536
"Wave_571",0.912338497898386
"Wave_572",0.89032637424035
"Wave_573",0.867801743533731
"Wave_574",0.840520396427148
"Wave_575",0.813922396417771
"Wave_576",0.786213937688406
"Wave_577",0.759359740583702
"Wave_578",0.737748800899218
"Wave_579",0.716666594126253
"Wave_580",0.699568723199599
"Wave_581",0.685799794641732
"Wave_582",0.672618732276511
"Wave_583",0.660521907327657
"Wave_584",0.648326480752398
"Wave_585",0.635132233504003
"Wave_586",0.620840123826509
"Wave_587",0.60644222051307
"Wave_588",0.593674623303944
"Wave_589",0.585062260731983
"Wave_590",0.579355439518046
"Wave_591",0.576074597220436
"Wave_592",0.575861958335342
"Wave_593",0.57628637514823
"Wave_594",0.576334212176336
"Wave_595",0.577109744464665
"Wave_596",0.578526577928151
"Wave_597",0.580558063506883
"Wave_598",0.582981088631747
"Wave_599",0.585538084528224
"Wave_600",0.589101612158125
"Wave_601",0.593903400567918
"Wave_602",0.598000241756683
"Wave_603",0.602653028473174
"Wave_604",0.607946947220121
"Wave_605",0.613891066128775
"Wave_606",0.619868484633032
"Wave_607",0.626001175122237
"Wave_608",0.632457511940417
"Wave_609",0.639051904045155
"Wave_610",0.646433924943357
"Wave_611",0.654987539502084
"Wave_612",0.663527343356771
"Wave_613",0.672431298751664
"Wave_614",0.681092122807838
"Wave_615",0.69046935892898
"Wave_616",0.700248637797108
"Wave_617",0.708745595237928
"Wave_618",0.717641783484948
"Wave_619",0.727072686350015
"Wave_620",0.736018050136992
"Wave_621",0.744286176595536
"Wave_622",0.752996175106701
"Wave_623",0.761546376175139
"Wave_624",0.770332023302496
"Wave_625",0.777562649871936
"Wave_626",0.785860782123075
"Wave_627",0.793499600743013
"Wave_628",0.801933418692774
"Wave_629",0.809496596240181
"Wave_630",0.818254409576771
"Wave_631",0.826741293800718
"Wave_632",0.835180747371487
"Wave_633",0.843138296710739
"Wave_634",0.850869945066867
"Wave_635",0.858732500461855
"Wave_636",0.866842704027521
"Wave_637",0.875201509164592
"Wave_638",0.884966387959891
"Wave_639",0.895931904269183
"Wave_640",0.907739838786039
"Wave_641",0.919945022541977
"Wave_642",0.932918451664548
"Wave_643",0.947718075586871
"Wave_644",0.961915787540563
"Wave_645",0.976602098271906
"Wave_646",0.991346405356428
"Wave_647",1.00663681233113
"Wave_648",1.01994313643182
"Wave_649",1.02962839249137
"Wave_650",1.03970986964308
"Wave_651",1.04796689767992
"Wave_652",1.0542382148851
"Wave_653",1.06326982248085
"Wave_654",1.07323008424794
"Wave_655",1.08441941024148
"Wave_656",1.09605509757069
"Wave_657",1.10700212644752
"Wave_658",1.12174288569918
"Wave_659",1.13701488606065
"Wave_660",1.15233748172293
"Wave_661",1.17108393636044
"Wave_662",1.19300867990669
"Wave_663",1.21061997422813
"Wave_664",1.22202262861737
"Wave_665",1.23428202616673
"Wave_666",1.24744054391582
"Wave_667",1.26601421871391
"Wave_668",1.27945820358086
"Wave_669",1.28699680151391
"Wave_670",1.29076163300982
