"","Narea_g_m2.9.comps"
"(Intercept)",1.7126285809484
"Wave_500",0.00397023852333534
"Wave_501",0.00381066437357906
"Wave_502",0.00366854289881119
"Wave_503",0.00350938924510891
"Wave_504",0.00329128163061503
"Wave_505",0.0030655474751632
"Wave_506",0.00284552958448985
"Wave_507",0.00259463906633153
"Wave_508",0.00232480190022996
"Wave_509",0.00201501088247081
"Wave_510",0.00166168376570134
"Wave_511",0.00131602658213901
"Wave_512",0.000925678787259602
"Wave_513",0.000521074446974193
"Wave_514",5.46746019311567e-05
"Wave_515",-0.000449915960521077
"Wave_516",-0.0009669844906624
"Wave_517",-0.00150940681267511
"Wave_518",-0.00199869814567812
"Wave_519",-0.00248442903033774
"Wave_520",-0.00294628554305277
"Wave_521",-0.00346298728415067
"Wave_522",-0.00396213987269463
"Wave_523",-0.00445344625039357
"Wave_524",-0.00482790577059598
"Wave_525",-0.00506452250419934
"Wave_526",-0.00528417439191279
"Wave_527",-0.00543181093949314
"Wave_528",-0.00536859523316881
"Wave_529",-0.00529817149676348
"Wave_530",-0.00524659801274717
"Wave_531",-0.00520179986602096
"Wave_532",-0.00515169119528862
"Wave_533",-0.00498061773622117
"Wave_534",-0.00478962522859811
"Wave_535",-0.00444381616802551
"Wave_536",-0.00420516250746572
"Wave_537",-0.00402439758448097
"Wave_538",-0.00380976779952942
"Wave_539",-0.00351855859696978
"Wave_540",-0.00321036321973535
"Wave_541",-0.00297845391540011
"Wave_542",-0.00255539850812359
"Wave_543",-0.00229877563507012
"Wave_544",-0.00203320011296707
"Wave_545",-0.00164709229799243
"Wave_546",-0.00137723095752487
"Wave_547",-0.00122911030799884
"Wave_548",-0.0012751693380345
"Wave_549",-0.00122969934224822
"Wave_550",-0.00096375942037374
"Wave_551",-0.000398811063395598
"Wave_552",9.03944418957565e-05
"Wave_553",0.000514042637727679
"Wave_554",0.000854712367814003
"Wave_555",0.00119732275923428
"Wave_556",0.00143677647689531
"Wave_557",0.00161034443979701
"Wave_558",0.00172561610508221
"Wave_559",0.00176257703118928
"Wave_560",0.00205789922131459
"Wave_561",0.00231773007986211
"Wave_562",0.00254480595230231
"Wave_563",0.00281042982588204
"Wave_564",0.00297050161522809
"Wave_565",0.00296759387701599
"Wave_566",0.00288125237594474
"Wave_567",0.00271466426762041
"Wave_568",0.00262295449570323
"Wave_569",0.00253161020547999
"Wave_570",0.00254347189562252
"Wave_571",0.0024708308306109
"Wave_572",0.00238352292815948
"Wave_573",0.0022759984464869
"Wave_574",0.00217002445261576
"Wave_575",0.0020782870250639
"Wave_576",0.00199329879277099
"Wave_577",0.00185650969853354
"Wave_578",0.00176383635605644
"Wave_579",0.00166554741217374
"Wave_580",0.00156297540775257
"Wave_581",0.00151361951406904
"Wave_582",0.00143798109580865
"Wave_583",0.00134086480226725
"Wave_584",0.00123594572810501
"Wave_585",0.00106867587601368
"Wave_586",0.000835698048107091
"Wave_587",0.000577533434931284
"Wave_588",0.0004151386388863
"Wave_589",0.000259289754599761
"Wave_590",0.000117706573837141
"Wave_591",-2.60312331186361e-05
"Wave_592",-0.000103324671574263
"Wave_593",-0.000207312015677894
"Wave_594",-0.000330419730981718
"Wave_595",-0.000462285290489287
"Wave_596",-0.000582546825825845
"Wave_597",-0.000694113985984015
"Wave_598",-0.000810925374194641
"Wave_599",-0.000930486432976913
"Wave_600",-0.00100620360475922
"Wave_601",-0.00105009770357588
"Wave_602",-0.00112590503594229
"Wave_603",-0.001146570565731
"Wave_604",-0.00115667891651943
"Wave_605",-0.00118685788147714
"Wave_606",-0.00127300948714239
"Wave_607",-0.00121880647883298
"Wave_608",-0.00116678622229206
"Wave_609",-0.00113556850242132
"Wave_610",-0.00111000155336372
"Wave_611",-0.00108248182761278
"Wave_612",-0.00104360644396689
"Wave_613",-0.000971039837274453
"Wave_614",-0.000918658130131507
"Wave_615",-0.000926743246917243
"Wave_616",-0.000923418525625998
"Wave_617",-0.000922980767250995
"Wave_618",-0.000914257919119842
"Wave_619",-0.000910040592350625
"Wave_620",-0.000904412967940215
"Wave_621",-0.000920606775046109
"Wave_622",-0.000920419425492069
"Wave_623",-0.000934063693100378
"Wave_624",-0.000947219814149562
"Wave_625",-0.0010036633466021
"Wave_626",-0.00104931155580416
"Wave_627",-0.00110910521412808
"Wave_628",-0.00113654195666895
"Wave_629",-0.00113297066903038
"Wave_630",-0.0011031808329594
"Wave_631",-0.00112656415891318
"Wave_632",-0.00107671684758028
"Wave_633",-0.000912728719150542
"Wave_634",-0.000730557614612379
"Wave_635",-0.000554004154459123
"Wave_636",-0.000434016568760615
"Wave_637",-0.000315613337621594
"Wave_638",-0.000165350778668236
"Wave_639",7.52947979304247e-06
"Wave_640",0.000275842764315388
"Wave_641",0.000483002661874987
"Wave_642",0.000666459740999645
"Wave_643",0.000885533161000094
"Wave_644",0.00107193272951135
"Wave_645",0.00134420509729777
"Wave_646",0.00166329652826324
"Wave_647",0.00200412030585958
"Wave_648",0.00220074418920126
"Wave_649",0.00234125653171633
"Wave_650",0.00251869377718874
"Wave_651",0.00269837068705988
"Wave_652",0.00281254265206889
"Wave_653",0.00295502912591711
"Wave_654",0.00311880186602014
"Wave_655",0.00333097983011744
"Wave_656",0.00355399188633258
"Wave_657",0.00380290696794393
"Wave_658",0.00410245285138466
"Wave_659",0.00429851490443739
"Wave_660",0.00458347826638977
