"","Narea_g_m2.11.comps"
"(Intercept)",1.72668747151262
"Wave_500",0.00706974882105793
"Wave_501",0.00666897206537182
"Wave_502",0.00634813842611889
"Wave_503",0.0060001041829694
"Wave_504",0.00552666327625852
"Wave_505",0.00501960339685154
"Wave_506",0.00452178139265326
"Wave_507",0.00393128837740218
"Wave_508",0.00331819526872914
"Wave_509",0.00268639499596548
"Wave_510",0.0020570202678437
"Wave_511",0.00124079411691198
"Wave_512",0.000355994962700813
"Wave_513",-0.000563366561316907
"Wave_514",-0.00168533202512528
"Wave_515",-0.00302169556777182
"Wave_516",-0.00438594617579021
"Wave_517",-0.00581757123445699
"Wave_518",-0.00692548057527535
"Wave_519",-0.00790605993328365
"Wave_520",-0.00876651296784974
"Wave_521",-0.00990512737546503
"Wave_522",-0.0109629133548504
"Wave_523",-0.0119710910799141
"Wave_524",-0.0127396084033723
"Wave_525",-0.0133610749698431
"Wave_526",-0.0138435170502611
"Wave_527",-0.0141260367475727
"Wave_528",-0.0137025732198604
"Wave_529",-0.013027730117539
"Wave_530",-0.0124380564508501
"Wave_531",-0.0122020070316388
"Wave_532",-0.0120153933052128
"Wave_533",-0.0114968447729483
"Wave_534",-0.0107988220166333
"Wave_535",-0.00969278779887121
"Wave_536",-0.00887077161341249
"Wave_537",-0.0083642718153462
"Wave_538",-0.00800310441152296
"Wave_539",-0.00738456579027389
"Wave_540",-0.00657635154334288
"Wave_541",-0.00582074912370578
"Wave_542",-0.00452724200179449
"Wave_543",-0.00366465879547074
"Wave_544",-0.00288698381245766
"Wave_545",-0.00197009733705268
"Wave_546",-0.00217965400705686
"Wave_547",-0.00262640358233369
"Wave_548",-0.00328719106972894
"Wave_549",-0.00333503028450412
"Wave_550",-0.00271899570285477
"Wave_551",-0.00156399844830968
"Wave_552",-0.000500109607411316
"Wave_553",0.000421947866004018
"Wave_554",0.00127630866903993
"Wave_555",0.00218960496570412
"Wave_556",0.00311604712678835
"Wave_557",0.00382567190221901
"Wave_558",0.00423191660049859
"Wave_559",0.00445829339706236
"Wave_560",0.00518704975653287
"Wave_561",0.0060484362302344
"Wave_562",0.00705427879629406
"Wave_563",0.00814640608416261
"Wave_564",0.00899398441499168
"Wave_565",0.00950480173047223
"Wave_566",0.00978617140488281
"Wave_567",0.00980762691744573
"Wave_568",0.00997049990259651
"Wave_569",0.0101218546978583
"Wave_570",0.0102344739428169
"Wave_571",0.0101273179690082
"Wave_572",0.010004610726943
"Wave_573",0.00979091528252483
"Wave_574",0.00945785097637962
"Wave_575",0.0090895591635819
"Wave_576",0.00875583467775028
"Wave_577",0.00830886201766189
"Wave_578",0.00801090732588426
"Wave_579",0.00771762936636455
"Wave_580",0.00745942483671149
"Wave_581",0.00732261264440068
"Wave_582",0.00712386927220776
"Wave_583",0.00688751079962851
"Wave_584",0.00656507644775952
"Wave_585",0.0060118229629937
"Wave_586",0.00529416406650912
"Wave_587",0.00448731890990612
"Wave_588",0.00385570262387447
"Wave_589",0.00337827020113105
"Wave_590",0.00295381540667831
"Wave_591",0.00256061414744941
"Wave_592",0.00241784862222092
"Wave_593",0.00223489108972301
"Wave_594",0.00195795572154321
"Wave_595",0.00161340362392942
"Wave_596",0.00132057562602759
"Wave_597",0.0010240264125677
"Wave_598",0.000697226435396636
"Wave_599",0.00040726704354218
"Wave_600",0.00018367939516731
"Wave_601",-5.31244079055471e-06
"Wave_602",-0.000220077910574166
"Wave_603",-0.000338380825102374
"Wave_604",-0.000428267065586679
"Wave_605",-0.0005199409583262
"Wave_606",-0.000735215843246219
"Wave_607",-0.000735246995023805
"Wave_608",-0.000727091365774911
"Wave_609",-0.00075708674398884
"Wave_610",-0.000845774941037399
"Wave_611",-0.000965232056171681
"Wave_612",-0.00101455337995884
"Wave_613",-0.000942342552455831
"Wave_614",-0.000948338314710867
"Wave_615",-0.00109900135384062
"Wave_616",-0.00117243732309801
"Wave_617",-0.00130117675468642
"Wave_618",-0.00144064751085195
"Wave_619",-0.00152348988791429
"Wave_620",-0.00157196021016705
"Wave_621",-0.00171489493347211
"Wave_622",-0.00177059900858866
"Wave_623",-0.00187703655736047
"Wave_624",-0.0020352145712236
"Wave_625",-0.00225555664569603
"Wave_626",-0.00245016517932786
"Wave_627",-0.00267928840656543
"Wave_628",-0.00274240937680983
"Wave_629",-0.0028050143355536
"Wave_630",-0.00280914957017369
"Wave_631",-0.00290388003830658
"Wave_632",-0.00307194717537466
"Wave_633",-0.00300739367789496
"Wave_634",-0.00288284850169793
"Wave_635",-0.00256839669834506
"Wave_636",-0.00202824015955537
"Wave_637",-0.00158048584786111
"Wave_638",-0.00120873700194955
"Wave_639",-0.000886851084200111
"Wave_640",-0.000396048077952078
"Wave_641",-8.18657905549855e-05
"Wave_642",0.000165464659232414
"Wave_643",0.000541731383243544
"Wave_644",0.000861991149630538
"Wave_645",0.00133532557725247
"Wave_646",0.00191119974297226
"Wave_647",0.00246194332930557
"Wave_648",0.00270977140314901
"Wave_649",0.002862949938567
"Wave_650",0.00317457403946156
"Wave_651",0.00353208334953005
"Wave_652",0.00375851580345508
"Wave_653",0.00399616199121218
"Wave_654",0.00427402356699703
"Wave_655",0.0047410392341559
"Wave_656",0.00520981376170101
"Wave_657",0.00556809583171706
"Wave_658",0.00606572081566789
"Wave_659",0.00648126896289686
"Wave_660",0.00721367229406924
"Wave_661",0.00796385453495418
"Wave_662",0.00865221323396037
"Wave_663",0.00927099610810371
"Wave_664",0.00987811517521327
"Wave_665",0.0105015994304459
"Wave_666",0.0108805793989858
"Wave_667",0.0113449443752477
"Wave_668",0.0116167527609463
"Wave_669",0.0115106308966286
"Wave_670",0.0113289954807747
"Wave_671",0.01104281229668
"Wave_672",0.0109189354788362
"Wave_673",0.0108608253432539
"Wave_674",0.0107679506427286
"Wave_675",0.0107090997075678
"Wave_676",0.0107200521866675
"Wave_677",0.0108352354843813
"Wave_678",0.0109461705672115
"Wave_679",0.0108722110906966
"Wave_680",0.0106764708253332
"Wave_681",0.0102605706789733
"Wave_682",0.00968034414733253
"Wave_683",0.00882177057985725
"Wave_684",0.00769601534303208
"Wave_685",0.00636501206962248
"Wave_686",0.00472256445030256
"Wave_687",0.00263101630243585
"Wave_688",0.000272705430205827
"Wave_689",-0.00228983454599059
"Wave_690",-0.00483130945112843
"Wave_691",-0.00751072607659252
"Wave_692",-0.0100456730829316
"Wave_693",-0.0126236670643191
"Wave_694",-0.0155310563590876
"Wave_695",-0.0170611196023787
"Wave_696",-0.018330424557185
"Wave_697",-0.0196097993596001
"Wave_698",-0.0216183621613687
"Wave_699",-0.0223192297074129
"Wave_700",-0.0225261456929067
"Wave_701",-0.0227619209108843
"Wave_702",-0.0217772161461348
"Wave_703",-0.0204608191519968
"Wave_704",-0.0195415746615845
"Wave_705",-0.0187373815841433
"Wave_706",-0.0159388565475058
"Wave_707",-0.0141382459963218
"Wave_708",-0.0130402603559298
"Wave_709",-0.0115089701190477
"Wave_710",-0.0092186913290301
"Wave_711",-0.00632452674549637
"Wave_712",-0.00465631529072326
"Wave_713",-0.00393387212443163
"Wave_714",-0.00103088551653989
"Wave_715",0.000570578635231467
"Wave_716",0.000530682296741688
"Wave_717",-0.000621655648390584
"Wave_718",-0.0006564593769499
"Wave_719",0.0012814938669682
"Wave_720",0.00469640419698462
"Wave_721",0.00642749132892364
"Wave_722",0.00685194495354853
"Wave_723",0.0071289983274464
"Wave_724",0.00727801481595979
"Wave_725",0.0072588226634405
"Wave_726",0.00812424811462627
"Wave_727",0.008651403323029
"Wave_728",0.00811062087705433
"Wave_729",0.00854814290699468
"Wave_730",0.00855606101037511
"Wave_731",0.00929333407386138
"Wave_732",0.00991099461513506
"Wave_733",0.01027536801337
"Wave_734",0.00902385898211368
"Wave_735",0.00787540165898341
"Wave_736",0.00675539560125291
"Wave_737",0.00521842351688333
"Wave_738",0.00514459457248406
"Wave_739",0.00477150894950693
"Wave_740",0.0038511684242416
"Wave_741",0.00286875884651311
"Wave_742",0.00246774684975015
"Wave_743",0.00268163591026927
"Wave_744",0.00230688821463766
"Wave_745",0.00130872270860976
"Wave_746",0.00108720962270188
"Wave_747",0.000291291879533749
"Wave_748",-0.000525429327896239
"Wave_749",-0.000953465376667015
"Wave_750",-0.00119587393005423
"Wave_751",-0.000482387484199344
"Wave_752",-0.000373976710374739
"Wave_753",-0.000199100734600799
"Wave_754",-4.79380731767988e-05
"Wave_755",8.79592062249586e-05
"Wave_756",-0.00056896238418855
"Wave_757",-0.00309150976227649
"Wave_758",-0.00659629134440949
"Wave_759",-0.0115060382455222
"Wave_760",-0.0165419848439475
"Wave_761",-0.0179290318356404
"Wave_762",-0.012429740455006
"Wave_763",-0.00711964871102159
"Wave_764",-0.00209781152374446
"Wave_765",0.00138463496709675
"Wave_766",0.00382333497579775
"Wave_767",0.00340731133981888
"Wave_768",0.00344803662530799
"Wave_769",0.00325458225144469
"Wave_770",0.00280930063495391
"Wave_771",0.00166234458586745
"Wave_772",0.00116037804706491
"Wave_773",0.0010387902463595
"Wave_774",0.00100852415748034
"Wave_775",0.00124150934053136
"Wave_776",0.000966329658065489
"Wave_777",0.000504548051403113
"Wave_778",0.000895083725113975
"Wave_779",0.00138577080333543
"Wave_780",0.000924093051372763
"Wave_781",0.00198303894667829
"Wave_782",0.00103920307749848
"Wave_783",0.000566828318657616
"Wave_784",0.000948166104025929
"Wave_785",0.00234208205629266
"Wave_786",0.00209838876775859
"Wave_787",0.00199040470125795
"Wave_788",0.00153621107553962
"Wave_789",0.00171039415149435
"Wave_790",0.00179717111963015
"Wave_791",0.000977193130558763
"Wave_792",0.00110095660359016
"Wave_793",0.00152560176782321
"Wave_794",0.000901535310332471
"Wave_795",0.00214785801945038
"Wave_796",0.00198008219917595
"Wave_797",0.00144744572565966
"Wave_798",0.00114962297701591
"Wave_799",0.00135946632473902
"Wave_800",0.00123647016718405
"Wave_801",0.00101325795538156
"Wave_802",0.00129598432825498
"Wave_803",0.00145344778354479
"Wave_804",0.000781512187831274
"Wave_805",0.00144969012806282
"Wave_806",0.00112773475639533
"Wave_807",0.000977517790922473
"Wave_808",0.00113486682013438
"Wave_809",0.00114997053528842
"Wave_810",0.00101879996423488
"Wave_811",0.000405048662826262
"Wave_812",7.14976525167277e-05
"Wave_813",0.000772295619419942
"Wave_814",0.00110654315889686
"Wave_815",0.000304225618909739
"Wave_816",-0.000314562886996074
"Wave_817",3.18187323635015e-05
"Wave_818",-0.000757343673665952
"Wave_819",-0.000192463680156808
"Wave_820",0.000951751761647147
"Wave_821",0.000447420399008976
"Wave_822",5.11987158292886e-05
"Wave_823",-0.000107357500489255
"Wave_824",-3.89906417835959e-06
"Wave_825",9.12163358486576e-05
"Wave_826",0.0013930327299995
"Wave_827",0.00105814410253881
"Wave_828",0.000957701006142882
"Wave_829",-0.00041201050662886
"Wave_830",-0.000910014039259004
"Wave_831",-7.46329991950506e-05
"Wave_832",-0.000633471842249467
"Wave_833",-0.000540759096095214
"Wave_834",-0.000674814597454041
"Wave_835",0.000109717597186438
"Wave_836",-0.000246381733535859
"Wave_837",-0.000331415598836984
"Wave_838",0.00118890118139493
"Wave_839",-0.000511534232045427
"Wave_840",-0.000261012713102069
"Wave_841",-0.000413232329004785
