"","Nmass_mg_g.5.comps"
"(Intercept)",19.2792030728817
"Wave_500",0.00182154520805623
"Wave_501",0.00162924353090491
"Wave_502",0.00152084449697756
"Wave_503",0.0013539019124404
"Wave_504",0.00112827232206627
"Wave_505",0.000948581434786009
"Wave_506",0.000801933813780805
"Wave_507",0.000562322569651603
"Wave_508",0.000375536050879936
"Wave_509",0.000203325643244111
"Wave_510",-8.69436127814041e-05
"Wave_511",-0.000391858262382863
"Wave_512",-0.000685694167316742
"Wave_513",-0.000985666327087968
"Wave_514",-0.00128855708026788
"Wave_515",-0.00168489549372721
"Wave_516",-0.00215504878097748
"Wave_517",-0.00261423274670428
"Wave_518",-0.00293607172351364
"Wave_519",-0.00309155357069691
"Wave_520",-0.00311417289533003
"Wave_521",-0.00327401894046535
"Wave_522",-0.00341771848346475
"Wave_523",-0.00350904317160391
"Wave_524",-0.00359247044583354
"Wave_525",-0.00370425749736193
"Wave_526",-0.00367417260723333
"Wave_527",-0.00330777977955982
"Wave_528",-0.00267259294665111
"Wave_529",-0.00196245639959272
"Wave_530",-0.00126966595701267
"Wave_531",-0.000859890184200152
"Wave_532",-0.000403727192036464
"Wave_533",0.000336026858785154
"Wave_534",0.000822446084101221
"Wave_535",0.00148223934870745
"Wave_536",0.00215914351932599
"Wave_537",0.00254560542623995
"Wave_538",0.00302952500404435
"Wave_539",0.00356996158872679
"Wave_540",0.00398187992606253
"Wave_541",0.0043382128917511
"Wave_542",0.00514694657791105
"Wave_543",0.00548330635421278
"Wave_544",0.00584768825069152
"Wave_545",0.00622411576673198
"Wave_546",0.00584722663951209
"Wave_547",0.00542541318493798
"Wave_548",0.00501709486028425
"Wave_549",0.00529175123391914
"Wave_550",0.00586506958454714
"Wave_551",0.00661283159119655
"Wave_552",0.0070589042847062
"Wave_553",0.00736941734989487
"Wave_554",0.00779720132599035
"Wave_555",0.00813305501199615
"Wave_556",0.00843136616139635
"Wave_557",0.00863940776301383
"Wave_558",0.00848083742402821
"Wave_559",0.00833933062215013
"Wave_560",0.00859880059706038
"Wave_561",0.00866286596210589
"Wave_562",0.00879580901884329
"Wave_563",0.00894584657632173
"Wave_564",0.00908196309384632
"Wave_565",0.00906430181544119
"Wave_566",0.00904193258011842
"Wave_567",0.00889566536807728
"Wave_568",0.00884784603293839
"Wave_569",0.00873921508144393
"Wave_570",0.00856200712192854
"Wave_571",0.00813864769837891
"Wave_572",0.00768185735337284
"Wave_573",0.00720688837954101
"Wave_574",0.00678752950161917
"Wave_575",0.00637140868810693
"Wave_576",0.00581259668873989
"Wave_577",0.00527360643893758
"Wave_578",0.00491635403826305
"Wave_579",0.00437083040984827
"Wave_580",0.00391917998712862
"Wave_581",0.00360674222141588
"Wave_582",0.00328156877054799
"Wave_583",0.00306022532086409
"Wave_584",0.00268787671972294
"Wave_585",0.00227796314569262
"Wave_586",0.00174366722247557
"Wave_587",0.00121747313524612
"Wave_588",0.000718528609755976
"Wave_589",0.000261502232140359
"Wave_590",-0.000224670705957801
"Wave_591",-0.000640876345515056
"Wave_592",-0.000990047724823407
"Wave_593",-0.00130153394347808
"Wave_594",-0.00166201990779485
"Wave_595",-0.0020787518149041
"Wave_596",-0.0024666672340214
"Wave_597",-0.00278343243431856
"Wave_598",-0.00305648069856006
"Wave_599",-0.00335522296422035
"Wave_600",-0.00366919399630402
"Wave_601",-0.00381638745415235
"Wave_602",-0.00411660160491775
"Wave_603",-0.0042569091297637
"Wave_604",-0.00440746879612106
"Wave_605",-0.00456063185607659
"Wave_606",-0.00477762502313163
"Wave_607",-0.00482508273784889
"Wave_608",-0.00487756600150162
"Wave_609",-0.00506968516470677
"Wave_610",-0.00524578815363531
"Wave_611",-0.00535781653785823
"Wave_612",-0.00544528821730929
"Wave_613",-0.00548892720953794
"Wave_614",-0.00560634041500577
"Wave_615",-0.00575816909846967
"Wave_616",-0.00589335789550427
"Wave_617",-0.00609347824259935
"Wave_618",-0.00625611578597133
"Wave_619",-0.00637842562386761
"Wave_620",-0.00655424450035804
"Wave_621",-0.00680281181134527
"Wave_622",-0.00696968280689286
"Wave_623",-0.00713284841200588
"Wave_624",-0.0072376017189293
"Wave_625",-0.00739932318930758
"Wave_626",-0.007554113564916
"Wave_627",-0.00777297018761416
"Wave_628",-0.00785649135081772
"Wave_629",-0.00802845584247579
"Wave_630",-0.00807389065863476
"Wave_631",-0.00811085164731392
"Wave_632",-0.00811427637789861
"Wave_633",-0.00813371186898733
"Wave_634",-0.00807559119532403
"Wave_635",-0.00812246308011107
"Wave_636",-0.00806766743229475
"Wave_637",-0.0079027974446619
"Wave_638",-0.00779375069102299
"Wave_639",-0.0077307417847611
"Wave_640",-0.00751289754294552
"Wave_641",-0.00738277370096101
"Wave_642",-0.00727136635956605
"Wave_643",-0.00705291076102166
"Wave_644",-0.00700989811774202
"Wave_645",-0.00688891270073388
"Wave_646",-0.0066141416737276
"Wave_647",-0.00637176677182289
"Wave_648",-0.00624378193246685
"Wave_649",-0.00609604882652666
"Wave_650",-0.00593537478941528
"Wave_651",-0.00588494550366793
"Wave_652",-0.00569683132785907
"Wave_653",-0.00563169954651545
"Wave_654",-0.00549931422773836
"Wave_655",-0.00516556032216628
"Wave_656",-0.00484667724930029
"Wave_657",-0.00455741242434773
"Wave_658",-0.00418692858631589
"Wave_659",-0.00401108352388796
"Wave_660",-0.00362985302029767
"Wave_661",-0.00325576567269055
"Wave_662",-0.00284298305439293
"Wave_663",-0.00270572531997883
"Wave_664",-0.00243718893004334
"Wave_665",-0.0021978825695286
"Wave_666",-0.00198257343813726
"Wave_667",-0.00180916801466914
"Wave_668",-0.00177467056151038
"Wave_669",-0.00181273296059812
"Wave_670",-0.00185911626735237
"Wave_671",-0.00196370849485542
"Wave_672",-0.00203047257693012
"Wave_673",-0.00200433957998099
"Wave_674",-0.00213720269683243
"Wave_675",-0.00231942326690556
"Wave_676",-0.00240709965137156
"Wave_677",-0.00246809593537043
"Wave_678",-0.00242823451249195
"Wave_679",-0.00245771232460388
"Wave_680",-0.00267237616074592
"Wave_681",-0.00301826306135619
"Wave_682",-0.00342804210601364
"Wave_683",-0.00396756674936725
"Wave_684",-0.00478570232727357
"Wave_685",-0.00582956503426696
"Wave_686",-0.00697956418828744
"Wave_687",-0.00825985723431637
"Wave_688",-0.00969309369538654
"Wave_689",-0.0114571407955126
"Wave_690",-0.0132219626132462
"Wave_691",-0.015147463249582
"Wave_692",-0.0175440527446877
"Wave_693",-0.0200072955915928
"Wave_694",-0.0225729060791007
"Wave_695",-0.024110190817703
"Wave_696",-0.0258575706460242
"Wave_697",-0.0278256056130184
"Wave_698",-0.0299992096848994
"Wave_699",-0.0319674106505754
"Wave_700",-0.0331463175982169
"Wave_701",-0.0347257743653626
"Wave_702",-0.0355112991242734
"Wave_703",-0.0357041646589092
"Wave_704",-0.0367308565953178
"Wave_705",-0.0380388358750775
"Wave_706",-0.0369547236109754
"Wave_707",-0.0368011934973661
"Wave_708",-0.0373741113993218
"Wave_709",-0.0374061900734927
"Wave_710",-0.0367608622072029
"Wave_711",-0.0355683900279853
"Wave_712",-0.034666557780195
"Wave_713",-0.0344128146296204
"Wave_714",-0.0328674244617973
"Wave_715",-0.0316916790529974
"Wave_716",-0.0316274771023232
"Wave_717",-0.031853584755885
"Wave_718",-0.0305604359186826
"Wave_719",-0.0295708962089532
"Wave_720",-0.0259849432686921
"Wave_721",-0.0224986812404606
"Wave_722",-0.0208449241438756
"Wave_723",-0.0198073337116726
"Wave_724",-0.0180380807136627
"Wave_725",-0.0160472704536777
"Wave_726",-0.0133098839675828
"Wave_727",-0.0105251926961784
"Wave_728",-0.00871980013512401
"Wave_729",-0.00601343221143735
"Wave_730",-0.00411562013849585
"Wave_731",-0.0014465188738775
"Wave_732",0.00134660159117496
"Wave_733",0.00417104823458474
"Wave_734",0.00562410297214902
"Wave_735",0.00675304680460728
"Wave_736",0.00820785964818732
"Wave_737",0.00922129212828145
"Wave_738",0.0113987212871962
"Wave_739",0.0128777964664557
"Wave_740",0.0140235120954117
"Wave_741",0.0149414394134317
"Wave_742",0.015866363086773
"Wave_743",0.0168835083611574
"Wave_744",0.0178148917068898
"Wave_745",0.0180107607088073
"Wave_746",0.0186679458363339
"Wave_747",0.0188042205663976
"Wave_748",0.0188722672851349
"Wave_749",0.0188455957064129
"Wave_750",0.0189366325876518
"Wave_751",0.01960580635704
"Wave_752",0.0190294484484203
"Wave_753",0.0189684291181471
"Wave_754",0.0193093844477676
"Wave_755",0.0197059382634274
"Wave_756",0.0197508455728958
"Wave_757",0.0198780475236235
"Wave_758",0.0186062991354731
"Wave_759",0.0165552515822558
"Wave_760",0.0142434722726706
"Wave_761",0.0125290543726003
"Wave_762",0.0128847540235703
"Wave_763",0.0124913059884674
"Wave_764",0.0130264241459168
"Wave_765",0.0138824017192614
"Wave_766",0.0157117715298461
"Wave_767",0.0161218147874947
"Wave_768",0.0167717753780327
"Wave_769",0.0176522200839057
"Wave_770",0.0182077284093645
"Wave_771",0.0173558964115092
"Wave_772",0.0170988808886021
"Wave_773",0.0168865076551546
"Wave_774",0.017115387365146
"Wave_775",0.016780459345997
"Wave_776",0.0159463479952871
"Wave_777",0.0151027113738572
"Wave_778",0.0154724004145218
"Wave_779",0.0157182008625472
"Wave_780",0.0155966950214886
"Wave_781",0.0167421083932472
"Wave_782",0.015702949810454
"Wave_783",0.0149412091057745
"Wave_784",0.0148095627616409
"Wave_785",0.0153570821334156
"Wave_786",0.0148050682153989
"Wave_787",0.014819248471517
"Wave_788",0.0137026036937939
"Wave_789",0.0134331093182788
"Wave_790",0.0139737811407986
"Wave_791",0.0131510841318181
"Wave_792",0.0128476956366194
"Wave_793",0.0127831852009345
"Wave_794",0.0118834691156857
"Wave_795",0.012428579661135
"Wave_796",0.0120239675777065
"Wave_797",0.010814537532682
"Wave_798",0.0106354008420126
"Wave_799",0.0104264215599262
"Wave_800",0.00992569673815969
"Wave_801",0.00986557448427382
"Wave_802",0.00976259772017809
"Wave_803",0.00946410090566663
"Wave_804",0.00948767219172384
"Wave_805",0.00990499199669262
"Wave_806",0.00919736778215169
"Wave_807",0.00945303824652119
"Wave_808",0.00885844889258371
"Wave_809",0.00829254926129212
"Wave_810",0.00811126643966061
"Wave_811",0.00728418871183362
"Wave_812",0.00638781214303095
"Wave_813",0.00638689904140912
"Wave_814",0.00566511436441927
"Wave_815",0.00406607608722676
"Wave_816",0.00234315382285071
"Wave_817",0.00197855531429028
"Wave_818",0.00197007199287145
"Wave_819",0.00310733652486478
"Wave_820",0.0038366292687246
"Wave_821",0.0035685308481511
"Wave_822",0.00312354039631748
"Wave_823",0.00274045044091321
"Wave_824",0.00284913618348415
"Wave_825",0.00265194586745945
"Wave_826",0.00380875468585378
"Wave_827",0.00324254032444606
"Wave_828",0.00334892915279945
"Wave_829",0.00256624935977649
"Wave_830",0.00251043067108403
"Wave_831",0.00284015810209569
"Wave_832",0.00190055031512444
"Wave_833",0.00176060761559202
"Wave_834",0.00182889116304725
"Wave_835",0.00288479730784316
"Wave_836",0.00229074753220706
"Wave_837",0.00258634550344845
"Wave_838",0.00355814254062005
"Wave_839",0.00193556339373745
"Wave_840",0.00273019367138619
"Wave_841",0.00287313936831649
"Wave_842",0.00352449771378644
"Wave_843",0.00420247550801457
"Wave_844",0.00329294878443304
"Wave_845",0.00243233084670847
"Wave_846",0.00319123893028899
"Wave_847",0.00367932965358152
"Wave_848",0.000769841737107578
"Wave_849",0.00268730076537096
"Wave_850",0.0033148120751009
"Wave_851",0.00258578143127421
"Wave_852",0.00173935898455464
"Wave_853",0.00140252122187377
"Wave_854",0.000678663827143929
"Wave_855",0.00140562819523614
"Wave_856",0.00125663629719473
"Wave_857",0.000360831745259173
"Wave_858",-0.000250972057430263
"Wave_859",0.000685739326085138
"Wave_860",-0.000443720673973559
"Wave_861",-6.58679065159637e-05
"Wave_862",-0.00112988584031459
"Wave_863",-0.00111897816012891
"Wave_864",0.000273018225937094
"Wave_865",-0.00220228743256695
"Wave_866",-0.00272242703735615
"Wave_867",-0.00300307177567847
"Wave_868",-0.00309431314868474
"Wave_869",-0.00297610308400839
"Wave_870",-0.00290532322497573
"Wave_871",-0.00311389045898565
"Wave_872",-0.00195902601369981
"Wave_873",-0.00259703943282201
"Wave_874",-0.00282657537189651
"Wave_875",-0.00491543445365868
"Wave_876",-0.00477283495989057
"Wave_877",-0.00580214379895803
"Wave_878",-0.00287491429223277
"Wave_879",-0.00415622233375193
"Wave_880",-0.0051933731426416
"Wave_881",-0.00443757127424184
"Wave_882",-0.00427423268291416
"Wave_883",-0.00329972049205283
"Wave_884",-0.00536410920302654
"Wave_885",-0.0060070717574129
"Wave_886",-0.00631613507524355
"Wave_887",-0.00632323945042054
"Wave_888",-0.00566874118081665
"Wave_889",-0.00695546649928882
"Wave_890",-0.00787583161951496
"Wave_891",-0.00808874707283104
"Wave_892",-0.00702370720791055
"Wave_893",-0.00838835269193227
"Wave_894",-0.00870631433770829
"Wave_895",-0.0091318333165545
"Wave_896",-0.00899601961777383
"Wave_897",-0.00935537640781557
"Wave_898",-0.00959178687508087
"Wave_899",-0.0124596824197324
"Wave_900",-0.0123906794663042
"Wave_901",-0.012629548363967
"Wave_902",-0.012530416920859
"Wave_903",-0.0117984848430514
"Wave_904",-0.011482415222234
"Wave_905",-0.0109463048033879
"Wave_906",-0.00967832746067214
"Wave_907",-0.0134122222880717
"Wave_908",-0.0140236667217164
"Wave_909",-0.0153054056232356
"Wave_910",-0.0139530528104402
"Wave_911",-0.0142400186420453
"Wave_912",-0.013844744018138
"Wave_913",-0.0142480071348692
"Wave_914",-0.0151124817068963
"Wave_915",-0.0157499413224454
"Wave_916",-0.0159561940882046
"Wave_917",-0.0164444230981099
"Wave_918",-0.0150231793232558
"Wave_919",-0.0141727163059696
"Wave_920",-0.0128400956264565
"Wave_921",-0.0126106321341293
"Wave_922",-0.0134497447977967
"Wave_923",-0.0141188902065458
"Wave_924",-0.0119058682599377
"Wave_925",-0.0119348078087827
"Wave_926",-0.0101623101823842
"Wave_927",-0.00952149652583813
"Wave_928",-0.0126385227305028
"Wave_929",-0.0133717885423649
"Wave_930",-0.0141351918967806
"Wave_931",-0.0167534955312076
"Wave_932",-0.0189412452131775
"Wave_933",-0.023003164916205
"Wave_934",-0.0279364074897047
"Wave_935",-0.0283964280949038
"Wave_936",-0.0298618010139034
"Wave_937",-0.0288349814632589
"Wave_938",-0.0254527333798614
"Wave_939",-0.0190232794373213
"Wave_940",-0.0141865235613899
"Wave_941",-0.0191151278247212
"Wave_942",-0.022205925484245
"Wave_943",-0.0217806851942907
"Wave_944",-0.0202727894246442
"Wave_945",-0.0193785616941975
"Wave_946",-0.0202587343243514
"Wave_947",-0.0223138817306804
"Wave_948",-0.0215928702931397
"Wave_949",-0.0213538397229765
"Wave_950",-0.0209706370592379
"Wave_951",-0.0202076018574152
"Wave_952",-0.0185185456319836
"Wave_953",-0.0162142581482314
"Wave_954",-0.0197288849695235
"Wave_955",-0.0213344115883128
"Wave_956",-0.0224107804151317
"Wave_957",-0.0181290274558879
"Wave_958",-0.0150046056900646
"Wave_959",-0.0129419366861927
"Wave_960",-0.0144953241934233
"Wave_961",-0.0156028324278971
"Wave_962",-0.0148291296696897
"Wave_963",-0.0138943455569043
"Wave_964",-0.0136397289992394
"Wave_965",-0.0113239804306061
"Wave_966",-0.0105851933965597
"Wave_967",-0.00974582717359949
"Wave_968",-0.00931516215759628
"Wave_969",-0.00835555222411589
"Wave_970",-0.0066345244638088
"Wave_971",-0.00492355059372164
"Wave_972",-0.00539392546144963
"Wave_973",-0.00603618760418909
"Wave_974",-0.00729149760828994
"Wave_975",-0.00867687712634194
"Wave_976",-0.00735526477649001
"Wave_977",-0.00796604388571341
"Wave_978",-0.00686312880333919
"Wave_979",-0.00759302908948339
"Wave_980",-0.0082606163840752
"Wave_981",-0.00811176192734218
"Wave_982",-0.00728767825147501
"Wave_983",-0.00695304800258172
"Wave_984",-0.00646908847351361
"Wave_985",-0.00648205948965216
"Wave_986",-0.00584760905503702
"Wave_987",-0.00445519221789305
"Wave_988",-0.00335417926080417
"Wave_989",-0.00222454940970581
"Wave_990",-0.00107922620133466
"Wave_991",0.000228759248932154
"Wave_992",0.00151058739809249
"Wave_993",0.00286147689593065
"Wave_994",0.00498311543854986
"Wave_995",0.00578483424815344
"Wave_996",0.00664446698571426
"Wave_997",0.00687298588787453
"Wave_998",0.00709023571445038
"Wave_999",0.00706485568609275
"Wave_1000",0.00651736207017318
"Wave_1001",0.00597000232696765
"Wave_1002",0.00546617560874881
"Wave_1003",0.00464881301483709
"Wave_1004",0.00446129918397767
"Wave_1005",0.00494121500981921
"Wave_1006",0.00484891199564294
"Wave_1007",0.00415314544264381
"Wave_1008",0.00395311055898036
"Wave_1009",0.0037609072451389
"Wave_1010",0.00361018990347763
"Wave_1011",0.00362684257793324
"Wave_1012",0.00384741173799797
"Wave_1013",0.00402179448729827
"Wave_1014",0.00408863083133225
"Wave_1015",0.00322219774000785
"Wave_1016",0.00288157220849
"Wave_1017",0.0025638408246536
"Wave_1018",0.0022769766710773
"Wave_1019",0.00220094586643421
"Wave_1020",0.00222234047804353
"Wave_1021",0.00226444895041619
"Wave_1022",0.00224891073342631
"Wave_1023",0.00219206627125556
"Wave_1024",0.00214677416953655
"Wave_1025",0.00205610798819688
"Wave_1026",0.00267391993709552
"Wave_1027",0.0020481692325268
"Wave_1028",0.00206158633945653
"Wave_1029",0.00199347093890208
"Wave_1030",0.0012102914078559
"Wave_1031",0.00125109962505679
"Wave_1032",0.00192511932374949
"Wave_1033",0.00194198317387185
"Wave_1034",0.00203304907503808
"Wave_1035",0.00220554009455191
"Wave_1036",0.00236374845537586
