"","Nmass_mg_g.9.comps"
"(Intercept)",26.0779059841391
"Wave_500",-0.0131111158099949
"Wave_501",-0.014441510259845
"Wave_502",-0.015495200249635
"Wave_503",-0.0166085959048769
"Wave_504",-0.0178011892978534
"Wave_505",-0.0189474389189299
"Wave_506",-0.0203363398529118
"Wave_507",-0.0224013277477127
"Wave_508",-0.0243559468705943
"Wave_509",-0.0264647595697393
"Wave_510",-0.0283971509764385
"Wave_511",-0.030827233803659
"Wave_512",-0.0342026441930031
"Wave_513",-0.037450652994274
"Wave_514",-0.0401712329768781
"Wave_515",-0.0437190957878581
"Wave_516",-0.0484413116591899
"Wave_517",-0.0533581049177824
"Wave_518",-0.0578606223187214
"Wave_519",-0.060907190103464
"Wave_520",-0.0653416772018628
"Wave_521",-0.0702148393521799
"Wave_522",-0.0740784897430488
"Wave_523",-0.0761077863729127
"Wave_524",-0.0783817464248299
"Wave_525",-0.0815250931273173
"Wave_526",-0.0819343914356465
"Wave_527",-0.0818419709311922
"Wave_528",-0.0793238073082743
"Wave_529",-0.0758789151359611
"Wave_530",-0.0723358100297232
"Wave_531",-0.0696338183162792
"Wave_532",-0.0662242132177469
"Wave_533",-0.0624725148246371
"Wave_534",-0.0579162837654728
"Wave_535",-0.0516286990617337
"Wave_536",-0.045449400721489
"Wave_537",-0.0400092591020524
"Wave_538",-0.0357903761447541
"Wave_539",-0.0304153843356265
"Wave_540",-0.0240501513218304
"Wave_541",-0.0194822453921373
"Wave_542",-0.0116027534470316
"Wave_543",-0.00574511896335994
"Wave_544",-0.00105215934119624
"Wave_545",0.00455858094431318
"Wave_546",0.00585170117006758
"Wave_547",0.00752591008082518
"Wave_548",0.0109007971374811
"Wave_549",0.0175220681943624
"Wave_550",0.022865649645117
"Wave_551",0.0249582596265897
"Wave_552",0.0252488592514263
"Wave_553",0.0290216964187593
"Wave_554",0.0368393436796486
"Wave_555",0.0448110887385063
"Wave_556",0.0483947359958517
"Wave_557",0.0481857775937154
"Wave_558",0.0447277837157812
"Wave_559",0.042973059128045
"Wave_560",0.046629981199553
"Wave_561",0.0521550305867148
"Wave_562",0.0572532356770968
"Wave_563",0.0611224631261213
"Wave_564",0.0634188059286315
"Wave_565",0.0641823063617563
"Wave_566",0.0643413384972467
"Wave_567",0.0634185002964776
"Wave_568",0.0625238381739037
"Wave_569",0.0618381379181545
"Wave_570",0.0622396383802284
"Wave_571",0.0606366292190756
"Wave_572",0.0597417142694583
"Wave_573",0.058195103474761
"Wave_574",0.0568138696403372
"Wave_575",0.0546923092387122
"Wave_576",0.0529640750725262
"Wave_577",0.0508418925891784
"Wave_578",0.0497078971801059
"Wave_579",0.0485806066373906
"Wave_580",0.0465452420302917
"Wave_581",0.0451768818927397
"Wave_582",0.0439254344209542
"Wave_583",0.0425859870292251
"Wave_584",0.0401784371786089
"Wave_585",0.0378378304900714
"Wave_586",0.0351962304752174
"Wave_587",0.0318749233594654
"Wave_588",0.0281731644813167
"Wave_589",0.0244060777801842
"Wave_590",0.0208049923840354
"Wave_591",0.0173245241676641
"Wave_592",0.0143756880099083
"Wave_593",0.0114385183251954
"Wave_594",0.00891023709372423
"Wave_595",0.00577790412198391
"Wave_596",0.00301577316603597
"Wave_597",0.000720728332625579
"Wave_598",-0.00146229771958753
"Wave_599",-0.00320390786832798
"Wave_600",-0.0046236764748446
"Wave_601",-0.00700019206269992
"Wave_602",-0.00898056819242249
"Wave_603",-0.00947074946216123
"Wave_604",-0.010252660878609
"Wave_605",-0.0116777876108248
"Wave_606",-0.0132715680181047
"Wave_607",-0.0131016218174832
"Wave_608",-0.0133620339335659
"Wave_609",-0.0141932237069809
"Wave_610",-0.014418502309028
"Wave_611",-0.014315823690126
"Wave_612",-0.0142844589149526
"Wave_613",-0.0140354207467303
"Wave_614",-0.0139187885108422
"Wave_615",-0.0144682584946483
"Wave_616",-0.0151162825161763
"Wave_617",-0.0165132438863615
"Wave_618",-0.0173391070549895
"Wave_619",-0.0178706974233187
"Wave_620",-0.0183344785254959
"Wave_621",-0.0194114613756509
"Wave_622",-0.020027392335922
"Wave_623",-0.0204008068507788
"Wave_624",-0.0207870119449207
"Wave_625",-0.0215057597535107
"Wave_626",-0.0224149160054977
"Wave_627",-0.0235560573358349
"Wave_628",-0.023537708389421
"Wave_629",-0.0241048278159402
"Wave_630",-0.0234281222580221
"Wave_631",-0.0227234344668416
"Wave_632",-0.0220813176267303
"Wave_633",-0.0195742707810403
"Wave_634",-0.0181428701026684
"Wave_635",-0.0170193323077801
"Wave_636",-0.0150336362378236
"Wave_637",-0.0124077272829559
"Wave_638",-0.0103799268613387
"Wave_639",-0.00872545737700637
"Wave_640",-0.00658906495868583
"Wave_641",-0.00550067532273327
"Wave_642",-0.00495600722730406
"Wave_643",-0.00230330951805257
"Wave_644",-0.000951432511532604
"Wave_645",0.00100226391338934
"Wave_646",0.00355804269554115
