"","x"
"Wave_500",1.22513002678216
"Wave_501",1.20978257458254
"Wave_502",1.19601200854607
"Wave_503",1.18066604776945
"Wave_504",1.16553826846892
"Wave_505",1.14538465579953
"Wave_506",1.12341511206579
"Wave_507",1.1056789187402
"Wave_508",1.09668457689363
"Wave_509",1.09084140979228
"Wave_510",1.08682094672565
"Wave_511",1.08099733373925
"Wave_512",1.08605759755798
"Wave_513",1.09492172250294
"Wave_514",1.10298423283862
"Wave_515",1.122859960109
"Wave_516",1.1477011318293
"Wave_517",1.17237837641093
"Wave_518",1.19776112756755
"Wave_519",1.22874891588862
"Wave_520",1.2666397471922
"Wave_521",1.30676680717705
"Wave_522",1.33952450426973
"Wave_523",1.36903338286145
"Wave_524",1.39921105674344
"Wave_525",1.430888107608
"Wave_526",1.44884696173166
"Wave_527",1.46894444388568
"Wave_528",1.48781580438083
"Wave_529",1.49566238241524
"Wave_530",1.4946856883215
"Wave_531",1.49407121710734
"Wave_532",1.48930851088974
"Wave_533",1.47565165035353
"Wave_534",1.46200983955103
"Wave_535",1.44845738410934
"Wave_536",1.43473113526723
"Wave_537",1.41978516217081
"Wave_538",1.40934425376627
"Wave_539",1.40240666999076
"Wave_540",1.39687381368117
"Wave_541",1.39301448671764
"Wave_542",1.39725635230325
"Wave_543",1.4059920839316
"Wave_544",1.41881742196484
"Wave_545",1.43552225531262
"Wave_546",1.45574345851622
"Wave_547",1.47705683341485
"Wave_548",1.51003275784929
"Wave_549",1.53925614222007
"Wave_550",1.56562222042557
"Wave_551",1.58899342859646
"Wave_552",1.60845454158148
"Wave_553",1.63076655342523
"Wave_554",1.65635210076487
"Wave_555",1.67742917119169
"Wave_556",1.69156712682289
"Wave_557",1.7009569725494
"Wave_558",1.70329610385983
"Wave_559",1.70615036246797
"Wave_560",1.70334330272064
"Wave_561",1.69820107765955
"Wave_562",1.69075199991665
"Wave_563",1.67295095086503
"Wave_564",1.64881412082087
"Wave_565",1.62665454641674
"Wave_566",1.60098935964527
"Wave_567",1.57237762795365
"Wave_568",1.54469226354237
"Wave_569",1.51558115381127
"Wave_570",1.48101107254932
"Wave_571",1.4513619930417
"Wave_572",1.42850683654111
"Wave_573",1.3997964240075
"Wave_574",1.37151820503686
"Wave_575",1.34297961463896
"Wave_576",1.31446455201976
"Wave_577",1.28964532969196
"Wave_578",1.26366479821137
"Wave_579",1.24286111639857
"Wave_580",1.22465562932941
"Wave_581",1.20633241171975
"Wave_582",1.18352061848289
"Wave_583",1.16213565972434
"Wave_584",1.14014608585769
"Wave_585",1.12017495575845
"Wave_586",1.10021675286389
"Wave_587",1.08253177669122
"Wave_588",1.07201596845374
"Wave_589",1.05908200422603
"Wave_590",1.04278297008392
"Wave_591",1.02850581600186
"Wave_592",1.01684429355857
"Wave_593",1.00748950298238
"Wave_594",0.998611915201027
"Wave_595",0.990731960070861
"Wave_596",0.984864616211745
"Wave_597",0.982919078227433
"Wave_598",0.980948125102286
"Wave_599",0.978817227798288
"Wave_600",0.977451086567389
"Wave_601",0.977068168783021
"Wave_602",0.978254537775721
"Wave_603",0.982161202155397
"Wave_604",0.986688500767172
"Wave_605",0.990093718515254
"Wave_606",0.99230235691736
"Wave_607",0.995932292567921
"Wave_608",1.00026427314633
"Wave_609",1.00388102191936
"Wave_610",1.0044208353453
"Wave_611",1.00665032271811
"Wave_612",1.0100558209032
"Wave_613",1.01449978988001
"Wave_614",1.01924560515329
"Wave_615",1.02425993915749
"Wave_616",1.02927052364008
"Wave_617",1.03580733299357
"Wave_618",1.03972456122623
"Wave_619",1.04459912803098
"Wave_620",1.05054928778304
"Wave_621",1.05806893420863
"Wave_622",1.06461995060537
"Wave_623",1.07163215369138
"Wave_624",1.07993856896147
"Wave_625",1.08621682025228
"Wave_626",1.09396595716252
"Wave_627",1.10168369229859
"Wave_628",1.10866406743165
"Wave_629",1.11439294806694
"Wave_630",1.11973535295105
"Wave_631",1.12576809797395
"Wave_632",1.13206672327129
"Wave_633",1.13664498595379
"Wave_634",1.14056331644328
"Wave_635",1.14426939930652
"Wave_636",1.14914366974737
"Wave_637",1.15444300584381
"Wave_638",1.16039182216335
"Wave_639",1.16555828588501
"Wave_640",1.17216934957595
"Wave_641",1.17876522232621
"Wave_642",1.18904949671647
"Wave_643",1.20340084966972
"Wave_644",1.21466096214358
"Wave_645",1.22667389365772
"Wave_646",1.23568699041714
"Wave_647",1.24335297656307
"Wave_648",1.24231856711712
"Wave_649",1.24161600733468
"Wave_650",1.24360700765616
"Wave_651",1.25012290930717
"Wave_652",1.24190441679062
"Wave_653",1.22515428517234
"Wave_654",1.20260478140146
"Wave_655",1.18457287436827
"Wave_656",1.1697660202955
"Wave_657",1.15515561994169
"Wave_658",1.14259873953314
"Wave_659",1.13225190493797
"Wave_660",1.12173106984823
"Wave_661",1.11298480561683
"Wave_662",1.11143650606651
"Wave_663",1.1131471304816
"Wave_664",1.11600595376059
"Wave_665",1.12043570751448
"Wave_666",1.12489441647371
"Wave_667",1.13222712707883
"Wave_668",1.14004216271102
"Wave_669",1.1464523273265
"Wave_670",1.15024719756818
"Wave_671",1.15367130740786
"Wave_672",1.15886635781043
"Wave_673",1.16306581333033
"Wave_674",1.16574601133006
"Wave_675",1.1691930521062
"Wave_676",1.17135309300107
"Wave_677",1.17397358333645
"Wave_678",1.17412511491664
"Wave_679",1.17501431674666
"Wave_680",1.17385778320253
"Wave_681",1.16861029138878
"Wave_682",1.16326712552832
"Wave_683",1.15367724894571
"Wave_684",1.14135640797649
"Wave_685",1.13334909725605
"Wave_686",1.13466755804173
"Wave_687",1.14191307633637
"Wave_688",1.16504945740452
"Wave_689",1.2097675103327
"Wave_690",1.26492301537214
"Wave_691",1.33366183617098
"Wave_692",1.41841492821329
"Wave_693",1.51200262592185
"Wave_694",1.61409472403684
"Wave_695",1.70122146734892
"Wave_696",1.77684351588922
"Wave_697",1.86525407715231
"Wave_698",1.93673428759624
"Wave_699",1.9834101519319
"Wave_700",2.03614399985566
"Wave_701",2.07925807129724
"Wave_702",2.09400565117574
"Wave_703",2.09308248110706
"Wave_704",2.10273851673315
"Wave_705",2.10492724798824
"Wave_706",2.08905077403378
"Wave_707",2.06117247578522
"Wave_708",2.04736610697411
"Wave_709",2.01570916165395
"Wave_710",1.99965560721305
"Wave_711",1.98262807487822
"Wave_712",1.9623949489479
"Wave_713",1.93424566823074
"Wave_714",1.9217641608442
"Wave_715",1.90218438870103
"Wave_716",1.88217076022882
"Wave_717",1.84805130418194
"Wave_718",1.80970035484198
"Wave_719",1.79454044465738
"Wave_720",1.77714476820326
"Wave_721",1.73572098817557
"Wave_722",1.70217349175673
"Wave_723",1.68947888788053
"Wave_724",1.66738145232956
"Wave_725",1.62777805603461
"Wave_726",1.60151640424007
"Wave_727",1.56650951290767
"Wave_728",1.54362468649725
"Wave_729",1.52055473170669
