"","CN_ratio.16.comps"
"(Intercept)",21.8617332845228
"Wave_500",-0.11156764050469
"Wave_501",-0.111332275960426
"Wave_502",-0.111143809264483
"Wave_503",-0.111799165076522
"Wave_504",-0.108209776260794
"Wave_505",-0.101069475650053
"Wave_506",-0.0979375902521006
"Wave_507",-0.0866934838207583
"Wave_508",-0.0834222910741423
"Wave_509",-0.0795835207668089
"Wave_510",-0.0790505900525292
"Wave_511",-0.0742433429515433
"Wave_512",-0.0660567131471989
"Wave_513",-0.0600590926330768
"Wave_514",-0.0450936023190599
"Wave_515",-0.0330992401336641
"Wave_516",-0.0182936145831481
"Wave_517",-0.00144695185929016
"Wave_518",0.0175206137737091
"Wave_519",0.0328295621275193
"Wave_520",0.0534078305681817
"Wave_521",0.069757566167049
"Wave_522",0.091179265040373
"Wave_523",0.105124393716734
"Wave_524",0.112691039344782
"Wave_525",0.130919704176967
"Wave_526",0.138966072472099
"Wave_527",0.146832700414989
"Wave_528",0.159681774147339
"Wave_529",0.166845981486791
"Wave_530",0.166993703536983
"Wave_531",0.171173955841534
"Wave_532",0.177164371226407
"Wave_533",0.18214572159195
"Wave_534",0.177320419161639
"Wave_535",0.165893518360957
"Wave_536",0.138778190263915
"Wave_537",0.111200049384522
"Wave_538",0.105072719198448
"Wave_539",0.0999012175499373
"Wave_540",0.0943192941881479
"Wave_541",0.0827402769637134
"Wave_542",0.0736908806676556
"Wave_543",0.0663450954057501
"Wave_544",0.0574715651303314
"Wave_545",0.0379796817103408
"Wave_546",0.0166266780911777
"Wave_547",-0.00135228381641888
"Wave_548",-0.0260485636109638
"Wave_549",-0.0309051201526086
"Wave_550",-0.038598167361058
"Wave_551",-0.0414686214827326
"Wave_552",-0.023245267554292
"Wave_553",-0.0080343605634988
"Wave_554",0.00145082561735304
"Wave_555",0.0094893226177003
"Wave_556",-0.000297989618593668
"Wave_557",-0.00463148868711394
"Wave_558",-2.38632217664896e-05
"Wave_559",-0.00486822578940896
"Wave_560",-0.0123200570233535
"Wave_561",-0.0188316032454972
"Wave_562",-0.0297067841888257
"Wave_563",-0.0353798480308339
"Wave_564",-0.0420418711401728
"Wave_565",-0.0571034439488583
"Wave_566",-0.0687715173554414
"Wave_567",-0.0712614500189554
"Wave_568",-0.0762274725129986
"Wave_569",-0.0864817893255088
"Wave_570",-0.0955991905860234
"Wave_571",-0.114504358686193
"Wave_572",-0.130691817178423
"Wave_573",-0.133140848736859
"Wave_574",-0.136521598472195
"Wave_575",-0.137229228516429
"Wave_576",-0.137513583148344
"Wave_577",-0.141200394652467
"Wave_578",-0.147211308024538
"Wave_579",-0.154096112617937
"Wave_580",-0.160705133826407
"Wave_581",-0.160930360948352
"Wave_582",-0.154713329732102
"Wave_583",-0.151493681128353
"Wave_584",-0.148678889261118
"Wave_585",-0.145731227208748
"Wave_586",-0.145609070706832
"Wave_587",-0.144059150860994
"Wave_588",-0.140641374140959
"Wave_589",-0.136198679991437
"Wave_590",-0.125722152227186
"Wave_591",-0.116769199171988
"Wave_592",-0.113095833643015
"Wave_593",-0.109721422982207
"Wave_594",-0.101797812133199
"Wave_595",-0.0900088917896235
"Wave_596",-0.0726936043011106
"Wave_597",-0.0535114797500931
"Wave_598",-0.0405429466716868
"Wave_599",-0.0389424696307187
"Wave_600",-0.0343926053874876
"Wave_601",-0.0302994963896564
"Wave_602",-0.0204583765836818
"Wave_603",-0.00348779535631456
"Wave_604",0.00774770636472044
"Wave_605",0.0122130811922493
"Wave_606",0.0125430376147507
"Wave_607",0.0215927052791876
"Wave_608",0.0293366792344206
"Wave_609",0.0287906832926566
"Wave_610",0.0179249581777119
"Wave_611",0.0189225939187687
"Wave_612",0.0236445608086575
"Wave_613",0.0259459938844961
"Wave_614",0.023386098102706
"Wave_615",0.0216920940457557
"Wave_616",0.0247395358282896
"Wave_617",0.0279543965490522
"Wave_618",0.022579341318712
"Wave_619",0.0224712868454554
"Wave_620",0.0293045381675358
"Wave_621",0.0283954426666041
"Wave_622",0.026424077785028
"Wave_623",0.023649950141175
"Wave_624",0.0228884109654111
"Wave_625",0.0349099159523919
"Wave_626",0.0438739868579585
"Wave_627",0.0460970521956067
"Wave_628",0.0459133949793065
"Wave_629",0.0462955143298147
"Wave_630",0.0479228572339915
"Wave_631",0.0529632128003332
"Wave_632",0.0563672571477696
"Wave_633",0.0544515861987881
"Wave_634",0.052844869446303
"Wave_635",0.0514945734744797
"Wave_636",0.0565567127118259
"Wave_637",0.0664255538389844
"Wave_638",0.0743549088726687
"Wave_639",0.0766993184655099
"Wave_640",0.0863790585914052
"Wave_641",0.0929637287096085
"Wave_642",0.104917054248533
"Wave_643",0.123514554013192
"Wave_644",0.137167035569872
"Wave_645",0.147263260025135
"Wave_646",0.153524481633081
"Wave_647",0.158879334212288
"Wave_648",0.159980293852558
"Wave_649",0.160823477638558
"Wave_650",0.164620101403564
"Wave_651",0.172965000169251
"Wave_652",0.172092847395639
"Wave_653",0.167180196394161
