"","Jmax25_Rog.13.comps"
"(Intercept)",310.397807984794
"Wave_500",2.28947920714233
"Wave_501",2.30498877830411
"Wave_502",2.25158629379144
"Wave_503",2.15256784617229
"Wave_504",2.11890762898892
"Wave_505",2.11055568020151
"Wave_506",2.10846482226422
"Wave_507",2.01422785897502
"Wave_508",1.71635043020054
"Wave_509",1.55573179120407
"Wave_510",1.57223200537445
"Wave_511",1.53886368561178
"Wave_512",1.50218243649117
"Wave_513",1.46367360557848
"Wave_514",1.29013170611922
"Wave_515",1.1394956204394
"Wave_516",0.973937739200265
"Wave_517",0.81889344866809
"Wave_518",0.767000209649779
"Wave_519",0.761599160877941
"Wave_520",0.735230080075883
"Wave_521",0.558042520838968
"Wave_522",0.353964326396906
"Wave_523",0.168235993472047
"Wave_524",0.0333585342581293
"Wave_525",-0.000175736452355073
"Wave_526",-0.0544041191379224
"Wave_527",-0.0784020868784684
"Wave_528",-0.11000292240483
"Wave_529",-0.110204792925976
"Wave_530",-0.0619355522888688
"Wave_531",-0.081247710049562
"Wave_532",-0.171935463114023
"Wave_533",-0.225749890771605
"Wave_534",-0.275186428232659
"Wave_535",-0.220063323527617
"Wave_536",-0.0840422185898485
"Wave_537",0.0540857364937457
"Wave_538",0.15053687159093
"Wave_539",0.0506976592602633
"Wave_540",-0.0619451736207245
"Wave_541",-0.162569584977063
"Wave_542",-0.134911505045519
"Wave_543",-0.0860384403762169
"Wave_544",-0.0175302562914911
"Wave_545",0.104245227416847
"Wave_546",0.0155227863648162
"Wave_547",-0.0578359931827844
"Wave_548",-0.0869362471219091
"Wave_549",-0.12506306546655
"Wave_550",-0.146136554719579
"Wave_551",-0.159121683868647
"Wave_552",-0.0731344986476429
"Wave_553",0.160467500868507
"Wave_554",0.265226735957516
"Wave_555",0.216214743856863
"Wave_556",0.265355873876659
"Wave_557",0.295167430003984
"Wave_558",0.256316135569459
"Wave_559",0.298740494478884
"Wave_560",0.416802478780844
"Wave_561",0.449397550162217
"Wave_562",0.43428398695624
"Wave_563",0.413646804947745
"Wave_564",0.383887383331452
"Wave_565",0.368676932660369
"Wave_566",0.351426441122319
"Wave_567",0.403444307613425
"Wave_568",0.438949012461446
"Wave_569",0.4782564934601
"Wave_570",0.456262944439991
"Wave_571",0.451448282520593
"Wave_572",0.424209348464084
"Wave_573",0.390412363274741
"Wave_574",0.359792780709362
"Wave_575",0.3278345326909
"Wave_576",0.321573072642928
"Wave_577",0.245236144441081
"Wave_578",0.171903962552403
"Wave_579",0.137920769540379
"Wave_580",0.141497620774827
"Wave_581",0.136031356800169
"Wave_582",0.0653039924144892
"Wave_583",0.0182499296849011
"Wave_584",0.0207248150137571
"Wave_585",-0.0822884318304524
"Wave_586",-0.138005763221615
"Wave_587",-0.154456977232318
"Wave_588",-0.234454927616822
"Wave_589",-0.286104486186242
"Wave_590",-0.315267825246857
"Wave_591",-0.354443105687787
"Wave_592",-0.377593166841183
"Wave_593",-0.440191185788514
"Wave_594",-0.554540865238421
"Wave_595",-0.694503301589294
"Wave_596",-0.772278044246513
"Wave_597",-0.783245982777968
"Wave_598",-0.754411755852151
"Wave_599",-0.859579251122851
"Wave_600",-0.908757478029728
"Wave_601",-0.908448440359976
"Wave_602",-0.882401100339242
"Wave_603",-0.845633300035642
"Wave_604",-0.834897486499418
"Wave_605",-0.860699180298412
"Wave_606",-0.931045060027889
"Wave_607",-0.822776947091903
"Wave_608",-0.735225136717874
"Wave_609",-0.707416973667305
"Wave_610",-0.737613613819436
"Wave_611",-0.746866638152968
"Wave_612",-0.730470874926417
"Wave_613",-0.677570857551473
"Wave_614",-0.655156285672739
"Wave_615",-0.623629876545821
"Wave_616",-0.583126137783463
"Wave_617",-0.579779922744323
"Wave_618",-0.538629888197508
"Wave_619",-0.5394386448601
"Wave_620",-0.575643980017805
"Wave_621",-0.604553222476253
"Wave_622",-0.588896205618312
"Wave_623",-0.571635004231731
"Wave_624",-0.556981357738499
"Wave_625",-0.565143590951227
"Wave_626",-0.661205670097898
"Wave_627",-0.716193099677195
"Wave_628",-0.674833911779386
"Wave_629",-0.612195779366375
"Wave_630",-0.549475914870201
"Wave_631",-0.518485380728699
"Wave_632",-0.579116123932249
"Wave_633",-0.622906087712826
"Wave_634",-0.646490992488924
"Wave_635",-0.666619837761476
"Wave_636",-0.606269884814515
"Wave_637",-0.561337825816062
"Wave_638",-0.560448859642606
"Wave_639",-0.601973324647011
"Wave_640",-0.691790630000322
"Wave_641",-0.731795264475874
"Wave_642",-0.728692490817383
"Wave_643",-0.683974268422348
"Wave_644",-0.653930292869186
"Wave_645",-0.644418569769302
"Wave_646",-0.650783198089576
"Wave_647",-0.696482858177967
"Wave_648",-0.682246556282765
"Wave_649",-0.656664804925638
"Wave_650",-0.600512701775328
"Wave_651",-0.52010135740481
"Wave_652",-0.447363216933152
"Wave_653",-0.418507889517024
"Wave_654",-0.40800697869009
"Wave_655",-0.312998158901818
"Wave_656",-0.165419328537778
"Wave_657",0.00607180658509889
"Wave_658",0.197902191212825
"Wave_659",0.375889889303674
"Wave_660",0.518423612252197
"Wave_661",0.635483889545024
"Wave_662",0.730003058031754
"Wave_663",0.928775461918328
"Wave_664",1.11401536993848
"Wave_665",1.28528486086991
"Wave_666",1.44879196063831
"Wave_667",1.58137530245914
"Wave_668",1.64455928353091
"Wave_669",1.69965557955352
"Wave_670",1.81525200142616
"Wave_671",1.93115668835226
"Wave_672",1.98697132807884
