"","x"
"Wave_500",1.19699098224018
"Wave_501",1.21543059639148
"Wave_502",1.22713352157467
"Wave_503",1.23285049590625
"Wave_504",1.24621007579413
"Wave_505",1.25171343300273
"Wave_506",1.25917401597732
"Wave_507",1.27369562554263
"Wave_508",1.28594643479777
"Wave_509",1.30541799014767
"Wave_510",1.32935592215819
"Wave_511",1.34873961389476
"Wave_512",1.36480022037087
"Wave_513",1.38201183802962
"Wave_514",1.4019879751944
"Wave_515",1.42181640145739
"Wave_516",1.44024784129998
"Wave_517",1.46303345393388
"Wave_518",1.48582207411397
"Wave_519",1.51056583664212
"Wave_520",1.53445556806239
"Wave_521",1.55775182754664
"Wave_522",1.58197114117046
"Wave_523",1.60668289955862
"Wave_524",1.63009104494138
"Wave_525",1.66063642150022
"Wave_526",1.68716013292165
"Wave_527",1.71441371567979
"Wave_528",1.74640463912847
"Wave_529",1.77583436100613
"Wave_530",1.80748213084497
"Wave_531",1.83913988258033
"Wave_532",1.86914917728933
"Wave_533",1.90195774695513
"Wave_534",1.93427586649718
"Wave_535",1.96393877194716
"Wave_536",1.99254375788294
"Wave_537",2.02023460780937
"Wave_538",2.04483030743957
"Wave_539",2.0682141298306
"Wave_540",2.09114424461283
"Wave_541",2.11397615500379
"Wave_542",2.13848763765828
"Wave_543",2.16078158891932
"Wave_544",2.18252153248038
"Wave_545",2.20332943066389
"Wave_546",2.22347673462248
"Wave_547",2.24289578581972
"Wave_548",2.26153946424503
"Wave_549",2.27735568094864
"Wave_550",2.29424833389217
"Wave_551",2.30810820450324
"Wave_552",2.32132372157694
"Wave_553",2.33462228088679
"Wave_554",2.34442921245296
"Wave_555",2.34979234300775
"Wave_556",2.35247825018696
"Wave_557",2.35436205877832
"Wave_558",2.35352414460691
"Wave_559",2.35230382229015
"Wave_560",2.34687839648242
"Wave_561",2.33896007906573
"Wave_562",2.32850425283563
"Wave_563",2.31831221543224
"Wave_564",2.30513407881343
"Wave_565",2.29390905783088
"Wave_566",2.28135556562603
"Wave_567",2.26747827547425
"Wave_568",2.25017769395297
"Wave_569",2.2330567159233
"Wave_570",2.21210359897357
"Wave_571",2.18536785458349
"Wave_572",2.15910805602132
"Wave_573",2.13594651854815
"Wave_574",2.11211064732876
"Wave_575",2.08799122765787
"Wave_576",2.06546012722729
"Wave_577",2.04296695267255
"Wave_578",2.02212287095657
"Wave_579",2.00121723074809
"Wave_580",1.98148706609139
"Wave_581",1.96516847197929
"Wave_582",1.94945415535379
"Wave_583",1.93463474047584
"Wave_584",1.92070039709583
"Wave_585",1.90871500006156
"Wave_586",1.89724340247285
"Wave_587",1.88672895512247
"Wave_588",1.87459628281356
"Wave_589",1.86573337894818
"Wave_590",1.85832032655467
"Wave_591",1.85023476105326
"Wave_592",1.84357827690671
"Wave_593",1.8392244061677
"Wave_594",1.83475017118775
"Wave_595",1.83074538322746
"Wave_596",1.82770541733423
"Wave_597",1.82571017545112
"Wave_598",1.82512506567448
"Wave_599",1.82528086073067
"Wave_600",1.82465609581271
"Wave_601",1.8235865994479
"Wave_602",1.82202200699016
"Wave_603",1.82025762419742
"Wave_604",1.81683780040575
"Wave_605",1.81209105982675
"Wave_606",1.80597414621562
"Wave_607",1.79732837892942
"Wave_608",1.78816125224747
"Wave_609",1.77743626738162
"Wave_610",1.76649042803277
"Wave_611",1.7546488581256
"Wave_612",1.74197778126923
"Wave_613",1.72821815977799
