"","x"
"Wave_500",0.638489192103345
"Wave_501",0.64828327499442
"Wave_502",0.658763938702027
"Wave_503",0.669486245019765
"Wave_504",0.679410842894723
"Wave_505",0.691912746120733
"Wave_506",0.706392166231064
"Wave_507",0.72366407950647
"Wave_508",0.741025759485666
"Wave_509",0.759989581895777
"Wave_510",0.780003070484672
"Wave_511",0.800577323989566
"Wave_512",0.822828335329902
"Wave_513",0.846499280821967
"Wave_514",0.871007931821885
"Wave_515",0.894850260883316
"Wave_516",0.91922055466537
"Wave_517",0.947128618544426
"Wave_518",0.974205322705748
"Wave_519",1.00278674180163
"Wave_520",1.03190168240397
"Wave_521",1.05895004044323
"Wave_522",1.08629623569936
"Wave_523",1.11340224374258
"Wave_524",1.13831183498471
"Wave_525",1.16943223567542
"Wave_526",1.19715949128002
"Wave_527",1.22391743310391
"Wave_528",1.25112464549426
"Wave_529",1.27810154224159
"Wave_530",1.30810306600976
"Wave_531",1.33875019633033
"Wave_532",1.36837926581686
"Wave_533",1.40143762566272
"Wave_534",1.43468507332995
"Wave_535",1.46512492235449
"Wave_536",1.49378598625053
"Wave_537",1.52088110194252
"Wave_538",1.54432877872369
"Wave_539",1.56814918862664
"Wave_540",1.59279916962456
"Wave_541",1.61786821358766
"Wave_542",1.64217953192445
"Wave_543",1.66253172320517
"Wave_544",1.68276400796507
"Wave_545",1.70516205869981
"Wave_546",1.72637851513721
"Wave_547",1.74877295498656
"Wave_548",1.77208191349928
"Wave_549",1.78940680515022
"Wave_550",1.80713303895572
"Wave_551",1.82086755711183
"Wave_552",1.83272484787026
"Wave_553",1.84266709876571
"Wave_554",1.85230669144854
"Wave_555",1.86102076054525
"Wave_556",1.86659799889396
"Wave_557",1.87161429726286
"Wave_558",1.87484412612274
"Wave_559",1.87760491475833
"Wave_560",1.87789733214936
"Wave_561",1.8776757974646
"Wave_562",1.87501923683584
"Wave_563",1.87073616116447
"Wave_564",1.86541085599688
"Wave_565",1.86146514020364
"Wave_566",1.85426720184434
"Wave_567",1.84200452845403
"Wave_568",1.82694279111625
"Wave_569",1.81241489575165
"Wave_570",1.79481349653765
"Wave_571",1.76768301275989
"Wave_572",1.74124310379023
"Wave_573",1.71882663684018
"Wave_574",1.69466512803408
"Wave_575",1.66945676905054
"Wave_576",1.64542134192912
"Wave_577",1.62281996608495
"Wave_578",1.60245421553772
"Wave_579",1.58186698002326
"Wave_580",1.56217674510613
"Wave_581",1.54552317469801
"Wave_582",1.530464474032
"Wave_583",1.5161182608895
"Wave_584",1.50192966913979
"Wave_585",1.48916212766595
"Wave_586",1.47674330439964
"Wave_587",1.4646213526143
"Wave_588",1.45031881698788
"Wave_589",1.44198381582606
"Wave_590",1.43514586231734
"Wave_591",1.42820510158446
"Wave_592",1.42102620899221
"Wave_593",1.41587194822715
"Wave_594",1.41069966093116
"Wave_595",1.40617777748433
"Wave_596",1.40367830094657
"Wave_597",1.40136244603782
"Wave_598",1.39944288411341
"Wave_599",1.39803782202835
"Wave_600",1.39583475213733
"Wave_601",1.39263245814161
"Wave_602",1.3885582900907
"Wave_603",1.38201897208607
"Wave_604",1.37448175018121
"Wave_605",1.36540104541406
"Wave_606",1.35341514796859
"Wave_607",1.34151292521774
"Wave_608",1.32779370274965
"Wave_609",1.31197910625652
"Wave_610",1.29446845677029
"Wave_611",1.27413240763751
"Wave_612",1.25426677699308
"Wave_613",1.23522212231251
"Wave_614",1.21655967818082
"Wave_615",1.19774157191856
"Wave_616",1.18022305510503
"Wave_617",1.16318800475292
"Wave_618",1.14604318498568
"Wave_619",1.13041345862293
"Wave_620",1.11679927545844
"Wave_621",1.10579071863339
"Wave_622",1.0962731605966
"Wave_623",1.08774876078681
"Wave_624",1.07997443586685
"Wave_625",1.07499701054825
"Wave_626",1.07015665272425
"Wave_627",1.06572929842114
"Wave_628",1.06173293174561
"Wave_629",1.05753902076402
"Wave_630",1.05182174140739
"Wave_631",1.04530945273826
"Wave_632",1.03982380212333
"Wave_633",1.02998470469761
"Wave_634",1.02029431450271
"Wave_635",1.01035855426093
"Wave_636",0.99960928326081
"Wave_637",0.987171519668241
"Wave_638",0.972844130316661
"Wave_639",0.956899505352003
"Wave_640",0.940679452660877
"Wave_641",0.922876651646595
"Wave_642",0.904441066970905
"Wave_643",0.885698911939015
"Wave_644",0.867428043128861
"Wave_645",0.84964339066058
"Wave_646",0.832057253289684
"Wave_647",0.814585046432198
"Wave_648",0.799845541820652
"Wave_649",0.785501144202119
"Wave_650",0.772797239475066
"Wave_651",0.761977534520074
"Wave_652",0.751439618325527
"Wave_653",0.741395043990463
"Wave_654",0.731461719132973
"Wave_655",0.721509695368304
"Wave_656",0.708931736324067
"Wave_657",0.696380013585086
"Wave_658",0.683922558053078
"Wave_659",0.667797910531851
"Wave_660",0.652619950694688
"Wave_661",0.637210865870228
"Wave_662",0.621225845690368
"Wave_663",0.606907167576332
"Wave_664",0.592836883982622
"Wave_665",0.580309709983909
"Wave_666",0.570486176567106
"Wave_667",0.561736830156554
"Wave_668",0.5540339458888
"Wave_669",0.547528803448293
"Wave_670",0.541933048111914
"Wave_671",0.537913870774081
"Wave_672",0.534982307492108
"Wave_673",0.533004555550634
"Wave_674",0.531113303789506
"Wave_675",0.529946884892532
"Wave_676",0.529010760971144
"Wave_677",0.529468547603313
"Wave_678",0.531099224960248
"Wave_679",0.532522668169791
"Wave_680",0.53528621005192
"Wave_681",0.539563671311355
"Wave_682",0.546777537679477
"Wave_683",0.554928754196238
"Wave_684",0.566492685109524
"Wave_685",0.581893696513981
"Wave_686",0.605777783621382
"Wave_687",0.639092276834137
"Wave_688",0.6823340554562
"Wave_689",0.734924331053767
"Wave_690",0.811828429434866
"Wave_691",0.906456402716348
"Wave_692",1.01977078113845
"Wave_693",1.15638305143794
"Wave_694",1.30277891256467
"Wave_695",1.47511447503914
"Wave_696",1.6597372902373
"Wave_697",1.84948778159944
"Wave_698",2.0215160737765
"Wave_699",2.19781901896688
"Wave_700",2.37164172273793
"Wave_701",2.5188513656705
"Wave_702",2.66827796035972
"Wave_703",2.79621300173533
"Wave_704",2.90191198403309
"Wave_705",2.98510985392348
"Wave_706",3.09009661840228
"Wave_707",3.15483882334336
"Wave_708",3.20019610201455
"Wave_709",3.21762714690744
"Wave_710",3.25146079420683
"Wave_711",3.29285000283377
"Wave_712",3.29573281472196
"Wave_713",3.26925667992987
"Wave_714",3.26236191594607
"Wave_715",3.25452882831833
"Wave_716",3.21041719808111
"Wave_717",3.16349927744924
"Wave_718",3.13659799215131
"Wave_719",3.07719818360143
"Wave_720",3.0249786544411
"Wave_721",2.96413878757054
"Wave_722",2.88740114991356
"Wave_723",2.80820356516016
"Wave_724",2.73711518887311
"Wave_725",2.66142169128176
"Wave_726",2.5895192199048
"Wave_727",2.52179497901927
"Wave_728",2.43734010015139
"Wave_729",2.36763540205682
"Wave_730",2.30044929648216
"Wave_731",2.21308877261386
"Wave_732",2.14091818521872
"Wave_733",2.06863801097099
"Wave_734",1.99251233447416
"Wave_735",1.92374319203919
"Wave_736",1.88735074449034
"Wave_737",1.82871170103469
"Wave_738",1.77859674512869
"Wave_739",1.72984113485012
"Wave_740",1.69132390703839
"Wave_741",1.63935653134529
"Wave_742",1.61168398412973
"Wave_743",1.571206183428
"Wave_744",1.52773559364695
"Wave_745",1.50471202333759
"Wave_746",1.47909113926422
"Wave_747",1.44724674588548
"Wave_748",1.40836430477915
"Wave_749",1.38997124791885
"Wave_750",1.36789414219908
"Wave_751",1.34148769471254
"Wave_752",1.32484057848747
"Wave_753",1.30498501657005
"Wave_754",1.29419736302312
"Wave_755",1.28106034467957
"Wave_756",1.27608564907307
"Wave_757",1.26676713219491
"Wave_758",1.2522937883062
"Wave_759",1.24491968316417
"Wave_760",1.24006400999068
"Wave_761",1.23298268145654
"Wave_762",1.2259238722923
"Wave_763",1.21804764505328
"Wave_764",1.20780221293029
"Wave_765",1.20051925375646
"Wave_766",1.19570308516125
"Wave_767",1.19560570263063
"Wave_768",1.18886517582513
"Wave_769",1.18759938202078
"Wave_770",1.18487559367259
"Wave_771",1.1806553612996
"Wave_772",1.17935012361598
"Wave_773",1.17706997636078
"Wave_774",1.16718300467987
"Wave_775",1.16865648148101
"Wave_776",1.16695366967117
"Wave_777",1.16144271242675
"Wave_778",1.16190935245607
"Wave_779",1.16142555065374
"Wave_780",1.15732979946298
"Wave_781",1.15577537348265
"Wave_782",1.15612896508884
"Wave_783",1.15559246166749
"Wave_784",1.15374678712091
"Wave_785",1.15052997901592
"Wave_786",1.15038122913712
"Wave_787",1.14881313544832
"Wave_788",1.14536418084916
"Wave_789",1.14893667537466
"Wave_790",1.14685758509733
"Wave_791",1.14185229881283
"Wave_792",1.14034241255649
"Wave_793",1.14199653098545
"Wave_794",1.14165782883881
"Wave_795",1.1441446893621
"Wave_796",1.14210005723481
"Wave_797",1.13797641063814
"Wave_798",1.13464315604282
"Wave_799",1.13395436664385
"Wave_800",1.13476617793682
"Wave_801",1.13616792710536
"Wave_802",1.13574309619235
"Wave_803",1.13379037689408
"Wave_804",1.13397874279529
"Wave_805",1.13523486351568
"Wave_806",1.132129506062
"Wave_807",1.13076390173563
"Wave_808",1.12767604655122
"Wave_809",1.13169885894279
"Wave_810",1.13076464244237
"Wave_811",1.12998903376195
"Wave_812",1.12544129763292
"Wave_813",1.12445236923353
"Wave_814",1.12302495377758
"Wave_815",1.12032295309769
"Wave_816",1.1265293071394
"Wave_817",1.12692757356887
"Wave_818",1.12713713438815
"Wave_819",1.12202793231359
"Wave_820",1.11649905157134
"Wave_821",1.11567223389443
"Wave_822",1.11728800561912
"Wave_823",1.11920927131164
"Wave_824",1.11883397337468
"Wave_825",1.11741810586027
"Wave_826",1.11766577793293
"Wave_827",1.11597779652339
"Wave_828",1.11622603320084
"Wave_829",1.11282764808344
"Wave_830",1.11265306678207
"Wave_831",1.11077461172316
"Wave_832",1.10807217845799
"Wave_833",1.11130736315921
"Wave_834",1.11067147512537
"Wave_835",1.1089682066256
"Wave_836",1.10738425978041
"Wave_837",1.10878503727775
"Wave_838",1.11005169574875
"Wave_839",1.11131418469206
"Wave_840",1.10903311086599
"Wave_841",1.1067495983375
"Wave_842",1.10846529249211
"Wave_843",1.10695830729888
"Wave_844",1.10632285128432
"Wave_845",1.10415526922459
"Wave_846",1.10300361544391
"Wave_847",1.10499070769581
"Wave_848",1.10373978755436
"Wave_849",1.10340529633438
"Wave_850",1.10268086853824
"Wave_851",1.10316439623974
"Wave_852",1.1009516157522
"Wave_853",1.10035839654331
"Wave_854",1.10180433527348
"Wave_855",1.09971557483776
"Wave_856",1.10150593063142
"Wave_857",1.10234463086263
"Wave_858",1.09936428302971
"Wave_859",1.10083703967821
"Wave_860",1.0981058327208
"Wave_861",1.0967853989867
"Wave_862",1.09600243844258
"Wave_863",1.09986077063873
"Wave_864",1.09948475226751
"Wave_865",1.0976278475208
"Wave_866",1.0978863433855
"Wave_867",1.09646815838651
"Wave_868",1.09572235776637
"Wave_869",1.09602008418084
"Wave_870",1.09572660292261
"Wave_871",1.09532762265299
"Wave_872",1.09695124494058
"Wave_873",1.09422465549928
"Wave_874",1.09344415829463
"Wave_875",1.09490449441632
"Wave_876",1.09165609230346
"Wave_877",1.09068562603053
"Wave_878",1.09030070345595
"Wave_879",1.09074646570139
"Wave_880",1.08975192510048
"Wave_881",1.09064464762996
"Wave_882",1.08898957235733
"Wave_883",1.08880485519306
"Wave_884",1.08888592467585
"Wave_885",1.08904994493968
"Wave_886",1.08942789127665
"Wave_887",1.08850697847771
