"","Jmax_Spec_Tleaf.4.comps"
"(Intercept)",213.509584764843
"Wave_500",0.0386229195018469
"Wave_501",0.0395614528590338
"Wave_502",0.0400833774939172
"Wave_503",0.0401492143656971
"Wave_504",0.0401310543326166
"Wave_505",0.0405484409673424
"Wave_506",0.0412305885995945
"Wave_507",0.0422875876824594
"Wave_508",0.0425397314756469
"Wave_509",0.0430087414381539
"Wave_510",0.0437621164876089
"Wave_511",0.043763595820065
"Wave_512",0.0441517449016924
"Wave_513",0.0446579338512009
"Wave_514",0.0448222981660622
"Wave_515",0.0453821380742435
"Wave_516",0.0458269449282832
"Wave_517",0.0458942688670681
"Wave_518",0.0460567049948697
"Wave_519",0.0459185417371604
"Wave_520",0.045648838791324
"Wave_521",0.0460062251744117
"Wave_522",0.0458782448197819
"Wave_523",0.0457466785600621
"Wave_524",0.0458312018105574
"Wave_525",0.0451012174571167
"Wave_526",0.0446276369051182
"Wave_527",0.044489610557018
"Wave_528",0.0445303861311396
"Wave_529",0.0443523943275808
"Wave_530",0.0439691897312795
"Wave_531",0.0432101859802433
"Wave_532",0.0422302888653202
"Wave_533",0.0413415110972839
"Wave_534",0.0405687040062788
"Wave_535",0.0397945723014447
"Wave_536",0.0390835335687771
"Wave_537",0.0383704480184088
"Wave_538",0.0376079161515853
"Wave_539",0.0366534694902105
"Wave_540",0.035511682180343
"Wave_541",0.0342996470413607
"Wave_542",0.0335024121610493
"Wave_543",0.0326282190988386
"Wave_544",0.031625194937385
"Wave_545",0.0303927715028829
"Wave_546",0.0293787082601524
"Wave_547",0.0280761332493226
"Wave_548",0.0265321876569554
"Wave_549",0.0255941735165212
"Wave_550",0.0248334044321316
"Wave_551",0.0240650532733027
"Wave_552",0.0232521826197707
"Wave_553",0.0229312601640958
"Wave_554",0.0225081018698467
"Wave_555",0.021885108007031
"Wave_556",0.0211743987323034
"Wave_557",0.020489699986785
"Wave_558",0.019758730796722
"Wave_559",0.0189540059785133
"Wave_560",0.0184149199226013
"Wave_561",0.0179492561965006
"Wave_562",0.017578369223037
"Wave_563",0.0173296600284598
"Wave_564",0.0170188140045421
"Wave_565",0.0167991735594402
"Wave_566",0.0166529236961433
"Wave_567",0.0168687760099279
"Wave_568",0.0170597675117466
"Wave_569",0.0172538196065761
"Wave_570",0.0171482074488191
"Wave_571",0.0174687543014476
"Wave_572",0.0178821039853123
"Wave_573",0.0182864070018969
"Wave_574",0.018740140694353
"Wave_575",0.0192216042562007
"Wave_576",0.0196704313773771
"Wave_577",0.0199256985322913
"Wave_578",0.020308006436564
"Wave_579",0.0206138898097613
"Wave_580",0.0208127886861805
"Wave_581",0.0208824220354448
"Wave_582",0.020979976368509
"Wave_583",0.0210648281648835
"Wave_584",0.0211054547071069
"Wave_585",0.0213077954301662
"Wave_586",0.0215539603838238
"Wave_587",0.0218666928898878
"Wave_588",0.0221361156486526
"Wave_589",0.0221916004381629
"Wave_590",0.0221018386864731
"Wave_591",0.0218430464205735
"Wave_592",0.0220065532899908
"Wave_593",0.0221779224376979
"Wave_594",0.0222594934225889
"Wave_595",0.0221798011518417
"Wave_596",0.0217894116954815
"Wave_597",0.021558555563433
"Wave_598",0.0214687408116166
"Wave_599",0.0213975583194377
"Wave_600",0.0213843712909607
"Wave_601",0.0213408668975171
"Wave_602",0.021235385089107
"Wave_603",0.021381682622933
"Wave_604",0.0214406210008287
"Wave_605",0.0214453912916051
"Wave_606",0.0215450548064163
"Wave_607",0.0215529613116093
"Wave_608",0.02177501184742
"Wave_609",0.0220990662330646
"Wave_610",0.0225060070755216
"Wave_611",0.0231345350273565
"Wave_612",0.0235535117981155
"Wave_613",0.0237567855007272
"Wave_614",0.0241685673773484
"Wave_615",0.0242743675259375
"Wave_616",0.0243817165357827
"Wave_617",0.0247571433951344
"Wave_618",0.025091019443834
"Wave_619",0.0252778722829613
"Wave_620",0.0253162357169396
"Wave_621",0.0253217703302791
"Wave_622",0.0253610891022527
