"","LMA_gDW_m2.13.comps"
"(Intercept)",77.6576199565409
"Wave_500",-0.151565424802774
"Wave_501",-0.15701554166139
"Wave_502",-0.163988581439886
"Wave_503",-0.158780954042444
"Wave_504",-0.142144765209279
"Wave_505",-0.114580903607176
"Wave_506",-0.0830362714065819
"Wave_507",-0.0437017298857963
"Wave_508",-0.0167885860697798
"Wave_509",-0.00828442012062088
"Wave_510",-0.00654787415231723
"Wave_511",0.0079019148313075
"Wave_512",0.0283995813304928
"Wave_513",0.0472081666110457
"Wave_514",0.0772857681538733
"Wave_515",0.0961412607552508
"Wave_516",0.100858916287489
"Wave_517",0.10087411809197
"Wave_518",0.103982865966516
"Wave_519",0.119780839006767
"Wave_520",0.137876329672046
"Wave_521",0.149509437726536
"Wave_522",0.15829721279483
"Wave_523",0.155262412205421
"Wave_524",0.157646197018654
"Wave_525",0.171812403229609
"Wave_526",0.1636578394942
"Wave_527",0.147264531001462
"Wave_528",0.158152112936781
"Wave_529",0.148766855930757
"Wave_530",0.132701933674145
"Wave_531",0.149212576791006
"Wave_532",0.147707935342039
"Wave_533",0.139368010409211
"Wave_534",0.131395627863535
"Wave_535",0.123189223120791
"Wave_536",0.11047676867393
"Wave_537",0.0982913860401048
"Wave_538",0.0952606380768152
"Wave_539",0.0824462397930979
"Wave_540",0.0700396874696538
"Wave_541",0.0408974911334171
"Wave_542",0.0292476885423726
"Wave_543",0.0183148566665474
"Wave_544",0.00804214602696241
"Wave_545",0.00383347505351145
"Wave_546",-0.0169005587077992
"Wave_547",-0.0384241596318752
"Wave_548",-0.0654155986438541
"Wave_549",-0.085829814005142
"Wave_550",-0.0916036090665469
"Wave_551",-0.0942210794979207
"Wave_552",-0.103664448609688
"Wave_553",-0.108458466043898
"Wave_554",-0.115317724035169
"Wave_555",-0.119404383193141
"Wave_556",-0.117790381804008
"Wave_557",-0.112186454464139
"Wave_558",-0.102782324480027
"Wave_559",-0.109393344431106
"Wave_560",-0.121945389017046
"Wave_561",-0.135635921906672
"Wave_562",-0.154829776190739
"Wave_563",-0.15033327192916
"Wave_564",-0.147655144641976
"Wave_565",-0.147486821605537
"Wave_566",-0.146973421073583
"Wave_567",-0.145015510126209
"Wave_568",-0.14640593378718
"Wave_569",-0.145366346459633
"Wave_570",-0.142532621204122
"Wave_571",-0.134287514457956
"Wave_572",-0.124377026490417
"Wave_573",-0.11801422840062
"Wave_574",-0.111870014899504
"Wave_575",-0.109879265231972
"Wave_576",-0.103791362411338
"Wave_577",-0.100089780488817
"Wave_578",-0.0863978608521308
"Wave_579",-0.0736542926738696
"Wave_580",-0.0664911139088375
"Wave_581",-0.0581483516847249
"Wave_582",-0.0477251461610444
"Wave_583",-0.0405269011371374
"Wave_584",-0.0314320191290551
"Wave_585",-0.0242418596686935
"Wave_586",-0.0167053305595818
"Wave_587",-0.00254526483274567
"Wave_588",0.00638643390976069
"Wave_589",0.0189633304702834
"Wave_590",0.0308812872286867
"Wave_591",0.0412341605149765
"Wave_592",0.0536549634804129
"Wave_593",0.0629284857267641
"Wave_594",0.0698937672387726
"Wave_595",0.0811326653911474
"Wave_596",0.0977879488241587
"Wave_597",0.113606890370119
"Wave_598",0.119851912519777
"Wave_599",0.127684823609354
"Wave_600",0.136693981426285
"Wave_601",0.145061025047714
"Wave_602",0.152408925978799
"Wave_603",0.159531254869551
"Wave_604",0.165102688892221
"Wave_605",0.166054064471238
"Wave_606",0.160660086547962
"Wave_607",0.166261913402955
"Wave_608",0.170555564355592
"Wave_609",0.170165710050752
"Wave_610",0.163566028651554
"Wave_611",0.15558677706566
"Wave_612",0.15163990894861
"Wave_613",0.150714493072405
"Wave_614",0.143075433317064
"Wave_615",0.132528273129384
"Wave_616",0.128377826076587
"Wave_617",0.134904501307381
"Wave_618",0.12826178946542
"Wave_619",0.12008137898297
"Wave_620",0.114404746986208
"Wave_621",0.108811582939465
"Wave_622",0.104059744504544
"Wave_623",0.0996454082908945
"Wave_624",0.0947602630820545
"Wave_625",0.100406099273114
"Wave_626",0.1018516880362
"Wave_627",0.0978010183942702
"Wave_628",0.0920856369325705
"Wave_629",0.0958721358570489
"Wave_630",0.0932725020253776
"Wave_631",0.087836434870949
"Wave_632",0.0890168129613759
"Wave_633",0.0957297253815128
"Wave_634",0.0990999620448884
"Wave_635",0.10015711561645
"Wave_636",0.103333895045654
"Wave_637",0.103905939947256
"Wave_638",0.106086401834111
"Wave_639",0.105289160960745
"Wave_640",0.104891585009453
"Wave_641",0.107436400766347
"Wave_642",0.115337260555439
"Wave_643",0.121992629715187
"Wave_644",0.127815216160415
"Wave_645",0.128071318242571
"Wave_646",0.126224358571024
"Wave_647",0.11926034433831
"Wave_648",0.11018486784071
"Wave_649",0.101988764840117
"Wave_650",0.0949831466410059
"Wave_651",0.0892650146757765
"Wave_652",0.0832577226352478
"Wave_653",0.0780685253216911
"Wave_654",0.0727785249868585
"Wave_655",0.0544662023530287
"Wave_656",0.0388295971427998
"Wave_657",0.0264539619585056
"Wave_658",0.0171333663683231
"Wave_659",0.0157635818841594
"Wave_660",0.0032487675754322
"Wave_661",-0.0134467763335912
"Wave_662",-0.0277251699509141
"Wave_663",-0.0457437271183786
"Wave_664",-0.0560019797643443
"Wave_665",-0.0669052684841759
"Wave_666",-0.0815118880343577
"Wave_667",-0.0880573012545282
"Wave_668",-0.099227372195202
"Wave_669",-0.11106475987412
"Wave_670",-0.118248247944334
"Wave_671",-0.118922515141559
"Wave_672",-0.11767204804084
"Wave_673",-0.115902429926506
"Wave_674",-0.122560287734683
"Wave_675",-0.120262377396516
"Wave_676",-0.114911206990626
"Wave_677",-0.110301779973569
"Wave_678",-0.110445604771308
"Wave_679",-0.102927648756111
"Wave_680",-0.0970137171975184
"Wave_681",-0.0947572741972574
