"","x"
"Wave_500",0.837798128303738
"Wave_501",0.847168096281597
"Wave_502",0.856539275464102
"Wave_503",0.864894128086578
"Wave_504",0.874473938662789
"Wave_505",0.885881687091252
"Wave_506",0.899257790672787
"Wave_507",0.916156249402922
"Wave_508",0.932797140648756
"Wave_509",0.949654859996025
"Wave_510",0.966951303837752
"Wave_511",0.985142813167342
"Wave_512",1.0060391299199
"Wave_513",1.02851672761344
"Wave_514",1.05403733327271
"Wave_515",1.07720007111555
"Wave_516",1.09929802925925
"Wave_517",1.1212444775182
"Wave_518",1.14360890702548
"Wave_519",1.16729318846436
"Wave_520",1.19144292673984
"Wave_521",1.21375415702114
"Wave_522",1.23448827389041
"Wave_523",1.2507297470737
"Wave_524",1.26700871822594
"Wave_525",1.28685490683736
"Wave_526",1.29879385003603
"Wave_527",1.30948001275383
"Wave_528",1.32437548146304
"Wave_529",1.33414874795429
"Wave_530",1.34224122921536
"Wave_531",1.35476073464423
"Wave_532",1.36520714955502
"Wave_533",1.37394201275237
"Wave_534",1.38280448215973
"Wave_535",1.39107238352583
"Wave_536",1.39816995224696
"Wave_537",1.4050895041303
"Wave_538",1.41262860797791
"Wave_539",1.41922265879802
"Wave_540",1.426937443442
"Wave_541",1.43449436216392
"Wave_542",1.44258551862414
"Wave_543",1.45119083536993
"Wave_544",1.45889054590669
"Wave_545",1.46637073117034
"Wave_546",1.47310986528427
"Wave_547",1.47980997008534
"Wave_548",1.48708350492305
"Wave_549",1.49480400543573
"Wave_550",1.50236327105635
"Wave_551",1.50913379723862
"Wave_552",1.51512645023461
"Wave_553",1.51992889119111
"Wave_554",1.52490998358507
"Wave_555",1.5279299159597
"Wave_556",1.52874092990991
"Wave_557",1.52964959139447
"Wave_558",1.52805488788982
"Wave_559",1.52643337272197
"Wave_560",1.52271483637266
"Wave_561",1.51864345974713
"Wave_562",1.51464476902737
"Wave_563",1.50754009374938
"Wave_564",1.4998340317554
"Wave_565",1.49317069293488
"Wave_566",1.48493527827409
"Wave_567",1.47548229362341
"Wave_568",1.46569031454391
"Wave_569",1.45475736375334
"Wave_570",1.44139918229798
"Wave_571",1.42673045034509
"Wave_572",1.41322161949654
"Wave_573",1.3999738576349
