"","LMA_gDW_m2.13.comps"
"(Intercept)",74.2062441567577
"Wave_500",-0.162506374206598
"Wave_501",-0.157017449311542
"Wave_502",-0.147055945746487
"Wave_503",-0.130265452102326
"Wave_504",-0.111897054721725
"Wave_505",-0.0909062853456101
"Wave_506",-0.0676251734240373
"Wave_507",-0.0285521663548789
"Wave_508",-0.00134088027201456
"Wave_509",0.0126865595286193
"Wave_510",0.0193821169497757
"Wave_511",0.032006780512841
"Wave_512",0.0513954743464325
"Wave_513",0.0670684296313869
"Wave_514",0.0816524382058238
"Wave_515",0.104253172275972
"Wave_516",0.117036441671908
"Wave_517",0.118212682067795
"Wave_518",0.125836600750304
"Wave_519",0.140608188676596
"Wave_520",0.154220107410563
"Wave_521",0.149364854090338
"Wave_522",0.151469298756911
"Wave_523",0.147655591497829
"Wave_524",0.148753039674819
"Wave_525",0.159987731225444
"Wave_526",0.153456168492459
"Wave_527",0.135715773528903
"Wave_528",0.139727307853927
"Wave_529",0.129336393858037
"Wave_530",0.115786079278348
"Wave_531",0.132318347031449
"Wave_532",0.131097052085797
"Wave_533",0.125031630702257
"Wave_534",0.116859662684536
"Wave_535",0.105105334124553
"Wave_536",0.0922501481390597
"Wave_537",0.082642171522613
"Wave_538",0.0827466940268517
"Wave_539",0.0750664259859993
"Wave_540",0.0648404574552662
"Wave_541",0.0399177486672119
"Wave_542",0.0330436413697061
"Wave_543",0.0266497335904193
"Wave_544",0.0197807128426759
"Wave_545",0.0134196818693993
"Wave_546",-0.000228369947788225
"Wave_547",-0.0154003546208226
"Wave_548",-0.0395175030264422
"Wave_549",-0.0511910608283439
"Wave_550",-0.0548425636499228
"Wave_551",-0.055164782444461
"Wave_552",-0.0550406673084557
"Wave_553",-0.0596202011050393
"Wave_554",-0.0695804100643758
"Wave_555",-0.0799249260709232
"Wave_556",-0.0847465450340246
"Wave_557",-0.0860213832405244
"Wave_558",-0.078048658486445
"Wave_559",-0.0732909032165436
"Wave_560",-0.0831885947554692
"Wave_561",-0.0952156082898991
"Wave_562",-0.114643696559167
"Wave_563",-0.11796798718684
"Wave_564",-0.126009905714061
"Wave_565",-0.129736357784048
"Wave_566",-0.127575426598441
"Wave_567",-0.126330096170683
"Wave_568",-0.12998342965106
"Wave_569",-0.134582624175713
"Wave_570",-0.137020070485512
"Wave_571",-0.137627112165622
"Wave_572",-0.133545693615233
"Wave_573",-0.12820095709298
"Wave_574",-0.126152508577399
"Wave_575",-0.126297155125138
"Wave_576",-0.121171500288464
"Wave_577",-0.119406399213129
"Wave_578",-0.113044079407227
"Wave_579",-0.109383048769798
"Wave_580",-0.107999127545262
"Wave_581",-0.100142479676685
"Wave_582",-0.0886532454758226
"Wave_583",-0.0806770760725238
"Wave_584",-0.0714110299827796
"Wave_585",-0.0650470523883131
"Wave_586",-0.0612242713316771
"Wave_587",-0.0505531790208865
"Wave_588",-0.0431151557332722
"Wave_589",-0.0282918859650617
"Wave_590",-0.015046710759275
"Wave_591",-0.00867676431641654
"Wave_592",0.00242304438657651
"Wave_593",0.0119473332128936
"Wave_594",0.0186433845135941
"Wave_595",0.0305749004863119
"Wave_596",0.0477135600214254
"Wave_597",0.0647255574565188
"Wave_598",0.0741236761486038
"Wave_599",0.0823476209623371
"Wave_600",0.0844565006246374
"Wave_601",0.0888663271627088
"Wave_602",0.0988706645134467
"Wave_603",0.112159221630352
"Wave_604",0.122100032332871
"Wave_605",0.125163454235557
"Wave_606",0.122889499099258
"Wave_607",0.125706569737867
"Wave_608",0.129286906278123
"Wave_609",0.129906761637017
"Wave_610",0.12304298990408
"Wave_611",0.118720212985158
"Wave_612",0.117117000385146
"Wave_613",0.118515224157994
"Wave_614",0.116996020945288
"Wave_615",0.109535701620031
"Wave_616",0.105609866000111
"Wave_617",0.111116419743465
"Wave_618",0.107021715715514
"Wave_619",0.100874895289144
"Wave_620",0.0960088211061857
"Wave_621",0.0894984662535778
"Wave_622",0.0874554455673895
"Wave_623",0.0876536847259618
"Wave_624",0.0877566235390069
"Wave_625",0.0949624488517856
"Wave_626",0.0973736160907378
"Wave_627",0.0960355616531548
"Wave_628",0.0947303922197696
"Wave_629",0.0955691554719389
"Wave_630",0.0954691517883009
"Wave_631",0.0950358773580166
"Wave_632",0.0990841153528551
"Wave_633",0.105724644978758
"Wave_634",0.110471036981307
"Wave_635",0.113415710321827
"Wave_636",0.120451694717161
"Wave_637",0.123906197832576
"Wave_638",0.126376240082901
"Wave_639",0.124794065596056
"Wave_640",0.131091565709804
"Wave_641",0.137499477269073
"Wave_642",0.145324702047953
"Wave_643",0.152307496623068
"Wave_644",0.15840800489972
"Wave_645",0.160948774035859
"Wave_646",0.16200652712088
"Wave_647",0.1541873977753
"Wave_648",0.146587271233433
"Wave_649",0.139117234374689
"Wave_650",0.131397132483934
"Wave_651",0.124208165164907
"Wave_652",0.112837358518324
"Wave_653",0.103167468680987
"Wave_654",0.0940235165210068
"Wave_655",0.0777533064933936
"Wave_656",0.0629287798055366
"Wave_657",0.048339496257289
"Wave_658",0.0333232576201966
"Wave_659",0.0238857538988165
"Wave_660",0.00527998364599915
"Wave_661",-0.0156071961779855
"Wave_662",-0.0299288083686011
"Wave_663",-0.0489730329138593
"Wave_664",-0.0632844964721004
"Wave_665",-0.0781419978677861
"Wave_666",-0.0929126879181405
"Wave_667",-0.100705237156749
"Wave_668",-0.113157042419594
"Wave_669",-0.125659915602097
"Wave_670",-0.135776732191988
"Wave_671",-0.140649486625421
"Wave_672",-0.140970896382914
"Wave_673",-0.141274330031238
"Wave_674",-0.153572001036923
"Wave_675",-0.150922255230762
"Wave_676",-0.147013750326201
"Wave_677",-0.146937369464986
"Wave_678",-0.150809920106224
"Wave_679",-0.144019233738877
"Wave_680",-0.13919406462177
"Wave_681",-0.137038500004823
"Wave_682",-0.137153183924899
"Wave_683",-0.137489134704042
"Wave_684",-0.13694028248741
"Wave_685",-0.139692794469573
"Wave_686",-0.134747006259378
"Wave_687",-0.135479078435148
"Wave_688",-0.130496405604129
"Wave_689",-0.122916454081665
"Wave_690",-0.12536676675052
"Wave_691",-0.14567747434328
"Wave_692",-0.144324945375492
"Wave_693",-0.112887057541641
"Wave_694",-0.12965164935828
"Wave_695",-0.108627064306673
"Wave_696",-0.0904518363469687
"Wave_697",-0.0941582118750766
"Wave_698",-0.120200983147979
"Wave_699",-0.101362580237917
"Wave_700",-0.0898250956556865
"Wave_701",-0.105352149871778
"Wave_702",-0.0610938680271219
"Wave_703",-0.0407097616801901
"Wave_704",-0.0315665772722581
"Wave_705",-0.0354541635147292
"Wave_706",0.0112000327116576
"Wave_707",0.0330123983806286
"Wave_708",0.0386767903149218
"Wave_709",0.0267545227712386
"Wave_710",0.0710526756158319
"Wave_711",0.099191690455723
"Wave_712",0.0944140511419889
"Wave_713",0.0653609270577696
"Wave_714",0.100035525486455
"Wave_715",0.105747770672688
"Wave_716",0.0930945212077833
"Wave_717",0.0725590734092706
"Wave_718",0.0550125443479726
"Wave_719",0.0644924957658101
"Wave_720",0.0714373192033041
"Wave_721",0.0421704551812026
"Wave_722",0.00768527074739309
"Wave_723",0.00351951155576486
"Wave_724",0.000641156503720987
"Wave_725",-0.0220728660558229
"Wave_726",-0.0239192432081513
"Wave_727",-0.0533077702671282
"Wave_728",-0.0699368391214266
"Wave_729",-0.0806718776128617
"Wave_730",-0.10870776708705
"Wave_731",-0.110426378077407
"Wave_732",-0.11283941144877
"Wave_733",-0.121331440902431
"Wave_734",-0.13257961329978
"Wave_735",-0.142628566594599
"Wave_736",-0.14195257246416
"Wave_737",-0.147550676025147
"Wave_738",-0.164507970409098
"Wave_739",-0.156905022395218
"Wave_740",-0.159307444631466
"Wave_741",-0.167310929708988
"Wave_742",-0.173972634090505
"Wave_743",-0.152714229709181
"Wave_744",-0.150166045502037
"Wave_745",-0.141999351313889
"Wave_746",-0.116121706780304
"Wave_747",-0.116449165587031
"Wave_748",-0.105830667139229
"Wave_749",-0.0890979399257645
"Wave_750",-0.0724536298651756
"Wave_751",-0.0704300106404885
"Wave_752",-0.0665611742991553
"Wave_753",-0.0583079162419192
"Wave_754",-0.0358704464860766
"Wave_755",-0.0290722841280732
"Wave_756",-0.0244960310035143
"Wave_757",-0.0158341794238367
"Wave_758",-0.00384943066651465
"Wave_759",-0.00709461708778473
"Wave_760",0.00630082927357675
"Wave_761",0.0203457616410363
"Wave_762",0.023342378310612
"Wave_763",0.020139096063416
"Wave_764",0.0255112394045068
"Wave_765",0.0263409753372909
"Wave_766",0.0353054981530607
