"","x"
"Wave_500",0.856222739383207
"Wave_501",0.866732892177822
"Wave_502",0.876239063835429
"Wave_503",0.884867372025633
"Wave_504",0.895900794648622
"Wave_505",0.909505671551526
"Wave_506",0.923337936395745
"Wave_507",0.938253021219406
"Wave_508",0.954575243774791
"Wave_509",0.971561285267828
"Wave_510",0.989926509328545
"Wave_511",1.00934989517816
"Wave_512",1.02906086014314
"Wave_513",1.05007468376767
"Wave_514",1.07185330621208
"Wave_515",1.09365776624916
"Wave_516",1.1175689880303
"Wave_517",1.14299018339109
"Wave_518",1.1669546654784
"Wave_519",1.18812400124876
"Wave_520",1.20894056092547
"Wave_521",1.22783557831574
"Wave_522",1.2481891001952
"Wave_523",1.26522314145252
"Wave_524",1.28090795951581
"Wave_525",1.29793565482088
"Wave_526",1.31309827042265
"Wave_527",1.32640139371692
"Wave_528",1.33854121178771
"Wave_529",1.35022099048883
"Wave_530",1.36256294582875
"Wave_531",1.37480639353904
"Wave_532",1.38512441154568
"Wave_533",1.39762784699472
"Wave_534",1.40986404335902
"Wave_535",1.42014209603739
"Wave_536",1.43006420800344
"Wave_537",1.44066822847287
"Wave_538",1.45045273862059
"Wave_539",1.46035529703079
"Wave_540",1.47079968062689
"Wave_541",1.48385939105419
"Wave_542",1.49562884654508
"Wave_543",1.50748808621833
"Wave_544",1.51834583280235
"Wave_545",1.52785244352425
"Wave_546",1.53692312700152
"Wave_547",1.5439399486001
"Wave_548",1.55329662104195
"Wave_549",1.56303519676907
"Wave_550",1.57262340392763
"Wave_551",1.58290556661789
"Wave_552",1.59066821215543
"Wave_553",1.59545371665807
"Wave_554",1.60348599760937
"Wave_555",1.60891130545436
"Wave_556",1.60986469966178
"Wave_557",1.61086505289117
"Wave_558",1.60781813103163
"Wave_559",1.60492632157503
"Wave_560",1.59941440744662
"Wave_561",1.59314550206387
"Wave_562",1.58705943217812
"Wave_563",1.57799211145476
"Wave_564",1.56707106329483
"Wave_565",1.55765663274448
"Wave_566",1.54618586604124
"Wave_567",1.5332813386918
"Wave_568",1.51996461708055
"Wave_569",1.50649503689395
"Wave_570",1.49003082767174
"Wave_571",1.47272750767713
"Wave_572",1.45727846558953
"Wave_573",1.44143202242165
"Wave_574",1.42642975794897
"Wave_575",1.41190154698554
"Wave_576",1.39802050900117
"Wave_577",1.38457942810956
"Wave_578",1.37170309436322
"Wave_579",1.35872029551768
"Wave_580",1.34687808013359
"Wave_581",1.33635685928604
"Wave_582",1.32678757741272
"Wave_583",1.31775870240694
"Wave_584",1.30884403827943
"Wave_585",1.30090394498527
"Wave_586",1.29360789539863
"Wave_587",1.28681666837113
"Wave_588",1.28016497697347
"Wave_589",1.27491046590503
"Wave_590",1.2699424526814
"Wave_591",1.26493966552165
"Wave_592",1.2615078430734
"Wave_593",1.25901355209905
"Wave_594",1.25644993400542
"Wave_595",1.25392566078608
"Wave_596",1.2533388207325
"Wave_597",1.25409533356847
"Wave_598",1.25258769572857
"Wave_599",1.25162737206934
"Wave_600",1.2499587947987
"Wave_601",1.24833441545523
"Wave_602",1.24661733577551
"Wave_603",1.24476242978282
"Wave_604",1.24186304368066
"Wave_605",1.23626657087765
"Wave_606",1.22875795953489
"Wave_607",1.22199636487877
"Wave_608",1.21489478396295
"Wave_609",1.20839051460029
"Wave_610",1.19920674796436
"Wave_611",1.1892738968477
"Wave_612",1.17967873730404
"Wave_613",1.17012633872136
"Wave_614",1.16059559182433
"Wave_615",1.15097008040992
"Wave_616",1.14305430592387
"Wave_617",1.13676995880369
"Wave_618",1.1293106788672
"Wave_619",1.12157714730248
"Wave_620",1.11540865290385
"Wave_621",1.11022011868021
"Wave_622",1.10600344880154
"Wave_623",1.1026947890116
"Wave_624",1.10020050247418
"Wave_625",1.09806688821016
"Wave_626",1.09652968705407
"Wave_627",1.0954869549928
"Wave_628",1.09365209859928
"Wave_629",1.09166785736171
"Wave_630",1.08900616076218
"Wave_631",1.0863199296368
"Wave_632",1.08365206203555
"Wave_633",1.08057035948242
"Wave_634",1.07708607342959
"Wave_635",1.07333461057422
"Wave_636",1.06925615047794
