"","x"
"Wave_500",1.07345938913956
"Wave_501",1.07943129897469
"Wave_502",1.08642234500883
"Wave_503",1.09579678980186
"Wave_504",1.10949276069784
"Wave_505",1.12583100005103
"Wave_506",1.14590058849483
"Wave_507",1.17139663691244
"Wave_508",1.20087455243557
"Wave_509",1.22543187854441
"Wave_510",1.24391648867962
"Wave_511",1.26961847883949
"Wave_512",1.30027500936106
"Wave_513",1.33601066786404
"Wave_514",1.36821721611918
"Wave_515",1.3990881936112
"Wave_516",1.42191731943769
"Wave_517",1.44005747511558
"Wave_518",1.46177389398929
"Wave_519",1.48626789466785
"Wave_520",1.51317624655329
"Wave_521",1.54002944453134
"Wave_522",1.56171015486941
"Wave_523",1.58170891536779
"Wave_524",1.60341486829639
"Wave_525",1.62431132250339
"Wave_526",1.64085189901652
"Wave_527",1.65870229534243
"Wave_528",1.6744120041754
"Wave_529",1.68559984799862
"Wave_530",1.6917093982261
"Wave_531",1.69451927817996
"Wave_532",1.69894422463445
"Wave_533",1.70339899101457
"Wave_534",1.70425264204418
"Wave_535",1.70246433648404
"Wave_536",1.69886017608168
"Wave_537",1.69619062017909
"Wave_538",1.6975628745068
"Wave_539",1.70050904775408
"Wave_540",1.70366107232423
"Wave_541",1.70721680754569
"Wave_542",1.71548594713219
"Wave_543",1.72676413014513
"Wave_544",1.73937703363246
"Wave_545",1.75235442542371
"Wave_546",1.76799574143158
"Wave_547",1.78237522397228
"Wave_548",1.79673920911017
"Wave_549",1.81401453637741
"Wave_550",1.82976383993526
"Wave_551",1.84043415018334
"Wave_552",1.84958046506547
"Wave_553",1.85980952001288
"Wave_554",1.8690140398693
"Wave_555",1.8761765006896
"Wave_556",1.88126907270658
"Wave_557",1.8846284071599
"Wave_558",1.8855312677957
"Wave_559",1.88639326617604
"Wave_560",1.87944768011837
"Wave_561",1.87215715020008
"Wave_562",1.86523402481265
"Wave_563",1.85530149017382
"Wave_564",1.84324121640406
"Wave_565",1.83266428533516
"Wave_566",1.82003226279778
"Wave_567",1.80642833162422
"Wave_568",1.79133201258711
"Wave_569",1.77549361763331
"Wave_570",1.75660082473949
"Wave_571",1.73579483456693
"Wave_572",1.71614044863008
"Wave_573",1.69778239226602
"Wave_574",1.67961064011117
"Wave_575",1.66124559322571
"Wave_576",1.6439825010119
"Wave_577",1.6278744166069
"Wave_578",1.61020361241444
"Wave_579",1.5941693887101
"Wave_580",1.58085994900768
"Wave_581",1.56823163740342
"Wave_582",1.55614282592119
"Wave_583",1.54474736300107
"Wave_584",1.53331000264853
"Wave_585",1.52272694637925
"Wave_586",1.51304576332821
"Wave_587",1.50386227448188
"Wave_588",1.49561378359597
"Wave_589",1.48864817623728
"Wave_590",1.48153111467203
"Wave_591",1.4752844578112
"Wave_592",1.46885466768418
"Wave_593",1.46350477884089
"Wave_594",1.4582040137909
"Wave_595",1.45357863524034
"Wave_596",1.44965057475465
"Wave_597",1.44611490083693
"Wave_598",1.44310567218929
"Wave_599",1.44011511610764
"Wave_600",1.43660735188973
"Wave_601",1.43352975517309
"Wave_602",1.43201460744243
