"","Narea_g_m2.16.comps"
"(Intercept)",2.17996562392394
"Wave_500",-0.011110787762315
"Wave_501",-0.00846710868107607
"Wave_502",-0.0065622172999559
"Wave_503",-0.00542301939517301
"Wave_504",-0.00349763866815819
"Wave_505",-0.00119155691903712
"Wave_506",0.00172379228540539
"Wave_507",0.0045044487454256
"Wave_508",0.00811542096151341
"Wave_509",0.0112895262056975
"Wave_510",0.0110328409119672
"Wave_511",0.0115232670302013
"Wave_512",0.0141337089574964
"Wave_513",0.0170257515019014
"Wave_514",0.0176804665471373
"Wave_515",0.0176120167633079
"Wave_516",0.0167199224978765
"Wave_517",0.0151862648872087
"Wave_518",0.0117197860232445
"Wave_519",0.00823760354672703
"Wave_520",0.00575047666951162
"Wave_521",0.00403824760238459
"Wave_522",0.00154386198030458
"Wave_523",-0.00121335745609542
"Wave_524",-0.00463357704727461
"Wave_525",-0.00901598524510633
"Wave_526",-0.0127111278405675
"Wave_527",-0.0155921942894024
"Wave_528",-0.0171128187750649
"Wave_529",-0.0178820889478241
"Wave_530",-0.0179099087073603
"Wave_531",-0.0181273105100281
"Wave_532",-0.0189707218178703
"Wave_533",-0.0209857050983856
"Wave_534",-0.0212361352361656
"Wave_535",-0.0189009470605067
"Wave_536",-0.0161917679632303
"Wave_537",-0.0144501402163655
"Wave_538",-0.0115072715290791
"Wave_539",-0.00958347558512346
"Wave_540",-0.00764188507682169
"Wave_541",-0.00522374264283144
"Wave_542",-0.00339917944900181
"Wave_543",-0.00242715848715084
"Wave_544",-0.000619886865909265
"Wave_545",0.00152179249686235
"Wave_546",0.00370927850224635
"Wave_547",0.00603765666206921
"Wave_548",0.00838066240225874
"Wave_549",0.010461090978587
"Wave_550",0.0102029808298859
"Wave_551",0.00795959318900791
"Wave_552",0.00684356926743358
"Wave_553",0.00555084538494641
"Wave_554",0.00419470070835463
"Wave_555",0.00352240622381514
"Wave_556",0.00591427815694297
"Wave_557",0.00594505396629242
"Wave_558",0.00495744733935837
"Wave_559",0.00476120901096335
"Wave_560",0.00222007824716603
"Wave_561",0.000878619190630259
"Wave_562",0.00181464824531559
"Wave_563",0.00197457827001527
"Wave_564",0.00131153005745221
"Wave_565",0.00158845307348963
"Wave_566",0.00140570156172321
"Wave_567",0.00087419818813165
"Wave_568",0.000125692256575775
"Wave_569",-0.000262230400656918
"Wave_570",0.000313219228999948
"Wave_571",0.00187842703136925
"Wave_572",0.0028968653155239
"Wave_573",0.00248759651039109
"Wave_574",0.00277280878285903
"Wave_575",0.00295230860494281
"Wave_576",0.00334667625412917
"Wave_577",0.0034494394482088
"Wave_578",0.0033859317012946
"Wave_579",0.00403747582617314
"Wave_580",0.00480650434769032
"Wave_581",0.00565855010893858
"Wave_582",0.00583337874219672
"Wave_583",0.00655229761660623
"Wave_584",0.00586552015209708
"Wave_585",0.00562364267828367
"Wave_586",0.00551445477795081
"Wave_587",0.00609401371315622
"Wave_588",0.00748610754768765
"Wave_589",0.00802750087925416
"Wave_590",0.00807828569832758
"Wave_591",0.00758253539375842
"Wave_592",0.00705807748269971
"Wave_593",0.0072543667991861
"Wave_594",0.00717716362789129
"Wave_595",0.00648931601367541
"Wave_596",0.00590124095037211
"Wave_597",0.00487296156148007
"Wave_598",0.00337393020264261
"Wave_599",0.00159916479375959
"Wave_600",0.0008075475031096
"Wave_601",0.000338405618416819
"Wave_602",-3.69373807596043e-05
"Wave_603",-0.000885586688983172
"Wave_604",-0.0017267513013229
"Wave_605",-0.00237317133288241
"Wave_606",-0.00285268357533415
"Wave_607",-0.00425470941190143
"Wave_608",-0.00526604518965135
"Wave_609",-0.00568413395393886
"Wave_610",-0.00401094573218663
"Wave_611",-0.00390521186986575
"Wave_612",-0.00461335491213275
