"","Narea_g_m2.16.comps"
"(Intercept)",2.12332867443014
"Wave_500",0.00298344648333993
"Wave_501",0.00466293185681698
"Wave_502",0.00602040959715595
"Wave_503",0.00658486642887277
"Wave_504",0.00757764560828959
"Wave_505",0.00834274518045906
"Wave_506",0.00949719001006587
"Wave_507",0.011384390522926
"Wave_508",0.0134562909483045
"Wave_509",0.0141112473933712
"Wave_510",0.0140676534496018
"Wave_511",0.0146757127373557
"Wave_512",0.0158182950443814
"Wave_513",0.0169187722742865
"Wave_514",0.0158844202257224
"Wave_515",0.0151504680565984
"Wave_516",0.0134860845358533
"Wave_517",0.0113195347450908
"Wave_518",0.00847563897689916
"Wave_519",0.00598894863720124
"Wave_520",0.00284234236422361
"Wave_521",0.000640468968491017
"Wave_522",-0.00162578805161966
"Wave_523",-0.00511640055579477
"Wave_524",-0.00843195474213235
"Wave_525",-0.0110763167581545
"Wave_526",-0.0137777037285024
"Wave_527",-0.0155834610975627
"Wave_528",-0.0168502579966895
"Wave_529",-0.0174238988351092
"Wave_530",-0.0176466346703883
"Wave_531",-0.0181956892673056
"Wave_532",-0.0187999810333992
"Wave_533",-0.0198932377566798
"Wave_534",-0.0188801701111817
"Wave_535",-0.0166534539179723
"Wave_536",-0.0138329514293807
"Wave_537",-0.0120217558176065
"Wave_538",-0.0104171211005049
"Wave_539",-0.0091624099865896
"Wave_540",-0.00700992774049345
"Wave_541",-0.00407373883715026
"Wave_542",-0.00194082913162147
"Wave_543",-0.000289149669679272
"Wave_544",0.000946743509431765
"Wave_545",0.00226032534198579
"Wave_546",0.00358469016016789
"Wave_547",0.00521961719740205
"Wave_548",0.00736891813065248
"Wave_549",0.00924199429438161
"Wave_550",0.0100141001279419
"Wave_551",0.00885194315947125
"Wave_552",0.00740146911964767
"Wave_553",0.00579760766525252
"Wave_554",0.00414027930757469
"Wave_555",0.00338184737733936
"Wave_556",0.00519144552494282
"Wave_557",0.00610014304681663
"Wave_558",0.00543450425286343
"Wave_559",0.00449954730854758
"Wave_560",0.00262546768263021
"Wave_561",0.0016263236549889
"Wave_562",0.00186198271059021
"Wave_563",0.00124331429692216
"Wave_564",0.00043883419278126
"Wave_565",0.000898743558029618
"Wave_566",0.00109295166800769
"Wave_567",0.000530513391630095
"Wave_568",-0.000358901362691901
"Wave_569",-0.00149727350035118
"Wave_570",-0.00234796786140682
"Wave_571",-0.000267087467347442
"Wave_572",0.00172938114403703
"Wave_573",0.00211646864227595
"Wave_574",0.0018894658313109
"Wave_575",0.00148468287767181
"Wave_576",0.00144286499625241
"Wave_577",0.000969929956396661
"Wave_578",0.000797705642427765
"Wave_579",0.00173042157881735
"Wave_580",0.00282723856788431
"Wave_581",0.00391777812330386
"Wave_582",0.00445297700870664
"Wave_583",0.00487645167580312
"Wave_584",0.00440366945400424
"Wave_585",0.00386013658771046
"Wave_586",0.0036432949943832
"Wave_587",0.00457432553890118
"Wave_588",0.00594182622955971
"Wave_589",0.00703075693554831
"Wave_590",0.00746333380472264
"Wave_591",0.00754106532119256
"Wave_592",0.00645137610944889
"Wave_593",0.00586697809227427
"Wave_594",0.00562424919267784
"Wave_595",0.00542948563725376
"Wave_596",0.00568205134316813
"Wave_597",0.00577268231042012
"Wave_598",0.00442831353028616
"Wave_599",0.00300121029693492
"Wave_600",0.00163845342785185
"Wave_601",0.000947002614239973
"Wave_602",0.000639963993900647
"Wave_603",0.000516786643028061
"Wave_604",0.000324582774499866
"Wave_605",-0.00053303614111281
"Wave_606",-0.00147421794980471
"Wave_607",-0.00281685919693203
"Wave_608",-0.00364641914849048
"Wave_609",-0.0036477595538183
"Wave_610",-0.00212413870159568
"Wave_611",-0.00159888397200094
"Wave_612",-0.00205519694570652
"Wave_613",-0.0024652150953024
"Wave_614",-0.00280719990042598
"Wave_615",-0.00227067015017083
"Wave_616",-0.00173197748616999
"Wave_617",-0.00214520230546052
"Wave_618",-0.00084071038647972
"Wave_619",-0.000327074138638222
"Wave_620",-0.000644721443249091
"Wave_621",-0.00197535621463744
"Wave_622",-0.00151003662739874
"Wave_623",-0.000290980990998489
"Wave_624",0.000643610104979087
"Wave_625",-9.40964583372668e-05
"Wave_626",-0.00110825763898713
"Wave_627",-0.00161358991357188
"Wave_628",-0.00118616446886984
"Wave_629",-0.00130627549058152
"Wave_630",-0.00035958678495288
"Wave_631",0.000638474670228058
"Wave_632",0.00154231062142209
"Wave_633",0.00275124474933089
"Wave_634",0.00341870153795074
"Wave_635",0.0042011603598709
"Wave_636",0.00492852280874971
"Wave_637",0.00550771974563527
"Wave_638",0.00599295844098254
"Wave_639",0.00669184671418653
"Wave_640",0.00659015331031731
"Wave_641",0.00694813115528661
"Wave_642",0.0070891336750065
"Wave_643",0.00637502327841873
"Wave_644",0.00567018438655182
"Wave_645",0.00498210782085478
"Wave_646",0.00446229135394313
"Wave_647",0.00329452859048553
"Wave_648",0.00241941858786502
"Wave_649",0.0018142996151385
"Wave_650",0.00063327793803282
"Wave_651",-0.00114304665333469
"Wave_652",-0.00207594127356397
"Wave_653",-0.00257850460086731
"Wave_654",-0.00274060289489124
"Wave_655",-0.00400946063025033
"Wave_656",-0.00476061161965516
"Wave_657",-0.00567475785085929
"Wave_658",-0.0067673455866551
"Wave_659",-0.00707432006999193
"Wave_660",-0.00842558733006519
"Wave_661",-0.00973383303522503
"Wave_662",-0.0111639581215075
"Wave_663",-0.0112138802062956
"Wave_664",-0.0111124269268555
"Wave_665",-0.0117398563480013
"Wave_666",-0.013189978053333
"Wave_667",-0.0157728675143251
"Wave_668",-0.0176779119242794
"Wave_669",-0.018060943155742
"Wave_670",-0.0175066427340729
"Wave_671",-0.0174817940796461
"Wave_672",-0.0177148948076953
"Wave_673",-0.0179031763679291
"Wave_674",-0.0187598107807605
"Wave_675",-0.0189097044314355
"Wave_676",-0.0183257097219394
"Wave_677",-0.0170145447285945
"Wave_678",-0.0159853953835686
"Wave_679",-0.0157737943449342
"Wave_680",-0.0144898252044047
"Wave_681",-0.01301808179345
"Wave_682",-0.0120487006461149
"Wave_683",-0.0104795206824397
"Wave_684",-0.00772843324298078
"Wave_685",-0.00377894173937341
"Wave_686",-0.000456407899868551
"Wave_687",0.00222322631509161
"Wave_688",0.00559025841701483
"Wave_689",0.00875549039435865
"Wave_690",0.0101973261395442
"Wave_691",0.0108090636097847
"Wave_692",0.0117348606963771
"Wave_693",0.0115896892389111
"Wave_694",0.0102048922267082
"Wave_695",0.0073597916481158
"Wave_696",0.00413758175655005
"Wave_697",-0.000170099357361295
"Wave_698",-0.00348477801600531
"Wave_699",-0.00649441606232768
"Wave_700",-0.0105346782982566
"Wave_701",-0.0113562102602381
"Wave_702",-0.0155467328062539
"Wave_703",-0.0160378605281241
"Wave_704",-0.0150555362199453
"Wave_705",-0.0117850908044774
"Wave_706",-0.0130285438886489
"Wave_707",-0.0100150888673964
"Wave_708",-0.00647663279059661
"Wave_709",-0.000196248388982824
"Wave_710",-0.00170911189896868
"Wave_711",-0.0030454359895651
"Wave_712",-0.000755553667400652
"Wave_713",0.00807319115476354
"Wave_714",0.00621896806885771
"Wave_715",0.00456830784393907
"Wave_716",0.00619575199384353
"Wave_717",0.0103381486948895
"Wave_718",0.00903471212477247
"Wave_719",0.00678181151381187
"Wave_720",0.00493637446292584
"Wave_721",0.00579882518703977
"Wave_722",0.00774177768206146
"Wave_723",0.00497573373927201
"Wave_724",0.00190077781850186
"Wave_725",0.000556429356579751
"Wave_726",-0.0025312485172772
"Wave_727",-0.00304883553251003
"Wave_728",-0.00227638805873227
"Wave_729",-0.00493087561040762
"Wave_730",-0.00503365741063053
"Wave_731",-0.00569980406449751
"Wave_732",-0.0071426676017575
"Wave_733",-0.00696663134006307
"Wave_734",-0.00705517659270666
"Wave_735",-0.00805578510706991
"Wave_736",-0.00967006699376452
"Wave_737",-0.00881437078355855
"Wave_738",-0.005810099042325
"Wave_739",-0.0027846902972606
"Wave_740",-0.000597720609667097
"Wave_741",0.00010690375068165
"Wave_742",0.000113052907757287
"Wave_743",-0.00143286466358754
"Wave_744",-0.000131166162002492
"Wave_745",0.00302697870183185
"Wave_746",0.00539625409689807
"Wave_747",0.00732533326468665
"Wave_748",0.00923611259581146
"Wave_749",0.00802564376129091
