"","x"
"Wave_500",1.06439225443825
"Wave_501",1.0749536958278
"Wave_502",1.08619996992392
"Wave_503",1.09785081637265
"Wave_504",1.11317348175244
"Wave_505",1.12756852426135
"Wave_506",1.14211294208025
"Wave_507",1.1612007106086
"Wave_508",1.18577506670439
"Wave_509",1.2092821058292
"Wave_510",1.23265529059833
"Wave_511",1.25869338435413
"Wave_512",1.28703862309577
"Wave_513",1.3158604570691
"Wave_514",1.34268655157748
"Wave_515",1.37177262661941
"Wave_516",1.39958279958915
"Wave_517",1.42838082480671
"Wave_518",1.4551761935268
"Wave_519",1.48281503032112
"Wave_520",1.51302613693074
"Wave_521",1.54122471938
"Wave_522",1.56733203609698
"Wave_523",1.59322957587713
"Wave_524",1.61768238149287
"Wave_525",1.63748580314006
"Wave_526",1.65389968484253
"Wave_527",1.66901269960879
"Wave_528",1.6742060070052
"Wave_529",1.67611009446775
"Wave_530",1.67615848803615
"Wave_531",1.67377184675429
"Wave_532",1.67328498158191
"Wave_533",1.67232989060772
"Wave_534",1.66487552074347
"Wave_535",1.65629580501154
"Wave_536",1.64951094386261
"Wave_537",1.6460501883296
"Wave_538",1.64445079201278
"Wave_539",1.64530833558118
"Wave_540",1.64936238217863
"Wave_541",1.65674265911904
"Wave_542",1.66747984564871
"Wave_543",1.68115727774277
"Wave_544",1.69633650947772
"Wave_545",1.71155619152574
"Wave_546",1.72883439927499
"Wave_547",1.7498094808433
"Wave_548",1.77361342041326
"Wave_549",1.79832675362266
"Wave_550",1.8182426344053
"Wave_551",1.82659978958759
"Wave_552",1.83399950171774
"Wave_553",1.84013753214338
"Wave_554",1.84690875273448
"Wave_555",1.85487189135663
"Wave_556",1.86526683570189
"Wave_557",1.87292231475335
"Wave_558",1.87480326936623
"Wave_559",1.87394206055405
"Wave_560",1.86736407020672
"Wave_561",1.86197716194662
"Wave_562",1.85721570770421
"Wave_563",1.84860116892891
"Wave_564",1.83722285750347
"Wave_565",1.82764665886739
"Wave_566",1.81527400169181
"Wave_567",1.80118239307041
"Wave_568",1.78554626957483
"Wave_569",1.76904549498886
"Wave_570",1.74933864758059
"Wave_571",1.72675553467265
"Wave_572",1.7064456244269
"Wave_573",1.68647505581532
"Wave_574",1.66750357054593
"Wave_575",1.64882449066576
"Wave_576",1.63068018939464
"Wave_577",1.61481464028914
"Wave_578",1.59767074300116
"Wave_579",1.57981316312079
"Wave_580",1.56373301683015
"Wave_581",1.54968398117364
"Wave_582",1.537029512878
"Wave_583",1.52509179503681
"Wave_584",1.51325946573595
"Wave_585",1.50255023019632
"Wave_586",1.49238616334149
"Wave_587",1.48168893050466
"Wave_588",1.47212766935185
"Wave_589",1.46469441404882
"Wave_590",1.45761460799378
"Wave_591",1.45044722943783
"Wave_592",1.44400684046584
"Wave_593",1.43850394209193
"Wave_594",1.43270452287282
"Wave_595",1.42739011215839
"Wave_596",1.42324947974841
"Wave_597",1.41980720350811
"Wave_598",1.41630856834106
"Wave_599",1.41338209793224
"Wave_600",1.40984415599753
"Wave_601",1.40622869584351
"Wave_602",1.40322035530306
"Wave_603",1.39894371195865
"Wave_604",1.39397257949056
"Wave_605",1.38900333864532
"Wave_606",1.3838555814775
"Wave_607",1.37826332409973
"Wave_608",1.37166630851897
"Wave_609",1.36375302442233
"Wave_610",1.35292123619653
"Wave_611",1.34368714638898
"Wave_612",1.33511883559285
"Wave_613",1.32600174991064
"Wave_614",1.31783448333897
"Wave_615",1.30884495171897
"Wave_616",1.30053838160519
"Wave_617",1.29344034666814
"Wave_618",1.286049952277
"Wave_619",1.28008993470842
"Wave_620",1.27530445273726
"Wave_621",1.27255279777143
"Wave_622",1.26889643318243
"Wave_623",1.26573263649058
"Wave_624",1.26399730318399
"Wave_625",1.26355505714686
"Wave_626",1.26393269884678
"Wave_627",1.26466013095221
"Wave_628",1.2650336773602
"Wave_629",1.26440289913359
"Wave_630",1.26303016239189
"Wave_631",1.26210521639355
"Wave_632",1.26193135394729
"Wave_633",1.26101769277515
"Wave_634",1.25891542329837
"Wave_635",1.25634801659243
"Wave_636",1.25291976573341
"Wave_637",1.24887584228595
"Wave_638",1.2446258217739
"Wave_639",1.24066385099243
"Wave_640",1.2340667999392
"Wave_641",1.22854585164167
"Wave_642",1.22243084470725
"Wave_643",1.21377020979537
"Wave_644",1.20457020937819
"Wave_645",1.19620891155196
"Wave_646",1.18861837604116
"Wave_647",1.17937856124671
"Wave_648",1.17095161007612
"Wave_649",1.16309328612975
"Wave_650",1.15384605506868
"Wave_651",1.14454042091125
"Wave_652",1.13585383040827
"Wave_653",1.12727785734224
"Wave_654",1.11905047593778
"Wave_655",1.10966111877914
"Wave_656",1.09780650500277
"Wave_657",1.08603301808271
"Wave_658",1.074568303449
"Wave_659",1.05977781366789
"Wave_660",1.04742365362315
"Wave_661",1.03564205278374
"Wave_662",1.02402714453805
"Wave_663",1.01215126740236
"Wave_664",1.00043934900284
"Wave_665",0.990755936006852
"Wave_666",0.98411612482116
"Wave_667",0.984791287446313
"Wave_668",0.987420610440541
"Wave_669",0.984679793504581
"Wave_670",0.977534380642153
"Wave_671",0.974812820305006
"Wave_672",0.974013094853791
"Wave_673",0.974071372586916
"Wave_674",0.978488251620467
"Wave_675",0.981748763312443
"Wave_676",0.981610988337886
"Wave_677",0.979269841886217
"Wave_678",0.978124762502754
"Wave_679",0.981985087761274
"Wave_680",0.982920268851294
"Wave_681",0.984891553791806
"Wave_682",0.99175169641973
"Wave_683",0.998816941700986
"Wave_684",1.00583105387263
"Wave_685",1.01727857165421
"Wave_686",1.0419026736987
"Wave_687",1.07423655695699
"Wave_688",1.11766492310622
"Wave_689",1.17375602423615
"Wave_690",1.23767813276395
"Wave_691",1.30892967914168
"Wave_692",1.39264328913122
"Wave_693",1.48610356658355
"Wave_694",1.58381722129544
"Wave_695",1.68502743349555
"Wave_696",1.78895150417953
"Wave_697",1.90112737828793
"Wave_698",2.0043007972516
"Wave_699",2.09942704621902
"Wave_700",2.1954957959801
"Wave_701",2.26981405977159
"Wave_702",2.34346740471496
"Wave_703",2.38788767088918
"Wave_704",2.41815009537439
"Wave_705",2.43136292868688
"Wave_706",2.45198267197483
"Wave_707",2.44650988502043
"Wave_708",2.4368267600352
"Wave_709",2.41391663072049
"Wave_710",2.40562303418549
"Wave_711",2.38816449795313
"Wave_712",2.3598294752178
"Wave_713",2.32603048223563
"Wave_714",2.29739979970125
"Wave_715",2.25945465162417
"Wave_716",2.21588923346538
"Wave_717",2.16980641901844
"Wave_718",2.11564452139209
"Wave_719",2.06636570745477
"Wave_720",2.01454810860653
"Wave_721",1.95600239162128
"Wave_722",1.89777468307925
"Wave_723",1.84024494368047
"Wave_724",1.78236581113929
"Wave_725",1.7244933334728
"Wave_726",1.67772201491276
"Wave_727",1.62100357340612
"Wave_728",1.5695418640176
"Wave_729",1.53856162156243
"Wave_730",1.4925668806957
"Wave_731",1.45486014125569
"Wave_732",1.42551748067365
"Wave_733",1.39114773620457
"Wave_734",1.36460533871889
"Wave_735",1.35070358383804
"Wave_736",1.33323545349539
"Wave_737",1.30604272459012
"Wave_738",1.26970576891798
"Wave_739",1.23891722962008
"Wave_740",1.2120680855275
"Wave_741",1.19687006424727
"Wave_742",1.18173149790781
"Wave_743",1.18167132823912
"Wave_744",1.16661509836691
"Wave_745",1.14142211825155
"Wave_746",1.12613977653732
"Wave_747",1.11206637682054
"Wave_748",1.10201507717701
"Wave_749",1.09325980218918
"Wave_750",1.09121504236305
"Wave_751",1.08526580494481
"Wave_752",1.07896559577654
"Wave_753",1.07781282053643
"Wave_754",1.07507867579985
"Wave_755",1.06612594864602
"Wave_756",1.06045088012358
"Wave_757",1.06124398393965
"Wave_758",1.06119543572696
"Wave_759",1.05424042923049
"Wave_760",1.04683870407372
"Wave_761",1.04293153242281
"Wave_762",1.04200174045578
"Wave_763",1.03471418254562
"Wave_764",1.03226586220877
"Wave_765",1.0299216036549
"Wave_766",1.02420821002177
"Wave_767",1.02294749194948
"Wave_768",1.02031629279724
"Wave_769",1.01898879079708
"Wave_770",1.017029047255
"Wave_771",1.01447143141571
"Wave_772",1.01050716401445
"Wave_773",1.00926944062414
"Wave_774",1.00812321040302
"Wave_775",1.00380881039929
"Wave_776",1.0010545642048
"Wave_777",0.999545082965953
"Wave_778",0.998622821111633
"Wave_779",0.997821975281102
"Wave_780",0.995907081702268
"Wave_781",0.991197822309412
"Wave_782",0.990844959464989
"Wave_783",0.989155577574358
"Wave_784",0.98749216701228
"Wave_785",0.992849091632648
"Wave_786",0.988958184421417
"Wave_787",0.985933949837341
"Wave_788",0.985799255252937
"Wave_789",0.983717433802998
"Wave_790",0.980046128353768
"Wave_791",0.976856529709867
"Wave_792",0.977875791574942
"Wave_793",0.975741897579847
"Wave_794",0.975005741406065
"Wave_795",0.975303878208343
"Wave_796",0.971812078172982
"Wave_797",0.968213348764212
"Wave_798",0.970752740048055
"Wave_799",0.983905859754643
"Wave_800",0.969915329782757
"Wave_801",0.97032277689767
"Wave_802",0.970787436932547
"Wave_803",0.969922500014335
"Wave_804",0.970167260408716
"Wave_805",0.972593878882733
"Wave_806",0.969556829615314
"Wave_807",0.961885381806114
"Wave_808",0.959196295617094
"Wave_809",0.960663865188413
