"","Nmass_mg_g.18.comps"
"(Intercept)",24.7802046048666
"Wave_500",0.101169722561921
"Wave_501",0.114107732442018
"Wave_502",0.134846593564229
"Wave_503",0.157722242961644
"Wave_504",0.158244510538458
"Wave_505",0.147820663476607
"Wave_506",0.141489406463462
"Wave_507",0.144096478459914
"Wave_508",0.154825135289052
"Wave_509",0.147589625912749
"Wave_510",0.122064956607986
"Wave_511",0.112766190942592
"Wave_512",0.133217680629315
"Wave_513",0.153447056235391
"Wave_514",0.131305703576358
"Wave_515",0.0946341038593187
"Wave_516",0.0491234808564876
"Wave_517",0.0077649385215314
"Wave_518",-0.0237276396603024
"Wave_519",-0.0517330105735659
"Wave_520",-0.0863278590520967
"Wave_521",-0.121294319265222
"Wave_522",-0.149615370001344
"Wave_523",-0.161489306853698
"Wave_524",-0.181879007036824
"Wave_525",-0.214600969329228
"Wave_526",-0.223412885362436
"Wave_527",-0.231746805904891
"Wave_528",-0.2514111857956
"Wave_529",-0.243457799563406
"Wave_530",-0.223395036040904
"Wave_531",-0.235783276895537
"Wave_532",-0.242385851977711
"Wave_533",-0.252726323261329
"Wave_534",-0.235167268421541
"Wave_535",-0.205670952126638
"Wave_536",-0.165591600092511
"Wave_537",-0.12873019599417
"Wave_538",-0.0804481148919103
"Wave_539",-0.0590081370438033
"Wave_540",-0.0488672425120933
"Wave_541",-0.0225572064452556
"Wave_542",0.00386554742818177
"Wave_543",0.0270660173604682
"Wave_544",0.0516530799288094
"Wave_545",0.0692196357267894
"Wave_546",0.10352126432607
"Wave_547",0.123046170944453
"Wave_548",0.166611916626603
"Wave_549",0.190984443789408
"Wave_550",0.188011078434527
"Wave_551",0.180036781651239
"Wave_552",0.160427650892695
"Wave_553",0.116457625590789
"Wave_554",0.0768866432716554
"Wave_555",0.0359984295709351
"Wave_556",0.0383427181115225
"Wave_557",0.0385034197646705
"Wave_558",0.0171234157890466
"Wave_559",0.00869535853536202
"Wave_560",-0.00205068899088313
"Wave_561",-0.0163460623836899
"Wave_562",-0.0175050818133337
"Wave_563",-0.0283953547049306
"Wave_564",-0.0246660507460535
"Wave_565",0.00145672053178677
