"","Nmass_mg_g.14.comps"
"(Intercept)",24.5653983853831
"Wave_500",0.113740973540085
"Wave_501",0.121165613561051
"Wave_502",0.126504594065244
"Wave_503",0.124878501579555
"Wave_504",0.121932187531637
"Wave_505",0.111779862211423
"Wave_506",0.102715198039427
"Wave_507",0.0937461945276216
"Wave_508",0.0840383234043386
"Wave_509",0.0735105118472268
"Wave_510",0.0669780852990101
"Wave_511",0.0625004496622271
"Wave_512",0.0579572512811665
"Wave_513",0.0519370753984543
"Wave_514",0.0378164752348209
"Wave_515",0.0234930083613705
"Wave_516",0.00704138700520416
"Wave_517",-0.0119946459801789
"Wave_518",-0.0324283521418724
"Wave_519",-0.0506212905706734
"Wave_520",-0.0702919619007152
"Wave_521",-0.0935250864962032
"Wave_522",-0.112728338065538
"Wave_523",-0.125198932620146
"Wave_524",-0.142163780859466
"Wave_525",-0.164675072069778
"Wave_526",-0.174946564290472
"Wave_527",-0.180945018945449
"Wave_528",-0.193347675550726
"Wave_529",-0.197038679624298
"Wave_530",-0.19686009216477
"Wave_531",-0.206343368812003
"Wave_532",-0.208884913247022
"Wave_533",-0.208485603203575
"Wave_534",-0.202049751822529
"Wave_535",-0.188629800170201
"Wave_536",-0.169782581609682
"Wave_537",-0.149178764462285
"Wave_538",-0.13668198973586
"Wave_539",-0.125296118310024
"Wave_540",-0.110571751050585
"Wave_541",-0.0874725144909912
"Wave_542",-0.0693145612537355
"Wave_543",-0.0520838285869897
"Wave_544",-0.0370997801434587
"Wave_545",-0.0255648151229702
"Wave_546",-0.00730504692441689
"Wave_547",0.00507901571939835
"Wave_548",0.0184987308216035
"Wave_549",0.0312855258971826
"Wave_550",0.0397349580470478
"Wave_551",0.0456617253512619
"Wave_552",0.0510923873848041
"Wave_553",0.0500986149207158
"Wave_554",0.0497687851673229
"Wave_555",0.0481418108503337
"Wave_556",0.0596258112658026
"Wave_557",0.0657957513925944
"Wave_558",0.0645346474254186
"Wave_559",0.0656173285561413
"Wave_560",0.0662903084665556
"Wave_561",0.0678240007039357
"Wave_562",0.0773223881928486
"Wave_563",0.0792750959460066
"Wave_564",0.0821315734098147
"Wave_565",0.0904687005991628
"Wave_566",0.0967026571784532
"Wave_567",0.0941322694237107
"Wave_568",0.0946076048067067
"Wave_569",0.0961712207123882
"Wave_570",0.0950893229962567
"Wave_571",0.103953762852655
"Wave_572",0.113403088545668
"Wave_573",0.115021988936422
"Wave_574",0.120135669009628
"Wave_575",0.12262722179386
"Wave_576",0.121600617758645
"Wave_577",0.123272740844546
"Wave_578",0.12002049007319
"Wave_579",0.121202547255963
"Wave_580",0.126044438597698
"Wave_581",0.128165169866334
"Wave_582",0.123670196485569
"Wave_583",0.122665468013507
"Wave_584",0.121531782449763
"Wave_585",0.118623863454541
"Wave_586",0.116108381980029
"Wave_587",0.113532504042475
"Wave_588",0.11470075815345
"Wave_589",0.111245700397067
"Wave_590",0.103146317381255
"Wave_591",0.0957833796960971
"Wave_592",0.0888617768532608
"Wave_593",0.0843287263625096
"Wave_594",0.0794628969538392
"Wave_595",0.0726056844717436
"Wave_596",0.0630344857410291
"Wave_597",0.0505590541276796
"Wave_598",0.0385769489163028
"Wave_599",0.0279177165167846
"Wave_600",0.0203106631019974
"Wave_601",0.0127426250829382
"Wave_602",0.00530671003630075
"Wave_603",-0.00345363161818758
"Wave_604",-0.00954866833796451
"Wave_605",-0.0145834681805789
"Wave_606",-0.0157601475073632
"Wave_607",-0.0236248019736985
"Wave_608",-0.0313295129503363
"Wave_609",-0.0334662730985808
"Wave_610",-0.0292100332978261
"Wave_611",-0.026607387408136
"Wave_612",-0.0279093048881533
"Wave_613",-0.0312270022172753
"Wave_614",-0.029896411682238
"Wave_615",-0.0277264230732583
"Wave_616",-0.0292335834998128
"Wave_617",-0.035044069858399
"Wave_618",-0.0293588516568944
"Wave_619",-0.0252618818743635
"Wave_620",-0.0255438633897767
"Wave_621",-0.0270267629987481
"Wave_622",-0.0276677424022831
"Wave_623",-0.0263637597781419
"Wave_624",-0.0240383514523035
"Wave_625",-0.0315173036356313
"Wave_626",-0.0367193572938155
"Wave_627",-0.0391412563021669
"Wave_628",-0.0373953223754575
"Wave_629",-0.0401930657090436
"Wave_630",-0.040229643084998
"Wave_631",-0.0409850842185224
"Wave_632",-0.0402142731392477
"Wave_633",-0.0401726816185527
"Wave_634",-0.039260493598592
"Wave_635",-0.0364180345590735
"Wave_636",-0.0359533803160643
"Wave_637",-0.0381057189948808
"Wave_638",-0.0422228598396914
"Wave_639",-0.0452041085989525
"Wave_640",-0.0486913867328645
"Wave_641",-0.0510513399337839
"Wave_642",-0.055862245889771
"Wave_643",-0.0644755101559717
"Wave_644",-0.0717338078311695
