"","x"
"Wave_500",1.04408817742291
"Wave_501",1.03379522609787
"Wave_502",1.02572934743928
"Wave_503",1.01815861754258
"Wave_504",1.01435396384165
"Wave_505",1.01087479658487
"Wave_506",1.00616189717248
"Wave_507",1.00576412429291
"Wave_508",1.01000300236495
"Wave_509",1.01453807506955
"Wave_510",1.02181793404081
"Wave_511",1.03188982467614
"Wave_512",1.04896323634575
"Wave_513",1.07150168871287
"Wave_514",1.09731421008169
"Wave_515",1.12650768110059
"Wave_516",1.16146068178884
"Wave_517",1.1985097361953
"Wave_518",1.23529913670955
"Wave_519",1.27380916349512
"Wave_520",1.32023450081053
"Wave_521",1.36989229111769
"Wave_522",1.40999351123116
"Wave_523",1.4415148315746
"Wave_524",1.47538459335642
"Wave_525",1.50971061487908
"Wave_526",1.52473522893483
"Wave_527",1.54051227344842
"Wave_528",1.55273226281723
"Wave_529",1.5550480395649
"Wave_530",1.55124803364731
"Wave_531",1.55046121867603
"Wave_532",1.54350104123138
"Wave_533",1.53116472061354
"Wave_534",1.51650387331801
"Wave_535",1.49886114127231
"Wave_536",1.48289332647447
"Wave_537",1.47080750179747
"Wave_538",1.46584178753606
"Wave_539",1.4648499881897
"Wave_540",1.4687030506144
"Wave_541",1.47864286973829
"Wave_542",1.49543583385469
"Wave_543",1.51760972570401
"Wave_544",1.54417282063409
"Wave_545",1.57382088102141
"Wave_546",1.60663398773897
"Wave_547",1.63804200180146
"Wave_548",1.67453630109068
"Wave_549",1.71193008335438
"Wave_550",1.75040934111152
"Wave_551",1.78690379470254
"Wave_552",1.81837656681381
"Wave_553",1.84401244295373
"Wave_554",1.87008941623366
"Wave_555",1.88854639250886
"Wave_556",1.90708475426892
"Wave_557",1.91856827736003
"Wave_558",1.91605623104526
"Wave_559",1.91318174481018
"Wave_560",1.90525759128028
"Wave_561",1.89214542188145
"Wave_562",1.87921686365147
"Wave_563",1.85516015244455
"Wave_564",1.82510715021621
"Wave_565",1.7994809063049
"Wave_566",1.77065273203389
"Wave_567",1.73379475359542
"Wave_568",1.69672929861161
"Wave_569",1.65983999580479
"Wave_570",1.61789993423303
"Wave_571",1.5806421061449
"Wave_572",1.54816462147836
"Wave_573",1.50896714412912
"Wave_574",1.47456110442779
"Wave_575",1.43915136152145
"Wave_576",1.40410356105807
"Wave_577",1.37343006376226
"Wave_578",1.33875014773335
"Wave_579",1.30865007828045
"Wave_580",1.28364955736946
"Wave_581",1.26108076425492
"Wave_582",1.23336447254003
"Wave_583",1.21152555432082
"Wave_584",1.19021990623956
"Wave_585",1.16817415422195
"Wave_586",1.1485560166324
"Wave_587",1.12955954973363
"Wave_588",1.11295380306645
"Wave_589",1.09589390069317
"Wave_590",1.07618433391773
"Wave_591",1.05870793556601
"Wave_592",1.04356328251163
"Wave_593",1.03156050882973
"Wave_594",1.019149415984
"Wave_595",1.00621093192344
"Wave_596",0.993227845139953
"Wave_597",0.980535871158452
"Wave_598",0.970807883531368
"Wave_599",0.964506134994667
"Wave_600",0.959281786083309
"Wave_601",0.954984623778074
"Wave_602",0.952367818969252
"Wave_603",0.950947277986168
"Wave_604",0.949765660971219
"Wave_605",0.949244651328674
"Wave_606",0.948897650012271
"Wave_607",0.949828274201656
"Wave_608",0.951487536194019
"Wave_609",0.953227139653383
"Wave_610",0.953485497247128
"Wave_611",0.954509244331673
"Wave_612",0.956840044370754
"Wave_613",0.959940091160167
"Wave_614",0.961974114639887
"Wave_615",0.964134877167953
"Wave_616",0.967799681832711
"Wave_617",0.973410259353536
"Wave_618",0.975302812913549
"Wave_619",0.977806338777775
"Wave_620",0.981825567911463
"Wave_621",0.987395861102059
"Wave_622",0.992423513299416
"Wave_623",0.996911226713034
"Wave_624",1.00167949019293
"Wave_625",1.00889275606945
"Wave_626",1.01561818530332
"Wave_627",1.02182149333576
"Wave_628",1.02649577212557
"Wave_629",1.031827868372
"Wave_630",1.03539880613169
"Wave_631",1.03894144801019
"Wave_632",1.04277111166211
"Wave_633",1.04614718492526
"Wave_634",1.04916133247625
"Wave_635",1.05146489456206
"Wave_636",1.05468506521783
"Wave_637",1.05819126066466
"Wave_638",1.06311270747044
"Wave_639",1.0686745761802
"Wave_640",1.07460887398555
"Wave_641",1.08072878911704
"Wave_642",1.08806515966146
"Wave_643",1.09677710043576
"Wave_644",1.10597923258835
"Wave_645",1.11606268901592
"Wave_646",1.12443142755556
"Wave_647",1.1328511397767
"Wave_648",1.13053062849425
"Wave_649",1.12863851663481
"Wave_650",1.13091834406726
"Wave_651",1.13857729613078
"Wave_652",1.14112723115489
"Wave_653",1.14064212167668
"Wave_654",1.13512148006438
"Wave_655",1.12745262597767
"Wave_656",1.11987895544413
"Wave_657",1.11351913290283
"Wave_658",1.10893410232926
"Wave_659",1.10348961134778
"Wave_660",1.10001771363114
"Wave_661",1.09429537386394
"Wave_662",1.09185444763575
"Wave_663",1.08828205683832
"Wave_664",1.08572633795226
"Wave_665",1.08463347865095
"Wave_666",1.08704629955159
"Wave_667",1.09758425550536
"Wave_668",1.10367000594346
"Wave_669",1.10548168965042
"Wave_670",1.10606773710396
"Wave_671",1.10692621414767
"Wave_672",1.10933957495026
"Wave_673",1.11216796475321
"Wave_674",1.1176558192231
"Wave_675",1.12215609432776
"Wave_676",1.12439045407387
"Wave_677",1.124179081266
"Wave_678",1.1244372762235
"Wave_679",1.13064591803909
"Wave_680",1.12867879101058
"Wave_681",1.12443757007518
"Wave_682",1.12670891467316
"Wave_683",1.11749303813726
"Wave_684",1.10161949669319
"Wave_685",1.08811907495204
"Wave_686",1.0862706363163
"Wave_687",1.08856529107795
"Wave_688",1.10307458769058
"Wave_689",1.13572601068477
"Wave_690",1.1805453145396
"Wave_691",1.24210889529695
"Wave_692",1.31672901999544
"Wave_693",1.39685052590945
"Wave_694",1.49418472301085
"Wave_695",1.56761115629071
"Wave_696",1.63449536718138
"Wave_697",1.71545598062088
"Wave_698",1.78803414416148
"Wave_699",1.83438484972951
"Wave_700",1.88130751861031
"Wave_701",1.92879156115302
"Wave_702",1.94068642182063
"Wave_703",1.9542191813899
"Wave_704",1.97782278852001
"Wave_705",1.99823167130885
"Wave_706",1.99106881874206
"Wave_707",1.98336979207939
"Wave_708",1.98726419782098
"Wave_709",1.97837229813338
"Wave_710",1.96422774339582
"Wave_711",1.95838702439286
"Wave_712",1.95063123869707
"Wave_713",1.93396180091294
"Wave_714",1.91597514515574
"Wave_715",1.90183599689523
"Wave_716",1.88718350264746
"Wave_717",1.86909993899697
"Wave_718",1.85115113033962
"Wave_719",1.83491275605721
"Wave_720",1.81795876460294
"Wave_721",1.79357692713036
"Wave_722",1.77067998843626
"Wave_723",1.7552314920459
"Wave_724",1.73631437624216
"Wave_725",1.71354402209916
"Wave_726",1.69359053690157
"Wave_727",1.66403473312469
"Wave_728",1.63807118745123
"Wave_729",1.61858076030432
"Wave_730",1.58154701656279
"Wave_731",1.55534239070405
"Wave_732",1.52955244836319
"Wave_733",1.50059662330861
"Wave_734",1.4746478087535
"Wave_735",1.44867888177922
"Wave_736",1.40541072825413
"Wave_737",1.3680086475483
"Wave_738",1.32531268207266
"Wave_739",1.29847663475596
"Wave_740",1.26821134359299
"Wave_741",1.24222448916895
"Wave_742",1.21008790409903
"Wave_743",1.19462750718361
"Wave_744",1.17176138807459
"Wave_745",1.14219660497307
"Wave_746",1.12630949356118
"Wave_747",1.1104616514535
"Wave_748",1.10420550953764
"Wave_749",1.09037633220758
"Wave_750",1.08308872935089
"Wave_751",1.06876712247558
"Wave_752",1.05803443649763
"Wave_753",1.05932439785133
"Wave_754",1.05679173323331
"Wave_755",1.04733702343802
"Wave_756",1.0386896833747
"Wave_757",1.03667151998323
"Wave_758",1.03797093859375
"Wave_759",1.03264497281794
"Wave_760",1.03112929503959
"Wave_761",1.02763252541751
"Wave_762",1.02506966468704
"Wave_763",1.01824930116777
"Wave_764",1.01777780356353
"Wave_765",1.01652639179288
"Wave_766",1.01309362319919
"Wave_767",1.01187328689731
"Wave_768",1.00872950102508
"Wave_769",1.00797697637847
"Wave_770",1.00938492400552
"Wave_771",1.01024624414497
"Wave_772",1.00918822351617
"Wave_773",1.00244326508976
"Wave_774",0.996426700050026
"Wave_775",0.995759573604688
"Wave_776",1.00113910661086
"Wave_777",0.995875597026556
"Wave_778",0.995926079844867
"Wave_779",0.997572744809283
"Wave_780",0.996696127393089
"Wave_781",0.995947646334889
"Wave_782",0.994942104755427
"Wave_783",0.994692836029095
"Wave_784",0.991951151681838
"Wave_785",0.986737890553199
"Wave_786",0.980919180560866
"Wave_787",0.98045164415219
"Wave_788",0.981588777788047
"Wave_789",0.987398481282799
"Wave_790",0.987435693189506
"Wave_791",0.976502725374182
"Wave_792",0.971637872377641
"Wave_793",0.971801910790904
"Wave_794",0.975933069020028
"Wave_795",0.982593443653231
"Wave_796",0.984728248340703
"Wave_797",0.97958894501235
"Wave_798",0.970809156092931
"Wave_799",0.964403040390616
"Wave_800",0.970473099290217
"Wave_801",0.979359707166649
"Wave_802",0.982397575354276
"Wave_803",0.986524734009919
"Wave_804",0.987405224772146
"Wave_805",0.981015034553505
"Wave_806",0.97536506946538
"Wave_807",0.970930778915613
"Wave_808",0.963785172684114
"Wave_809",0.982145317222921
"Wave_810",0.978314310139996
"Wave_811",0.968806423910188
"Wave_812",0.955820425711963
"Wave_813",0.956041651746135
"Wave_814",0.960951660200685
"Wave_815",0.964749682730607
"Wave_816",0.966972308682308
"Wave_817",0.963960308151197
"Wave_818",0.960478922297955
"Wave_819",0.946596941323513
"Wave_820",0.936310963129715
"Wave_821",0.936722263349034
"Wave_822",0.938322674111684
"Wave_823",0.93996237331339
"Wave_824",0.93653607087092
"Wave_825",0.935347960594934
"Wave_826",0.937571448044853
"Wave_827",0.935072722097312
"Wave_828",0.940522454337817
"Wave_829",0.925633460297078
"Wave_830",0.919299754472362
"Wave_831",0.911365556986436
"Wave_832",0.90764375697253
"Wave_833",0.913955276176237
"Wave_834",0.919267481981664
"Wave_835",0.914908379589954
"Wave_836",0.904648126403925
"Wave_837",0.907569906373792
"Wave_838",0.908451162736954
"Wave_839",0.910291686552314
"Wave_840",0.90725375950035
"Wave_841",0.893225021533407
"Wave_842",0.886573473932982
"Wave_843",0.888919684481579
"Wave_844",0.885001755308763
"Wave_845",0.877052282736364
"Wave_846",0.882167761299938
"Wave_847",0.884305059473854
"Wave_848",0.879403267372401
"Wave_849",0.878093468419542
"Wave_850",0.875952799124021
"Wave_851",0.873986962247691
"Wave_852",0.866882829728718
"Wave_853",0.859776899149256
"Wave_854",0.872006845686532
"Wave_855",0.872904048127959
"Wave_856",0.860199198521223
"Wave_857",0.851195661640888
"Wave_858",0.845364915428036
"Wave_859",0.848984746544567
"Wave_860",0.852370583380844
"Wave_861",0.846812854955624
"Wave_862",0.843302994727593
"Wave_863",0.845751574699523
"Wave_864",0.848625382000243
"Wave_865",0.844962132594199
"Wave_866",0.843846118807881
"Wave_867",0.843784243959214
"Wave_868",0.840910317857396
"Wave_869",0.840043153345244
"Wave_870",0.842803609921401
"Wave_871",0.842617695952412
"Wave_872",0.839867492142135
"Wave_873",0.835115715908731
"Wave_874",0.830887466756493
"Wave_875",0.827026318769315
"Wave_876",0.827619781922039
"Wave_877",0.82481515536631
"Wave_878",0.818500855312135
"Wave_879",0.819118407688272
"Wave_880",0.814562465504889
"Wave_881",0.815433719037408
"Wave_882",0.814645039169122
"Wave_883",0.813396957207507
"Wave_884",0.810260406092838
"Wave_885",0.81088030035918
"Wave_886",0.807904754507669
"Wave_887",0.805957229987098
"Wave_888",0.803645013834213
"Wave_889",0.805272086946681
"Wave_890",0.806402822828551
"Wave_891",0.802719115710968
"Wave_892",0.79864356199767
"Wave_893",0.798127578783603
"Wave_894",0.795424279849404
"Wave_895",0.801951148912813
"Wave_896",0.801021513522232
"Wave_897",0.794295307757237
"Wave_898",0.786859752688922
"Wave_899",0.784184310079795
"Wave_900",0.78771655698079
"Wave_901",0.791750440164301
"Wave_902",0.794450083942402
"Wave_903",0.792409380316276
"Wave_904",0.785568059834864
"Wave_905",0.781733624272685
"Wave_906",0.785094490664557
"Wave_907",0.78650179684956
"Wave_908",0.783185622557621
"Wave_909",0.785391349609283
"Wave_910",0.775673450912735
"Wave_911",0.771335547952299
"Wave_912",0.768577931692967
"Wave_913",0.768640344523582
"Wave_914",0.769895339653991
"Wave_915",0.767886405169907
"Wave_916",0.765661908720606
"Wave_917",0.764732022367479
"Wave_918",0.76524003987943
"Wave_919",0.764740806199347
"Wave_920",0.760002233339403
"Wave_921",0.761557498130776
"Wave_922",0.770102150892732
"Wave_923",0.781948503157406
"Wave_924",0.781088874962612
"Wave_925",0.765258666344582
"Wave_926",0.755385299545339
"Wave_927",0.754032423748404
"Wave_928",0.753884028171886
"Wave_929",0.767517786112488
"Wave_930",0.759391018936024
"Wave_931",0.749117288274878
"Wave_932",0.741256716278162
"Wave_933",0.743511437033739
"Wave_934",0.75309771111011
"Wave_935",0.781134676092274
"Wave_936",0.784747783492007
"Wave_937",0.75987229751898
"Wave_938",0.74171177548476
"Wave_939",0.742733094065278
"Wave_940",0.752665404411048
"Wave_941",0.760641217557224
"Wave_942",0.781265500379166
"Wave_943",0.771911688696268
"Wave_944",0.752832891377424
"Wave_945",0.738486815020721
"Wave_946",0.741824595172239
"Wave_947",0.780468778254619
"Wave_948",0.766717678407006
"Wave_949",0.760896959402272
"Wave_950",0.749368548398339
"Wave_951",0.747243433408968
"Wave_952",0.740871247428344
"Wave_953",0.731402184221284
"Wave_954",0.743165520296128
"Wave_955",0.755114796849735
"Wave_956",0.747141041545696
"Wave_957",0.744080267318761
"Wave_958",0.744790003996925
"Wave_959",0.772545295804926
"Wave_960",0.768053271506355
"Wave_961",0.762754118720916
"Wave_962",0.792643598390649
"Wave_963",0.74366906339808
"Wave_964",0.732938151769392
"Wave_965",0.735131407283425
"Wave_966",0.739921228718544
"Wave_967",0.753216930097237
"Wave_968",0.753334124304239
"Wave_969",0.739824247774149
"Wave_970",0.747008952293184
"Wave_971",0.756290026931584
"Wave_972",0.748493907172273
"Wave_973",0.753363883783926
"Wave_974",0.769190247673538
"Wave_975",0.802854028250596
"Wave_976",0.769036625437806
"Wave_977",0.769558403923483
"Wave_978",0.74544470653628
"Wave_979",0.737596306055605
"Wave_980",0.724881831577684
"Wave_981",0.710732154541838
"Wave_982",0.702875938534428
"Wave_983",0.698194361023801
"Wave_984",0.69400643916262
"Wave_985",0.692495840601932
"Wave_986",0.68903337509514
"Wave_987",0.688341575559347
"Wave_988",0.681632332863004
"Wave_989",0.674173369600139
"Wave_990",0.671477903637262
"Wave_991",0.67215130403304
"Wave_992",0.669478168239444
"Wave_993",0.668642611693198
"Wave_994",0.669976547160088
"Wave_995",0.667059544586121
"Wave_996",0.666546091306547
"Wave_997",0.665252809619874
