"","Vcmax25_Bern.4.comps"
"(Intercept)",119.621858262742
"Wave_500",0.0392952353318311
"Wave_501",0.0387447589327421
"Wave_502",0.0380227697943422
"Wave_503",0.0374249686600745
"Wave_504",0.036531521998576
"Wave_505",0.0354410147893385
"Wave_506",0.0346037696465722
"Wave_507",0.0341563338967721
"Wave_508",0.0331791530814023
"Wave_509",0.0321584338655319
"Wave_510",0.0313972850359712
"Wave_511",0.0300718043470007
"Wave_512",0.0285104457588568
"Wave_513",0.0267819210098077
"Wave_514",0.0253041405773264
"Wave_515",0.023444163463413
"Wave_516",0.021271737448371
"Wave_517",0.0196644833385151
"Wave_518",0.0172445075703834
"Wave_519",0.0145797666021729
"Wave_520",0.0117079063782925
"Wave_521",0.00912192516248748
"Wave_522",0.00636367809066581
"Wave_523",0.00346119717510862
"Wave_524",0.000377249969300938
"Wave_525",-0.00211086667033704
"Wave_526",-0.00505630600465025
"Wave_527",-0.00790307500480876
"Wave_528",-0.0100418354610987
"Wave_529",-0.0122260899890729
"Wave_530",-0.0138094211579093
"Wave_531",-0.0151064168137247
"Wave_532",-0.016663082146733
"Wave_533",-0.0182065724851035
"Wave_534",-0.0200398765019203
"Wave_535",-0.0212325330077956
"Wave_536",-0.0218433179135149
"Wave_537",-0.0220598866006116
"Wave_538",-0.0224088758357744
"Wave_539",-0.0226823708740758
"Wave_540",-0.02299268180136
"Wave_541",-0.0235124476221139
"Wave_542",-0.0238610836243236
"Wave_543",-0.024226189420741
"Wave_544",-0.0245527509658306
"Wave_545",-0.0246909270680283
"Wave_546",-0.0244078538285585
"Wave_547",-0.0240339645504623
"Wave_548",-0.0236927088319305
"Wave_549",-0.0237116092710283
"Wave_550",-0.0234326918701253
"Wave_551",-0.023494674791972
"Wave_552",-0.0235592286297735
"Wave_553",-0.0231383929904304
"Wave_554",-0.0224711768475644
"Wave_555",-0.0216017544033393
"Wave_556",-0.0209055115071108
"Wave_557",-0.0205604997807221
"Wave_558",-0.0206007072417699
"Wave_559",-0.0200073030597462
"Wave_560",-0.0192535180069594
"Wave_561",-0.0182712512131174
"Wave_562",-0.0170976093173913
"Wave_563",-0.0155800180281069
"Wave_564",-0.0143216899615982
"Wave_565",-0.0127767787339665
"Wave_566",-0.0112863104679643
"Wave_567",-0.00929668816674284
"Wave_568",-0.00757123330823459
"Wave_569",-0.00576081090101589
"Wave_570",-0.00411886866227591
"Wave_571",-0.00302016527279696
"Wave_572",-0.00205833584799551
"Wave_573",-0.00104625875977299
"Wave_574",9.5079478009014e-05
"Wave_575",0.00109396951403511
"Wave_576",0.00210245589048371
"Wave_577",0.00285336964656937
"Wave_578",0.00378866929296288
"Wave_579",0.0045936984962161
"Wave_580",0.00539479215849801
"Wave_581",0.00643328288452159
"Wave_582",0.00724329185500393
"Wave_583",0.00792603811993337
"Wave_584",0.00848323208124365
"Wave_585",0.0092960437036232
"Wave_586",0.0101218541591624
"Wave_587",0.0109919166771258
"Wave_588",0.0114739803089524
"Wave_589",0.0121043467499216
"Wave_590",0.0128133460322231
"Wave_591",0.0134106004014206
"Wave_592",0.014177494009579
"Wave_593",0.0148123663855517
"Wave_594",0.0153441295604628
"Wave_595",0.0159798095635124
"Wave_596",0.0164858938043782
"Wave_597",0.0170749675574317
"Wave_598",0.0177778573975075
"Wave_599",0.0184728730898012
"Wave_600",0.0191381407137952
"Wave_601",0.0199082221099152
"Wave_602",0.0207761838128618
"Wave_603",0.0215091279446553
"Wave_604",0.0222305369594186
"Wave_605",0.0228537192479411
"Wave_606",0.0234922634724808
"Wave_607",0.024083479461342
