"","x"
"Wave_500",1.16361056516796
"Wave_501",1.15098270664867
"Wave_502",1.13472380281904
"Wave_503",1.12272248171267
"Wave_504",1.10487914463863
"Wave_505",1.08395177116543
"Wave_506",1.07090124582932
"Wave_507",1.06847570012819
"Wave_508",1.05673615302662
"Wave_509",1.04708517470842
"Wave_510",1.04531270007909
"Wave_511",1.03656568077134
"Wave_512",1.02858158104854
"Wave_513",1.02381121741165
"Wave_514",1.02760007872457
"Wave_515",1.03284526085088
"Wave_516",1.04259328242759
"Wave_517",1.06210765318203
"Wave_518",1.08593897335749
"Wave_519",1.11864842743603
"Wave_520",1.16017339287389
"Wave_521",1.20620527560017
"Wave_522",1.2594304829197
"Wave_523",1.32006408857902
"Wave_524",1.3874799358672
"Wave_525",1.45197152795343
"Wave_526",1.52633275456581
"Wave_527",1.60336640290358
"Wave_528",1.66665017475037
"Wave_529",1.7332291073452
"Wave_530",1.78956978170638
"Wave_531",1.83735983254345
"Wave_532",1.89118582617438
"Wave_533",1.94654436566197
"Wave_534",2.00810887191219
"Wave_535",2.05343411492365
"Wave_536",2.08405072542323
"Wave_537",2.10413721761644
"Wave_538",2.12521036790011
"Wave_539",2.143273506552
"Wave_540",2.16223459600442
"Wave_541",2.18666460361918
"Wave_542",2.20670173799462
"Wave_543",2.22635214458218
"Wave_544",2.24480548049432
"Wave_545",2.25735803471178
"Wave_546",2.25913573060302
"Wave_547",2.25785447330914
"Wave_548",2.25629192278424
"Wave_549",2.26384149883666
"Wave_550",2.26598190432059
"Wave_551",2.27497042541125
"Wave_552",2.2842985317169
"Wave_553",2.28074953442009
"Wave_554",2.26984117686562
"Wave_555",2.25234796551032
"Wave_556",2.2383479126422
"Wave_557",2.23304453425052
"Wave_558",2.23551385183069
"Wave_559",2.22197377870281
"Wave_560",2.20212514938456
"Wave_561",2.1769082541469
"Wave_562",2.14685783727593
"Wave_563",2.10949034203616
"Wave_564",2.07724026489579
"Wave_565",2.04001442255119
"Wave_566",2.00279153474423
"Wave_567",1.9550870395846
"Wave_568",1.91167795236275
"Wave_569",1.86757880318514
"Wave_570",1.82551982778839
"Wave_571",1.79076099412063
"Wave_572",1.75909098463881
"Wave_573",1.72866539287384
"Wave_574",1.6946266131561
"Wave_575",1.66319060418197
"Wave_576",1.63286521056267
"Wave_577",1.60782842253399
"Wave_578",1.58019439400276
"Wave_579",1.555277618912
"Wave_580",1.53178015308321
"Wave_581",1.50646359892108
"Wave_582",1.48544086906542
"Wave_583",1.46688066261508
"Wave_584",1.45032114169813
"Wave_585",1.43242087759139
"Wave_586",1.41476571382576
"Wave_587",1.39747613037171
"Wave_588",1.38453473876973
"Wave_589",1.37195230965886
"Wave_590",1.3596490822745
"Wave_591",1.34838437458137
"Wave_592",1.33736813114358
"Wave_593",1.32883977814948
"Wave_594",1.32100897732535
"Wave_595",1.3127894942219
"Wave_596",1.3070276646015
"Wave_597",1.30130302964676
"Wave_598",1.2955545267416
"Wave_599",1.29042728809776
"Wave_600",1.28534637127165
"Wave_601",1.28014422245953
"Wave_602",1.27512826531299
"Wave_603",1.26984747395254
"Wave_604",1.26391106410715
"Wave_605",1.25764985985802
"Wave_606",1.25087406362013
"Wave_607",1.24359623626381
"Wave_608",1.23649631611356
"Wave_609",1.22865944035974
"Wave_610",1.22078942192831
"Wave_611",1.21259435490895
"Wave_612",1.20480192117518
"Wave_613",1.19756729321172
"Wave_614",1.19042392943111
"Wave_615",1.18149755047833
"Wave_616",1.17326025524378
"Wave_617",1.16587134240604
"Wave_618",1.15884126099926
"Wave_619",1.15268648154967
"Wave_620",1.14724752148325
"Wave_621",1.14286276209232
"Wave_622",1.13860069594185
"Wave_623",1.13544932675805
"Wave_624",1.13284306983474
"Wave_625",1.13119629449222
"Wave_626",1.13109009465528
"Wave_627",1.13043173529573
"Wave_628",1.12862157563616
"Wave_629",1.12483937637454
"Wave_630",1.11902054450052
"Wave_631",1.11321364104936
"Wave_632",1.10995138183353
"Wave_633",1.11039795488362
"Wave_634",1.1100400391188
"Wave_635",1.10848383804066
"Wave_636",1.10928400661066
"Wave_637",1.1145554098801
"Wave_638",1.12159602532962
"Wave_639",1.13053684650719
"Wave_640",1.14208014150122
"Wave_641",1.15091838701235
"Wave_642",1.16094818484318
"Wave_643",1.1736187784263
"Wave_644",1.18236504292731
"Wave_645",1.1878460137961
"Wave_646",1.1949393466953
"Wave_647",1.20865306230217
"Wave_648",1.21507048995672
"Wave_649",1.21708883196125
"Wave_650",1.21613612701811
"Wave_651",1.20811056709399
"Wave_652",1.19857266073646
"Wave_653",1.19396539475184
"Wave_654",1.19263852205132
"Wave_655",1.19518309109923
"Wave_656",1.18535913125463
"Wave_657",1.17699635284538
"Wave_658",1.17200563181999
"Wave_659",1.15943184268476
"Wave_660",1.15637346150612
"Wave_661",1.15552935568416
"Wave_662",1.150251319007
"Wave_663",1.14474519203511
"Wave_664",1.14261900655331
"Wave_665",1.13556460915457
"Wave_666",1.12589536488411
"Wave_667",1.11651466474006
"Wave_668",1.1147796758028
"Wave_669",1.11628104908371
"Wave_670",1.11814040080714
"Wave_671",1.12241093400676
"Wave_672",1.1214883363245
"Wave_673",1.11848020104678
"Wave_674",1.11671707850017
"Wave_675",1.11615065289996
"Wave_676",1.12136287382602
"Wave_677",1.12342751193922
"Wave_678",1.1188094038557
"Wave_679",1.12248882989461
"Wave_680",1.11953426247897
"Wave_681",1.11562641905604
"Wave_682",1.11420490867713
"Wave_683",1.10802555431007
"Wave_684",1.09727628503336
"Wave_685",1.0802050339713
"Wave_686",1.08005831871932
"Wave_687",1.07663753707668
"Wave_688",1.066949995802
"Wave_689",1.04894532720588
"Wave_690",1.04614909102654
"Wave_691",1.04277516351255
"Wave_692",1.05578758163816
"Wave_693",1.09460398830598
"Wave_694",1.15219823962769
"Wave_695",1.23639133942692
"Wave_696",1.33800182639182
"Wave_697",1.46415970349336
"Wave_698",1.6153067072728
"Wave_699",1.77083252397065
"Wave_700",1.92417807527945
"Wave_701",2.09733343017324
"Wave_702",2.26430517859539
"Wave_703",2.43529262621329
"Wave_704",2.61397062696029
"Wave_705",2.79748690653546
"Wave_706",2.92958881617408
"Wave_707",3.09690987613792
"Wave_708",3.26043468080625
"Wave_709",3.42272345347626
"Wave_710",3.54052528776957
"Wave_711",3.60748954180167
"Wave_712",3.70614511781297
"Wave_713",3.83033280104629
"Wave_714",3.91059036210099
"Wave_715",3.93467406249585
"Wave_716",3.98594613089271
"Wave_717",4.00331178509183
"Wave_718",3.95087176421621
"Wave_719",3.95796665816819
"Wave_720",3.92178621623661
"Wave_721",3.87402263569643
"Wave_722",3.83247692902964
"Wave_723",3.77192387398725
"Wave_724",3.66019662940021
"Wave_725",3.53031686115718
"Wave_726",3.39843452709081
"Wave_727",3.24832316395011
"Wave_728",3.13390618165669
"Wave_729",3.00093234502683
"Wave_730",2.84027621685659
"Wave_731",2.71357690161385
"Wave_732",2.56118798763062
"Wave_733",2.42076179820141
"Wave_734",2.29843454364815
"Wave_735",2.18997247990025
"Wave_736",2.01678792496401
"Wave_737",1.89756997097103
"Wave_738",1.7776883254313
"Wave_739",1.65621866890976
"Wave_740",1.5334679468011
"Wave_741",1.45811212403597
"Wave_742",1.35188714853411
"Wave_743",1.27964272280081
"Wave_744",1.2159005105476
"Wave_745",1.13434077152708
"Wave_746",1.0762180897313
"Wave_747",1.02717143029564
"Wave_748",1.00084818072203
"Wave_749",0.964178527865362
"Wave_750",0.941777227853361
"Wave_751",0.916118730702101
"Wave_752",0.894584005152428
