"","Vcmax25_Rog.6.comps"
"(Intercept)",70.1603375566764
"Wave_500",0.0426380338289274
"Wave_501",0.0432900687540924
"Wave_502",0.0438218331430583
"Wave_503",0.0445493884534738
"Wave_504",0.0462202191381906
"Wave_505",0.0463503842920236
"Wave_506",0.0459349456341826
"Wave_507",0.0464786496303529
"Wave_508",0.0467194093806874
"Wave_509",0.0477027457191312
"Wave_510",0.0491559683192352
"Wave_511",0.0493032118712351
"Wave_512",0.0491982254769721
"Wave_513",0.0486381129600858
"Wave_514",0.0483313677726073
"Wave_515",0.0470352647821228
"Wave_516",0.0457713936932479
"Wave_517",0.0468452291775598
"Wave_518",0.0450126214394968
"Wave_519",0.0423612116905702
"Wave_520",0.0396184439558676
"Wave_521",0.0373236835460495
"Wave_522",0.0356153509247557
"Wave_523",0.0333764951590854
"Wave_524",0.028752110009325
"Wave_525",0.0253017299117015
"Wave_526",0.0205987896177914
"Wave_527",0.0155132354150605
"Wave_528",0.0118411205225109
"Wave_529",0.00826638576940493
"Wave_530",0.00598474853271874
"Wave_531",0.00435316354318829
"Wave_532",0.000423018236619693
"Wave_533",-0.00397119582195009
"Wave_534",-0.00892682808112928
"Wave_535",-0.0123772706081132
"Wave_536",-0.015057301769241
"Wave_537",-0.0170048621565532
"Wave_538",-0.0194142357422664
"Wave_539",-0.0219962386400241
"Wave_540",-0.0250974820349339
"Wave_541",-0.0291090107019767
"Wave_542",-0.0302403032439975
"Wave_543",-0.0322036362222769
"Wave_544",-0.0346534366572513
"Wave_545",-0.0369324740171284
"Wave_546",-0.0387464839198174
"Wave_547",-0.0400467451632107
"Wave_548",-0.0405702759671264
"Wave_549",-0.0419821543421547
"Wave_550",-0.0434233062746541
"Wave_551",-0.0459716253467394
"Wave_552",-0.0487917358889029
"Wave_553",-0.0495138713842975
"Wave_554",-0.0496728213567817
"Wave_555",-0.0498690662141048
"Wave_556",-0.0500872462741428
"Wave_557",-0.0519158852756962
"Wave_558",-0.054528166626418
"Wave_559",-0.05425174921477
"Wave_560",-0.0547843533530357
"Wave_561",-0.0547215558623096
"Wave_562",-0.0540006006985117
"Wave_563",-0.0530790425411607
"Wave_564",-0.0524960166862087
"Wave_565",-0.0512314808403057
"Wave_566",-0.0498168009969712
"Wave_567",-0.047012838276044
"Wave_568",-0.0447686294367947
"Wave_569",-0.0426852013794137
"Wave_570",-0.041127111745933
"Wave_571",-0.0403118540076341
"Wave_572",-0.0396335463800872
"Wave_573",-0.0386783679162291
"Wave_574",-0.0370808597371296
"Wave_575",-0.0359667154050417
"Wave_576",-0.0350488427303835
"Wave_577",-0.0342559862889861
"Wave_578",-0.0327884327621291
"Wave_579",-0.0314958411419761
"Wave_580",-0.0299323863838155
"Wave_581",-0.0277369277309776
"Wave_582",-0.0261129312570231
"Wave_583",-0.0248982850183506
"Wave_584",-0.0238904537280083
"Wave_585",-0.0225689250539468
"Wave_586",-0.0208807157026524
"Wave_587",-0.0189434403175314
"Wave_588",-0.0180396267124787
"Wave_589",-0.0157790017829659
"Wave_590",-0.0135010180800112
"Wave_591",-0.0118071695909394
"Wave_592",-0.0105880931253996
"Wave_593",-0.00879549230787658
"Wave_594",-0.00702058070816977
"Wave_595",-0.00563545180304727
"Wave_596",-0.0035432558361825
"Wave_597",-0.00154647739528182
"Wave_598",0.000113609063516914
"Wave_599",0.00150091436879443
"Wave_600",0.00300505690785858
"Wave_601",0.0044731668347965
"Wave_602",0.0059904863064565
"Wave_603",0.00767747710888333
"Wave_604",0.0091157411063937
"Wave_605",0.0101200205097358
"Wave_606",0.0110325994282922
"Wave_607",0.0109434969473463
"Wave_608",0.0110646025491578
"Wave_609",0.0112894602330496
"Wave_610",0.0118378749085199
"Wave_611",0.0128859484017591
"Wave_612",0.0138984214534182
"Wave_613",0.0147837492597169
"Wave_614",0.0152064957853484
"Wave_615",0.0145900925122297
"Wave_616",0.01420441228577
"Wave_617",0.0149991805618104
"Wave_618",0.0152455569112643
"Wave_619",0.015485054382713
"Wave_620",0.0156534267167166
"Wave_621",0.0152448527657284
"Wave_622",0.0152021332591721
"Wave_623",0.0155879471348311
"Wave_624",0.0163916068277787
"Wave_625",0.0173603908073125
"Wave_626",0.0179133706167568
"Wave_627",0.0180182384061168
"Wave_628",0.0176427063351676
"Wave_629",0.0174341414566864
"Wave_630",0.0171724305070041
"Wave_631",0.0171294568106141
"Wave_632",0.0174546259837897
"Wave_633",0.0187664800993129
"Wave_634",0.0196923382009661
"Wave_635",0.0203807842336941
"Wave_636",0.021892354181083
"Wave_637",0.0237740525878579
"Wave_638",0.0259117834238999
"Wave_639",0.0284130674211907
"Wave_640",0.0307570390890408
"Wave_641",0.0326819178249773
"Wave_642",0.0345398907176814
"Wave_643",0.0364388743952297
"Wave_644",0.0378295318490016
"Wave_645",0.0387999173448627
"Wave_646",0.0399671181170752
"Wave_647",0.0418691534703825
"Wave_648",0.0423297994779412
"Wave_649",0.042196449813994
"Wave_650",0.0414786538742225
"Wave_651",0.0397823798981669
"Wave_652",0.0378238082204786
"Wave_653",0.036679204542229
"Wave_654",0.0361656286241324
"Wave_655",0.035786339286173
"Wave_656",0.0340666236501199
"Wave_657",0.0323667958703036
"Wave_658",0.0311699916381398
"Wave_659",0.0308672977976677
"Wave_660",0.0308117163235518
"Wave_661",0.030648542782672
"Wave_662",0.0300388369624901
"Wave_663",0.0300365261158551
"Wave_664",0.0306380597253316
"Wave_665",0.0312023297140354
"Wave_666",0.03147043592393
"Wave_667",0.0316342428771876
"Wave_668",0.0320435491994059
"Wave_669",0.0329450160876317
"Wave_670",0.0346655113237848
"Wave_671",0.0360189492207838
"Wave_672",0.0372814382234436
"Wave_673",0.0385218968485305
"Wave_674",0.0397212484639783
"Wave_675",0.0408907157242547
"Wave_676",0.0424744817921074
"Wave_677",0.0439871820908213
"Wave_678",0.0452727490859404
"Wave_679",0.0470019652188039
"Wave_680",0.0482542239025942
"Wave_681",0.0494633102841284
"Wave_682",0.051241531819662
"Wave_683",0.0515684650415055
"Wave_684",0.0513871110488208
"Wave_685",0.0505285634969187
"Wave_686",0.0510017139924199
"Wave_687",0.0513002304217476
"Wave_688",0.0504832688630119
"Wave_689",0.0482626374916402
"Wave_690",0.0467317684957707
"Wave_691",0.0421359575190187
"Wave_692",0.0374857739783068
"Wave_693",0.0347645866699646
"Wave_694",0.0278770096042548
"Wave_695",0.025627287605106
"Wave_696",0.0220812405634496
"Wave_697",0.0154357530957544
"Wave_698",0.00609980034186357
"Wave_699",-0.000117262919087198
"Wave_700",-0.00521250645866848
"Wave_701",-0.0130387087396146
"Wave_702",-0.0179484143827154
"Wave_703",-0.0236787730299191
"Wave_704",-0.0304151647949246
"Wave_705",-0.0383600395694052
"Wave_706",-0.0411938053182869
"Wave_707",-0.0478166168405184
"Wave_708",-0.0548738197945667
"Wave_709",-0.0627219366642029
"Wave_710",-0.0657825089255387
"Wave_711",-0.0663424155674353
"Wave_712",-0.0708591781097309
"Wave_713",-0.0796311394970695
"Wave_714",-0.0825132170279019
"Wave_715",-0.0831238467335352
"Wave_716",-0.0866032399148025
"Wave_717",-0.0890273321647853
"Wave_718",-0.086460712476319
"Wave_719",-0.0871823366220967
"Wave_720",-0.0862388676884618
"Wave_721",-0.086246287555866
"Wave_722",-0.0859035269040752
"Wave_723",-0.0839632511916732
"Wave_724",-0.0789596310760166
"Wave_725",-0.0733835730600807
"Wave_726",-0.0675898346303752
"Wave_727",-0.0622187210789569
"Wave_728",-0.0581944974109186
"Wave_729",-0.0519052442492591
"Wave_730",-0.0464484030826139
"Wave_731",-0.0407503278872107
"Wave_732",-0.0334973987039138
"Wave_733",-0.0275822240252709
"Wave_734",-0.0228331705106976
"Wave_735",-0.0182705997386894
"Wave_736",-0.00961530174777162
"Wave_737",-0.00447515725491157
"Wave_738",-0.00064914163658644
"Wave_739",0.00413632289267101
"Wave_740",0.009440494526867
"Wave_741",0.0114123219875605
"Wave_742",0.0157302610948649
"Wave_743",0.0210472344829195
"Wave_744",0.024131008639818
"Wave_745",0.0289917472856039
"Wave_746",0.0340353155828496
"Wave_747",0.0366662117964097
"Wave_748",0.0371457754128591
"Wave_749",0.0404981781692095
"Wave_750",0.0436137580903118
"Wave_751",0.0458520312282097
"Wave_752",0.048843307929918
"Wave_753",0.0504027466122545
"Wave_754",0.0530722224327517
"Wave_755",0.0552098379364574
"Wave_756",0.0570903366400059
"Wave_757",0.0584233473417458
"Wave_758",0.0595069131148662
