"","x"
"Wave_500",1.15861665340131
"Wave_501",1.16965219523649
"Wave_502",1.18069200821301
"Wave_503",1.19274079907106
"Wave_504",1.20718319756488
"Wave_505",1.21767417307991
"Wave_506",1.2287053271697
"Wave_507",1.24436256879918
"Wave_508",1.26029245444397
"Wave_509",1.27967533774695
"Wave_510",1.30261028467852
"Wave_511",1.31992745123155
"Wave_512",1.33656261815046
"Wave_513",1.35442956975789
"Wave_514",1.37199660668794
"Wave_515",1.38836159191489
"Wave_516",1.40523547928821
"Wave_517",1.43090591672133
"Wave_518",1.44463414270889
"Wave_519",1.45609157189226
"Wave_520",1.46697111582458
"Wave_521",1.47943499618491
"Wave_522",1.48900616279805
"Wave_523",1.49577662651903
"Wave_524",1.49819558646312
"Wave_525",1.50546349288588
"Wave_526",1.51359079805747
"Wave_527",1.53000464998873
"Wave_528",1.53887767513958
"Wave_529",1.55383804639982
"Wave_530",1.57191156078714
"Wave_531",1.58243858753069
"Wave_532",1.60134992719491
"Wave_533",1.62636757290006
"Wave_534",1.65427569087817
"Wave_535",1.67958020537156
"Wave_536",1.70427182237892
"Wave_537",1.72637310410306
"Wave_538",1.7466618973436
"Wave_539",1.76853088037349
"Wave_540",1.79468820451661
"Wave_541",1.8287058611528
"Wave_542",1.84778464560116
"Wave_543",1.87159438227283
"Wave_544",1.89824712421508
"Wave_545",1.92177992608908
"Wave_546",1.94330870119071
"Wave_547",1.96163468713027
"Wave_548",1.97471278722262
"Wave_549",1.99445752903157
"Wave_550",2.0150984647367
"Wave_551",2.03964440154213
"Wave_552",2.0656562078749
"Wave_553",2.07978190647949
"Wave_554",2.08936484196704
"Wave_555",2.0972431883334
"Wave_556",2.10229049657711
"Wave_557",2.11521049839596
"Wave_558",2.13138661411422
"Wave_559",2.129173667942
"Wave_560",2.1298261074344
"Wave_561",2.12664392478965
"Wave_562",2.11898096060956
"Wave_563",2.10722741444977
"Wave_564",2.09677263731256
"Wave_565",2.08287093112795
"Wave_566",2.06545109081966
"Wave_567",2.03932553308592
"Wave_568",2.0147895803414
"Wave_569",1.99071606837408
"Wave_570",1.9655336892836
"Wave_571",1.94237474594485
"Wave_572",1.92028376632202
"Wave_573",1.89840154020533
"Wave_574",1.87274872384408
"Wave_575",1.84898374903479
"Wave_576",1.82700008069235
"Wave_577",1.8070712934154
"Wave_578",1.78218736455588
"Wave_579",1.76006351149098
"Wave_580",1.73902750041257
"Wave_581",1.71512344460017
"Wave_582",1.69508231203624
"Wave_583",1.67778081792454
