"","Vcmax_Spec_Tleaf.12.comps"
"(Intercept)",14.1849588990862
"Wave_500",-0.587493366643938
"Wave_501",-0.534560188956829
"Wave_502",-0.487215552796677
"Wave_503",-0.457142648277582
"Wave_504",-0.383766826329672
"Wave_505",-0.348822059410436
"Wave_506",-0.340275180798661
"Wave_507",-0.355340148073761
"Wave_508",-0.341233103407916
"Wave_509",-0.29484104234027
"Wave_510",-0.21385963205593
"Wave_511",-0.14664866533652
"Wave_512",-0.102189662523075
"Wave_513",-0.0832557976885251
"Wave_514",-0.06932903530135
"Wave_515",-0.0574710680038056
"Wave_516",-0.0382488545371487
"Wave_517",0.0052329593204998
"Wave_518",0.0568312881887266
"Wave_519",0.0880765642179431
"Wave_520",0.0969321290491001
"Wave_521",0.107570062750605
"Wave_522",0.0843258143908427
"Wave_523",0.0538766962656636
"Wave_524",0.0628764883945045
"Wave_525",0.0378948802759972
"Wave_526",0.026531194285868
"Wave_527",0.0533597725440277
"Wave_528",0.0125106159944309
"Wave_529",-0.00351646886561755
"Wave_530",-0.0017920496817326
"Wave_531",-0.0207980236252585
"Wave_532",-0.0231220549055276
"Wave_533",-0.0311857120721548
"Wave_534",-0.0629928576716245
"Wave_535",-0.0642771915796138
"Wave_536",-0.0504023639403685
"Wave_537",-0.0338172403047287
"Wave_538",-0.02157340028327
"Wave_539",-0.00886542033825229
"Wave_540",0.00607752824862379
"Wave_541",0.0323868581869705
"Wave_542",0.0410198215308322
"Wave_543",0.0481453551228455
"Wave_544",0.0544726792181145
"Wave_545",0.0676243660808592
"Wave_546",0.0824760054449334
"Wave_547",0.100828884769768
"Wave_548",0.123833573608776
"Wave_549",0.126589578299343
"Wave_550",0.133336052014884
"Wave_551",0.139362038025841
"Wave_552",0.132664926607967
"Wave_553",0.147265235594086
"Wave_554",0.158866991119236
"Wave_555",0.162644681014262
"Wave_556",0.174357982171221
"Wave_557",0.148564323421992
"Wave_558",0.103740054475582
"Wave_559",0.0748731449293077
"Wave_560",0.0610194796536558
"Wave_561",0.0458580638735432
"Wave_562",0.0339062960385352
"Wave_563",0.0338638680452176
"Wave_564",0.0118195710445878
"Wave_565",-0.0163494827785622
"Wave_566",-0.0459924461938547
"Wave_567",-0.0608853776856209
"Wave_568",-0.0609332891223898
"Wave_569",-0.0522734619079091
"Wave_570",-0.0770144709393955
"Wave_571",-0.0891080970127549
"Wave_572",-0.104213300833015
"Wave_573",-0.120195359887951
"Wave_574",-0.1181109370876
"Wave_575",-0.128227001079706
"Wave_576",-0.146157349285389
"Wave_577",-0.168980031885751
"Wave_578",-0.179011275618088
"Wave_579",-0.179180281972835
"Wave_580",-0.174327890050352
"Wave_581",-0.158386744285695
"Wave_582",-0.160987580800213
"Wave_583",-0.170478163403697
"Wave_584",-0.180584771141595
"Wave_585",-0.1728375371037
"Wave_586",-0.168642510987221
"Wave_587",-0.165835427370296
"Wave_588",-0.14947870048957
"Wave_589",-0.137572954148428
"Wave_590",-0.129209708117664
"Wave_591",-0.12572651482317
"Wave_592",-0.125383911030024
"Wave_593",-0.122544614548343
"Wave_594",-0.121798369402792
"Wave_595",-0.125931535566965
"Wave_596",-0.106666699713448
"Wave_597",-0.0941817932471584
"Wave_598",-0.0945544274389221
"Wave_599",-0.100012408655751
"Wave_600",-0.110408708621462
"Wave_601",-0.124385422050351
"Wave_602",-0.139478204220035
"Wave_603",-0.144888569436739
"Wave_604",-0.14500812256997
"Wave_605",-0.150120754645172
"Wave_606",-0.168882722751636
"Wave_607",-0.200079962502224
"Wave_608",-0.23430059329555
"Wave_609",-0.268047458816778
"Wave_610",-0.285443718848801
"Wave_611",-0.284390359538718
"Wave_612",-0.285617270604957
"Wave_613",-0.294861753806102
"Wave_614",-0.30106724417319
"Wave_615",-0.311725118355411
"Wave_616",-0.322428287486461
"Wave_617",-0.327036356157181
"Wave_618",-0.336347961969706
"Wave_619",-0.329467598542571
"Wave_620",-0.315076087495224
"Wave_621",-0.309247109938995
"Wave_622",-0.315358832554032
"Wave_623",-0.311550198326712
"Wave_624",-0.296613231086382
"Wave_625",-0.299649731137187
"Wave_626",-0.28635821842749
"Wave_627",-0.273011159255344
"Wave_628",-0.267422101212935
