"","x"
"Wave_500",1.31981655195538
"Wave_501",1.32055686615453
"Wave_502",1.32804689384263
"Wave_503",1.34399553479257
"Wave_504",1.35089910322948
"Wave_505",1.37056153617867
"Wave_506",1.39856017381572
"Wave_507",1.43647008946758
"Wave_508",1.47100984820947
"Wave_509",1.50237359849417
"Wave_510",1.53454236761086
"Wave_511",1.57285428626645
"Wave_512",1.61452660536016
"Wave_513",1.65847295263355
"Wave_514",1.70575079788358
"Wave_515",1.75456513491819
"Wave_516",1.80545503130879
"Wave_517",1.85949234979663
"Wave_518",1.9092770869217
"Wave_519",1.95541044037423
"Wave_520",1.99740858331481
"Wave_521",2.03904197626343
"Wave_522",2.07517855774256
"Wave_523",2.10839391976501
"Wave_524",2.13710661113513
"Wave_525",2.15402460754375
"Wave_526",2.17188653280487
"Wave_527",2.19477368274049
"Wave_528",2.20024235610912
"Wave_529",2.21010123322551
"Wave_530",2.22027970160259
"Wave_531",2.21585201678375
"Wave_532",2.21774377689232
"Wave_533",2.22004184626017
"Wave_534",2.21891498522187
"Wave_535",2.21594119128777
"Wave_536",2.21347961378561
"Wave_537",2.21052008915106
"Wave_538",2.20632807263732
"Wave_539",2.20458144180517
"Wave_540",2.20537256295385
"Wave_541",2.21034470345876
"Wave_542",2.20957320351637
"Wave_543",2.21090525390602
"Wave_544",2.21190023686876
"Wave_545",2.20746814385511
"Wave_546",2.20887166552397
"Wave_547",2.21097114981024
"Wave_548",2.21181689848673
"Wave_549",2.21486022200619
"Wave_550",2.21599298758489
"Wave_551",2.2152685060411
"Wave_552",2.21287776497522
"Wave_553",2.21519016665709
"Wave_554",2.217228890986
"Wave_555",2.21789882003019
"Wave_556",2.21558163384298
"Wave_557",2.20456058595606
"Wave_558",2.18966336894891
"Wave_559",2.17736555893867
"Wave_560",2.1632368057108
"Wave_561",2.14795283409015
"Wave_562",2.13265041272994
"Wave_563",2.11541876462979
"Wave_564",2.09441501184747
"Wave_565",2.07265853546488
"Wave_566",2.0496894552652
"Wave_567",2.0289373272363
"Wave_568",2.00942702316329
"Wave_569",1.99084900575269
"Wave_570",1.96803398589079
"Wave_571",1.94754180407097
"Wave_572",1.92754097001807
"Wave_573",1.90825487102242
"Wave_574",1.8893772820152
"Wave_575",1.87123746848445
"Wave_576",1.85460421132528
"Wave_577",1.84067952132257
"Wave_578",1.82306383556481
"Wave_579",1.80794151086728
"Wave_580",1.79590718801921
"Wave_581",1.78228625865801
"Wave_582",1.77100685011906
"Wave_583",1.76120279784052
"Wave_584",1.75240916887104
"Wave_585",1.74413221670091
"Wave_586",1.73495487874447
"Wave_587",1.7256742245188
"Wave_588",1.71828194657401
"Wave_589",1.71073189078211
"Wave_590",1.7045685167912
"Wave_591",1.69976325363773
"Wave_592",1.69520529124934
"Wave_593",1.6903008675814
"Wave_594",1.68541180512869
"Wave_595",1.68174772014186
"Wave_596",1.6787101598221
"Wave_597",1.67467008608351
"Wave_598",1.66951724299377
"Wave_599",1.66428245768737
"Wave_600",1.65865877835184
"Wave_601",1.6527195914947
"Wave_602",1.6463458942766
"Wave_603",1.6386213236808
"Wave_604",1.6299590166664
"Wave_605",1.62157822505125
"Wave_606",1.61473677506902
"Wave_607",1.60699593838093
"Wave_608",1.60046571615685
"Wave_609",1.59471547592744
"Wave_610",1.58707223370978
"Wave_611",1.57609300744542
"Wave_612",1.5646814766663
"Wave_613",1.5539245832788
"Wave_614",1.54532036312296
"Wave_615",1.54008930041057
"Wave_616",1.53526922590345
"Wave_617",1.527387015917
"Wave_618",1.5232814633116
"Wave_619",1.51572500997857
"Wave_620",1.50631436519317
"Wave_621",1.4993262783773
"Wave_622",1.49672905781466
"Wave_623",1.49284487120027
"Wave_624",1.48705442141302
"Wave_625",1.4840556070589
"Wave_626",1.47992023135782
"Wave_627",1.47593227993783
"Wave_628",1.47251568869237
"Wave_629",1.46846425522589
"Wave_630",1.46518740516593
"Wave_631",1.46213644871905
"Wave_632",1.45871269597393
"Wave_633",1.4514261187221
"Wave_634",1.44509301266076
"Wave_635",1.43873359397342
"Wave_636",1.42965266384693
"Wave_637",1.41933443307229
"Wave_638",1.4098456967748
"Wave_639",1.40126561708153
"Wave_640",1.38898163470588
"Wave_641",1.37950735323891
"Wave_642",1.36982645565068
"Wave_643",1.35921573130426
"Wave_644",1.34969668735305
"Wave_645",1.33962307755202
"Wave_646",1.32858696509497
"Wave_647",1.31631030853958
"Wave_648",1.30298035786982
"Wave_649",1.28815972893915
"Wave_650",1.27292307861016
"Wave_651",1.25832010000282
"Wave_652",1.24265521353776
"Wave_653",1.22574033309397
"Wave_654",1.20742726217881
"Wave_655",1.1880648783658
"Wave_656",1.16839094951177
"Wave_657",1.15162206687691
"Wave_658",1.13800099052672
"Wave_659",1.12132340096616
"Wave_660",1.10425465766917
"Wave_661",1.08706141916951
"Wave_662",1.07012223612349
"Wave_663",1.05669402534803
"Wave_664",1.04185911969023
"Wave_665",1.02830936412878
"Wave_666",1.01753630382124
"Wave_667",1.00813946881317
"Wave_668",1.00068373893479
"Wave_669",0.993876243097833
"Wave_670",0.987302712819187
"Wave_671",0.983735878102762
"Wave_672",0.981620085693301
"Wave_673",0.982183189554479
"Wave_674",0.983676033548307
"Wave_675",0.989755372379086
"Wave_676",0.999578293819813
"Wave_677",1.01295996623796
"Wave_678",1.03165882856283
"Wave_679",1.0563027890026
"Wave_680",1.08362633062952
"Wave_681",1.11317882319364
"Wave_682",1.15354253014132
"Wave_683",1.19552674798813
"Wave_684",1.24568431973759
"Wave_685",1.30609955588901
"Wave_686",1.36486237221125
"Wave_687",1.43743967888047
"Wave_688",1.50986021867508
"Wave_689",1.5786161038671
"Wave_690",1.65763056735011
"Wave_691",1.74595449902234
"Wave_692",1.82344305353155
"Wave_693",1.87617163129739
"Wave_694",1.97156422979162
"Wave_695",2.028222068767
"Wave_696",2.07462957296723
"Wave_697",2.13926802542851
"Wave_698",2.22280630285833
"Wave_699",2.26085417338202
"Wave_700",2.30870714213766
"Wave_701",2.39054616655129
"Wave_702",2.40323689691551
"Wave_703",2.43854653982209
"Wave_704",2.49100300398976
"Wave_705",2.55403605788489
"Wave_706",2.55547780320942
"Wave_707",2.57517095348086
"Wave_708",2.60552207899346
"Wave_709",2.64027927831535
"Wave_710",2.62483123266662
"Wave_711",2.62105948058115
"Wave_712",2.61982665810812
"Wave_713",2.61713003664359
"Wave_714",2.57576558244877
"Wave_715",2.53802462986925
"Wave_716",2.49751657405621
"Wave_717",2.45175333216152
"Wave_718",2.39035992621409
"Wave_719",2.32424586231075
"Wave_720",2.25615809691505
"Wave_721",2.17923317324541
"Wave_722",2.09674959675266
"Wave_723",2.02007862883784
"Wave_724",1.93945313896707
"Wave_725",1.85087243409793
"Wave_726",1.77000184058385
"Wave_727",1.68109327425851
"Wave_728",1.60333569537229
"Wave_729",1.53608398469889
"Wave_730",1.45670470665036
"Wave_731",1.38662726613197
"Wave_732",1.32306928062986
"Wave_733",1.26417617730303
"Wave_734",1.21125442723286
"Wave_735",1.16338672310487
"Wave_736",1.11967849793263
"Wave_737",1.07892838880086
"Wave_738",1.03781671931268
"Wave_739",1.00663222536652
"Wave_740",0.981624577433116
"Wave_741",0.957239812266586
"Wave_742",0.940077726277887
"Wave_743",0.929811557984374
