"","Vcmax_Spec_Tleaf.17.comps"
"(Intercept)",46.1387278308498
"Wave_500",-1.01428051833103
"Wave_501",-0.673015237387438
"Wave_502",-0.427993889402102
"Wave_503",-0.427884711040935
"Wave_504",-0.205672743082797
"Wave_505",-0.185797445089686
"Wave_506",-0.274367834528969
"Wave_507",-0.34991390446241
"Wave_508",-0.315928364445042
"Wave_509",-0.172771947462602
"Wave_510",0.0555683801320486
"Wave_511",0.222685366661055
"Wave_512",0.278293456124742
"Wave_513",0.116529671083749
"Wave_514",0.213387026825176
"Wave_515",0.235021672917338
"Wave_516",0.328620322718344
"Wave_517",0.777020170706228
"Wave_518",0.889930779493792
"Wave_519",0.781886598082925
"Wave_520",0.54034568083806
"Wave_521",0.321619444834844
"Wave_522",0.0558622442437899
"Wave_523",-0.176096164266054
"Wave_524",-0.182778313426274
"Wave_525",-0.280660814195895
"Wave_526",-0.305852659287332
"Wave_527",-0.115749737994399
"Wave_528",-0.42889141238621
"Wave_529",-0.595660084585493
"Wave_530",-0.606453527733142
"Wave_531",-0.485141117564515
"Wave_532",-0.378549210126194
"Wave_533",-0.411015782046576
"Wave_534",-0.725604600229172
"Wave_535",-0.783825282827528
"Wave_536",-0.719268621589618
"Wave_537",-0.572713374097059
"Wave_538",-0.294525418540418
"Wave_539",-0.0731068847605664
"Wave_540",0.045393124431163
"Wave_541",0.00605462131958064
"Wave_542",0.061722219062698
"Wave_543",0.167958376946588
"Wave_544",0.270477822059871
"Wave_545",0.350199160559816
"Wave_546",0.396445185925366
"Wave_547",0.471745285360105
"Wave_548",0.626587255426926
"Wave_549",0.53963813070622
"Wave_550",0.492317438943635
"Wave_551",0.497974148065101
"Wave_552",0.592607704526324
"Wave_553",0.654208791279514
"Wave_554",0.618932743618763
"Wave_555",0.478004541425792
"Wave_556",0.502572128084715
"Wave_557",0.238588841849048
"Wave_558",-0.11418208026281
"Wave_559",-0.130720529042188
"Wave_560",-0.212860742488735
"Wave_561",-0.262358011953636
"Wave_562",-0.223630775031055
"Wave_563",-0.0595586739926395
"Wave_564",-0.0557058367139555
"Wave_565",-0.0933486998661909
"Wave_566",-0.108273142825931
"Wave_567",0.011110349916732
"Wave_568",0.156644664123118
"Wave_569",0.285740566613498
"Wave_570",0.197286318717837
"Wave_571",0.089011471229989
"Wave_572",-0.0500861153448854
"Wave_573",-0.179203335134054
"Wave_574",-0.0587005684357042
"Wave_575",-0.0517308761395091
"Wave_576",-0.127086939320862
"Wave_577",-0.285818937438868
"Wave_578",-0.353995701315394
