"","x"
"Wave_500",1.44349442256553
"Wave_501",1.43663430313191
"Wave_502",1.43832469374806
"Wave_503",1.43972893191475
"Wave_504",1.44877731906354
"Wave_505",1.45843691124079
"Wave_506",1.46830638095906
"Wave_507",1.48012328036154
"Wave_508",1.49867252161742
"Wave_509",1.52247295835128
"Wave_510",1.55550593516798
"Wave_511",1.59593686279535
"Wave_512",1.63383278630975
"Wave_513",1.66446400916421
"Wave_514",1.70990900592773
"Wave_515",1.75678544411975
"Wave_516",1.80888000618816
"Wave_517",1.88335170630444
"Wave_518",1.93770694721476
"Wave_519",1.97539525265798
"Wave_520",2.00505040820642
"Wave_521",2.03849739633348
"Wave_522",2.07028758534223
"Wave_523",2.10351063404168
"Wave_524",2.133943823309
"Wave_525",2.15107901652669
"Wave_526",2.16847867212049
"Wave_527",2.19044688611155
"Wave_528",2.18932311886036
"Wave_529",2.1931297874315
"Wave_530",2.19350368362935
"Wave_531",2.17937047206335
"Wave_532",2.17093086342035
"Wave_533",2.16264681901745
"Wave_534",2.15658548230629
"Wave_535",2.14507785267228
"Wave_536",2.13106172548078
"Wave_537",2.11453543168893
"Wave_538",2.09524977802775
"Wave_539",2.08144016384745
"Wave_540",2.07213477127295
"Wave_541",2.0681366188501
"Wave_542",2.06078535224398
"Wave_543",2.05702905697171
"Wave_544",2.0552114713217
"Wave_545",2.05132656386465
"Wave_546",2.0514363259579
"Wave_547",2.05114685600675
"Wave_548",2.04978048797366
"Wave_549",2.05470440496239
"Wave_550",2.0597227767647
"Wave_551",2.06552389847726
"Wave_552",2.07296984903902
"Wave_553",2.07922356059052
"Wave_554",2.08649547422954
"Wave_555",2.09690807083947
"Wave_556",2.09549083152356
"Wave_557",2.09952157518632
"Wave_558",2.1086063998851
"Wave_559",2.09891279142878
"Wave_560",2.08712093846025
"Wave_561",2.07274722090414
"Wave_562",2.05446412483784
"Wave_563",2.03024472556304
"Wave_564",2.01160792475159
"Wave_565",1.99388637118366
"Wave_566",1.97401863889343
"Wave_567",1.95293912587496
"Wave_568",1.93297977124746
"Wave_569",1.91567312561307
"Wave_570",1.89771161222933
"Wave_571",1.87977481657068
"Wave_572",1.86199063143019
"Wave_573",1.84473130653124
"Wave_574",1.82892140038153
"Wave_575",1.81265774663394
"Wave_576",1.79625272572687
"Wave_577",1.78260492127082
"Wave_578",1.76729240418286
"Wave_579",1.75421647969105
"Wave_580",1.74378474863573
"Wave_581",1.73224242596451
"Wave_582",1.72198996372766
"Wave_583",1.71299120108936
"Wave_584",1.7055574500786
"Wave_585",1.69692028274172
"Wave_586",1.68950822653185
"Wave_587",1.68439360340782
"Wave_588",1.68168503791816
"Wave_589",1.68053996543621
"Wave_590",1.68092588847
"Wave_591",1.68222727637207
"Wave_592",1.67639710490937
"Wave_593",1.67784367624531
"Wave_594",1.68351857639487
"Wave_595",1.69017722889125
"Wave_596",1.70875959742283
"Wave_597",1.72780095372267
"Wave_598",1.73910576393764
"Wave_599",1.73714161054822
"Wave_600",1.73090187010969
"Wave_601",1.72477660832218
"Wave_602",1.72183915424489
"Wave_603",1.72858093935467
"Wave_604",1.73116692639157
"Wave_605",1.72821135516071
"Wave_606",1.71816923931257
"Wave_607",1.69936231317929
"Wave_608",1.67192953083973
"Wave_609",1.64390602579995
"Wave_610",1.62491862442627
"Wave_611",1.61407115277642
"Wave_612",1.60123162733782
"Wave_613",1.58341327275944
"Wave_614",1.56432105397989
"Wave_615",1.55034243383419
"Wave_616",1.53972456987642
"Wave_617",1.52886673214677
"Wave_618",1.52231774365172
"Wave_619",1.51474572281207
"Wave_620",1.50630787343745
"Wave_621",1.5015829780486
"Wave_622",1.50092930199128
"Wave_623",1.49899422888406
"Wave_624",1.4934942869758
"Wave_625",1.48953358235125
"Wave_626",1.4853957378299
"Wave_627",1.48067413457732
"Wave_628",1.47532560652506
"Wave_629",1.471420040553
"Wave_630",1.46772900083986
"Wave_631",1.46571660426868
"Wave_632",1.46695695005044
"Wave_633",1.4575823712634
"Wave_634",1.45085305591041
"Wave_635",1.44604022943709
"Wave_636",1.44178967806257
"Wave_637",1.43889664905127
"Wave_638",1.4403950995274
"Wave_639",1.44653591282338
"Wave_640",1.4476169796784
"Wave_641",1.45169573323391
"Wave_642",1.46097616846997
"Wave_643",1.47820280215131
"Wave_644",1.48800063226025
"Wave_645",1.48254106599136
"Wave_646",1.46944992364531
"Wave_647",1.4537469459912
"Wave_648",1.4460229374129
"Wave_649",1.43377938219214
"Wave_650",1.41519028760919
"Wave_651",1.38547006660758
"Wave_652",1.34911321503971
"Wave_653",1.30897320633729
"Wave_654",1.27120829185951
"Wave_655",1.23941348698883
"Wave_656",1.20657583979897
"Wave_657",1.18100786539693
"Wave_658",1.16871005842424
"Wave_659",1.15892976693716
"Wave_660",1.15274245742001
"Wave_661",1.15449826943137
"Wave_662",1.16582825627584
"Wave_663",1.17567734961202
"Wave_664",1.17498222251463
"Wave_665",1.17583920385468
"Wave_666",1.18617375033522
"Wave_667",1.2201813606911
"Wave_668",1.23035993079708
"Wave_669",1.22582336566424
"Wave_670",1.21234192701767
"Wave_671",1.22105490712391
"Wave_672",1.21239950381812
"Wave_673",1.21065613657156
"Wave_674",1.23439512212419
"Wave_675",1.24182931512195
"Wave_676",1.24824298302726
"Wave_677",1.25665547722525
"Wave_678",1.27020176666541
"Wave_679",1.28650339711773
"Wave_680",1.31234475771162
"Wave_681",1.34555899202457
"Wave_682",1.38204673423497
"Wave_683",1.41948823344812
"Wave_684",1.46430973274377
"Wave_685",1.51703332286538
"Wave_686",1.55731227924215
