"","x"
"Wave_520",2.22428356603294
"Wave_521",2.26290573979018
"Wave_522",2.29700415085878
"Wave_523",2.32701299249531
"Wave_524",2.34693831749344
"Wave_525",2.35378492835279
"Wave_526",2.36044689813204
"Wave_527",2.37096523293676
"Wave_528",2.36458396339229
"Wave_529",2.36019300919976
"Wave_530",2.3546716454605
"Wave_531",2.33550918568568
"Wave_532",2.3234987149555
"Wave_533",2.3124671832508
"Wave_534",2.29880853728751
"Wave_535",2.27998690510687
"Wave_536",2.26211401800038
"Wave_537",2.24492042991088
"Wave_538",2.22765471526635
"Wave_539",2.21483085717066
"Wave_540",2.20456964827139
"Wave_541",2.19725876810402
"Wave_542",2.18742916934777
"Wave_543",2.18149860265925
"Wave_544",2.17580453106879
"Wave_545",2.16291276590578
"Wave_546",2.15429763644465
"Wave_547",2.14562005678724
"Wave_548",2.13488595793649
"Wave_549",2.12998831945171
"Wave_550",2.12674401971744
"Wave_551",2.12593500104307
"Wave_552",2.1260789335767
"Wave_553",2.12618410983799
"Wave_554",2.12470675351196
"Wave_555",2.12157790653465
"Wave_556",2.11960995731664
"Wave_557",2.10784196011397
"Wave_558",2.09211336558524
"Wave_559",2.08263706847836
"Wave_560",2.06729146200965
"Wave_561",2.05148283830786
"Wave_562",2.03751008813225
"Wave_563",2.02109391144756
"Wave_564",2.00065162015435
"Wave_565",1.9804437689533
"Wave_566",1.96185935351752
"Wave_567",1.94463825575029
"Wave_568",1.92820323248503
"Wave_569",1.9121363758935
"Wave_570",1.89258754434786
"Wave_571",1.87539395614221
"Wave_572",1.85909902588291
"Wave_573",1.84401234458656
"Wave_574",1.83138765204403
"Wave_575",1.81809319785784
"Wave_576",1.80503090364073
"Wave_577",1.79410608232857
"Wave_578",1.78029290098363
"Wave_579",1.76914959931302
"Wave_580",1.76096585066552
"Wave_581",1.75192204854738
"Wave_582",1.74433562045537
"Wave_583",1.7377785460398
"Wave_584",1.73195286599388
"Wave_585",1.72645175923741
"Wave_586",1.72016874426349
"Wave_587",1.71395454709727
"Wave_588",1.71050293132036
"Wave_589",1.70587422069998
"Wave_590",1.70232615892498
"Wave_591",1.69998433040686
"Wave_592",1.69742183221385
"Wave_593",1.69468185254217
"Wave_594",1.69170413547429
"Wave_595",1.68876529985647
"Wave_596",1.68844859564221
"Wave_597",1.68657452946958
"Wave_598",1.68207232011751
"Wave_599",1.67562338195084
"Wave_600",1.66952970052116
"Wave_601",1.66339180894565
"Wave_602",1.65716481995154
"Wave_603",1.65045513684075
"Wave_604",1.64308462793243
"Wave_605",1.63559549427135
"Wave_606",1.62854817832854
"Wave_607",1.61937991805982
"Wave_608",1.61133514200461
"Wave_609",1.60501472614582
"Wave_610",1.60040686396754
"Wave_611",1.59486811264871
"Wave_612",1.58824961314064
"Wave_613",1.58099382904443
"Wave_614",1.57758090055202
"Wave_615",1.57602756801802
"Wave_616",1.57436546823432
"Wave_617",1.57043367440098
"Wave_618",1.56755777118715
"Wave_619",1.56425601830683
"Wave_620",1.56067123857312
"Wave_621",1.5586270907489
"Wave_622",1.55944932486185
"Wave_623",1.55963381268974
"Wave_624",1.55795457347478
"Wave_625",1.55382656733087
"Wave_626",1.55216857013168
"Wave_627",1.55024136662371
"Wave_628",1.54718194238185
"Wave_629",1.5431594105602
"Wave_630",1.53894141366402
"Wave_631",1.53571871768394
"Wave_632",1.53502245272984
"Wave_633",1.52990833605156
"Wave_634",1.52610421707396
"Wave_635",1.52250150909736
"Wave_636",1.51612937355055
"Wave_637",1.50965179871986
"Wave_638",1.50498956837668
"Wave_639",1.50156559537528
"Wave_640",1.49396389288997
"Wave_641",1.48774864920545
"Wave_642",1.48154399777755
"Wave_643",1.47477334971215
"Wave_644",1.46948663152511
"Wave_645",1.46355469957175
"Wave_646",1.45562515889986
"Wave_647",1.44412140477388
"Wave_648",1.43336524353253
"Wave_649",1.42024099245218
"Wave_650",1.40497616448164
"Wave_651",1.38826839919545
"Wave_652",1.37043953728056
"Wave_653",1.351819208473
"Wave_654",1.33282372716962
"Wave_655",1.31390009926627
"Wave_656",1.29438784993815
"Wave_657",1.27779450953925
"Wave_658",1.26556730773595
"Wave_659",1.25225879340209
"Wave_660",1.23896919217028
"Wave_661",1.22683218001299
"Wave_662",1.21639892818536
"Wave_663",1.20600570005376
"Wave_664",1.19407168533058
"Wave_665",1.18308637004684
"Wave_666",1.17432711815573
"Wave_667",1.16713113324765
"Wave_668",1.16162651329748
"Wave_669",1.15634208902397
"Wave_670",1.15026331671642
"Wave_671",1.14548281787715
"Wave_672",1.14149639573894
"Wave_673",1.14097290901387
"Wave_674",1.14255256703898
"Wave_675",1.14700558733877
"Wave_676",1.15433544981551
"Wave_677",1.16525216538067
"Wave_678",1.18075500565416
"Wave_679",1.20438634099496
"Wave_680",1.23240352122577
"Wave_681",1.26176640155827
"Wave_682",1.29523520880023
"Wave_683",1.32989126373916
"Wave_684",1.37470839055965
"Wave_685",1.43164292290497
"Wave_686",1.48687527749877
"Wave_687",1.55525479014874
"Wave_688",1.62289393737091
"Wave_689",1.68722455543835
"Wave_690",1.76604091988564
"Wave_691",1.84503271975184
"Wave_692",1.9158042922474
"Wave_693",1.96512242698976
"Wave_694",2.05253665282365
"Wave_695",2.09827993357479
"Wave_696",2.13228186516525
"Wave_697",2.18387445806954
"Wave_698",2.25722205375485
"Wave_699",2.28458296097366
"Wave_700",2.32309738667939
"Wave_701",2.39862110781982
"Wave_702",2.40293479131766
"Wave_703",2.43153122072578
"Wave_704",2.48031045490399
"Wave_705",2.54208699266794
"Wave_706",2.53979421062242
"Wave_707",2.55639808991944
"Wave_708",2.5866598938897
"Wave_709",2.62368181221997
"Wave_710",2.60625552237828
"Wave_711",2.60143608001696
"Wave_712",2.60042171079096
"Wave_713",2.59706784446624
"Wave_714",2.55377311271964
"Wave_715",2.51894259157985
"Wave_716",2.48161849587561
"Wave_717",2.43744965099017
"Wave_718",2.37905954664823
"Wave_719",2.31879244455292
"Wave_720",2.25631257371055
"Wave_721",2.18190231010841
"Wave_722",2.10288220117391
"Wave_723",2.03376510619172
"Wave_724",1.95995985761008
"Wave_725",1.87398480643401
"Wave_726",1.79977817947966
"Wave_727",1.70701513366124
"Wave_728",1.62878610712566
"Wave_729",1.56746277272441
"Wave_730",1.48602792824839
"Wave_731",1.41236028418388
"Wave_732",1.34318287485387
"Wave_733",1.27882253408759
"Wave_734",1.22031011924955
"Wave_735",1.1733029844992
"Wave_736",1.12501697556943
"Wave_737",1.07952415192824
"Wave_738",1.03267861395085
"Wave_739",0.995879163259604
"Wave_740",0.964231351051241
"Wave_741",0.93588473787929
"Wave_742",0.913451273403525
"Wave_743",0.902354618497343
"Wave_744",0.886974982102742
"Wave_745",0.876740150731106
"Wave_746",0.868214309164411
"Wave_747",0.862700813179797
"Wave_748",0.855143178477354
"Wave_749",0.853735539426795
"Wave_750",0.85074900558415
"Wave_751",0.84917579272126
"Wave_752",0.851125897185611
"Wave_753",0.847229338572868
"Wave_754",0.845779410700297
"Wave_755",0.849078171279143
"Wave_756",0.85276848408896
"Wave_757",0.85288697071966
"Wave_758",0.851412264445744
"Wave_759",0.852365631768558
"Wave_760",0.854703767120155
"Wave_761",0.853033394959973
"Wave_762",0.850047686105403
"Wave_763",0.851434039796935
"Wave_764",0.849448687382714
"Wave_765",0.85070147969212
"Wave_766",0.852954811950901
"Wave_767",0.856790912870168
"Wave_768",0.85583694052716
"Wave_769",0.852054618592246
"Wave_770",0.849265590476103
"Wave_771",0.850041177203024
"Wave_772",0.858072874355916
"Wave_773",0.85540406535036
"Wave_774",0.844713507500373
"Wave_775",0.842500842461
"Wave_776",0.842306662893621
"Wave_777",0.841780366575901
"Wave_778",0.848109957291927
"Wave_779",0.849504898515946
"Wave_780",0.84167451327118
"Wave_781",0.838206310037596
"Wave_782",0.836470396187789
"Wave_783",0.839659177934819
"Wave_784",0.843001758108298
"Wave_785",0.839481689657192
"Wave_786",0.832609516794541
"Wave_787",0.824615195328137
"Wave_788",0.816954535980076
"Wave_789",0.818368281717438
"Wave_790",0.822022837940115
"Wave_791",0.820868130784058
"Wave_792",0.81789315255119
"Wave_793",0.814383612815168
"Wave_794",0.811087863407754
"Wave_795",0.810910704237363
"Wave_796",0.805348096284215
"Wave_797",0.797535078936806
"Wave_798",0.792948974963666
"Wave_799",0.797059320716129
"Wave_800",0.795203373318931
"Wave_801",0.796303046222744
"Wave_802",0.794138865988616
"Wave_803",0.788736447931547
"Wave_804",0.786450288932207
"Wave_805",0.783528335719871
"Wave_806",0.778900576486204
"Wave_807",0.777963157868562
"Wave_808",0.781003410792627
"Wave_809",0.777573208752614
"Wave_810",0.774057726001328
"Wave_811",0.772629565100523
"Wave_812",0.770614225880531
"Wave_813",0.770754667822489
"Wave_814",0.767728010314723
"Wave_815",0.764694408932657
"Wave_816",0.769242169810411
"Wave_817",0.769074059954577
"Wave_818",0.767837514477542
"Wave_819",0.763990371145791
"Wave_820",0.761575796110204
"Wave_821",0.762441148041255
"Wave_822",0.765796903211601
