"","Vcmax_Spec_Tleaf.12.comps"
"(Intercept)",18.7552975474984
"Wave_500",-0.72139150063349
"Wave_501",-0.659825709974902
"Wave_502",-0.601829679032923
"Wave_503",-0.558934324297729
"Wave_504",-0.497693993449886
"Wave_505",-0.461430782219159
"Wave_506",-0.435902299177209
"Wave_507",-0.414295763558011
"Wave_508",-0.372784662924764
"Wave_509",-0.315133566240825
"Wave_510",-0.245919736076063
"Wave_511",-0.182109734598905
"Wave_512",-0.134967878087048
"Wave_513",-0.109798398176031
"Wave_514",-0.075671501593857
"Wave_515",-0.0242569042764411
"Wave_516",0.0403766973318024
"Wave_517",0.104731686855538
"Wave_518",0.174833810820667
"Wave_519",0.216474526985089
"Wave_520",0.223317977071578
"Wave_521",0.228967608794528
"Wave_522",0.214705728668154
"Wave_523",0.198181343222322
"Wave_524",0.206587001580511
"Wave_525",0.187987010858757
"Wave_526",0.181070024635595
"Wave_527",0.208476051664674
"Wave_528",0.155276444485385
"Wave_529",0.135010461651221
"Wave_530",0.133955133893004
"Wave_531",0.100138970351219
"Wave_532",0.0917782999670792
"Wave_533",0.0815628754071428
"Wave_534",0.0474493149557859
"Wave_535",0.0249737024497482
"Wave_536",0.0193372362119139
"Wave_537",0.0191308409183229
"Wave_538",0.0124280201190852
"Wave_539",0.0135599858032803
"Wave_540",0.0206049978607743
"Wave_541",0.0379552567855983
"Wave_542",0.0416281537710024
"Wave_543",0.0471763966732301
"Wave_544",0.0485561854441969
"Wave_545",0.0363781108232294
"Wave_546",0.0256511772976565
"Wave_547",0.0158337862142323
"Wave_548",0.00557483437931638
"Wave_549",0.0112409106568428
"Wave_550",0.0305623108260889
"Wave_551",0.0547893744444087
"Wave_552",0.0687364825641628
"Wave_553",0.0748392485816667
"Wave_554",0.0741681740885408
"Wave_555",0.0720020926756835
"Wave_556",0.0818078810243586
"Wave_557",0.0604129955078912
"Wave_558",0.0235221179589926
"Wave_559",0.00276840271357416
"Wave_560",-0.0205662301209596
"Wave_561",-0.0440444634947445
"Wave_562",-0.058590292662356
"Wave_563",-0.0558438267910315
"Wave_564",-0.0656866773140922
"Wave_565",-0.0783541075000251
"Wave_566",-0.0947615633754449
"Wave_567",-0.102105609107375
"Wave_568",-0.103179595256796
"Wave_569",-0.101630383354913
"Wave_570",-0.121949208794405
"Wave_571",-0.129470851386117
"Wave_572",-0.139104252501378
"Wave_573",-0.147865160424987
"Wave_574",-0.139040793195109
"Wave_575",-0.146631640562756
"Wave_576",-0.164051963036554
"Wave_577",-0.185614716581593
"Wave_578",-0.198105529009104
"Wave_579",-0.195855775836736
"Wave_580",-0.183894276746677
"Wave_581",-0.171238812334889
"Wave_582",-0.174451228914464
"Wave_583",-0.180627345149118
"Wave_584",-0.182176819953558
"Wave_585",-0.169024710340306
"Wave_586",-0.162958926211317
"Wave_587",-0.160923201437898
"Wave_588",-0.141386736221333
"Wave_589",-0.135332107838966
"Wave_590",-0.12305841674389
