"","Narea_g_m2.7.comps"
"(Intercept)",1.99661930874393
"Wave_500",0.00648487438942538
"Wave_501",0.00614812496009343
"Wave_502",0.00585318612075119
"Wave_503",0.00552656000617178
"Wave_504",0.00508287610785623
"Wave_505",0.00463025442181343
"Wave_506",0.00417813004209393
"Wave_507",0.00366541949236899
"Wave_508",0.00311948688286413
"Wave_509",0.00247883312274647
"Wave_510",0.0017863329577311
"Wave_511",0.000997473238174911
"Wave_512",0.000131205940969638
"Wave_513",-0.000698834668032526
"Wave_514",-0.00167738621136766
"Wave_515",-0.00272241202199401
"Wave_516",-0.00378320165353899
"Wave_517",-0.00499294730878862
"Wave_518",-0.00614307559405296
"Wave_519",-0.00724550430052537
"Wave_520",-0.00811012466831928
"Wave_521",-0.00897452871633994
"Wave_522",-0.0098649015724591
"Wave_523",-0.0109109870272033
"Wave_524",-0.0116894077193586
"Wave_525",-0.0121357247497268
"Wave_526",-0.0128086288714174
"Wave_527",-0.0133022274497556
"Wave_528",-0.0133207915379422
"Wave_529",-0.0130178948053196
"Wave_530",-0.012701753927589
"Wave_531",-0.0125774476483067
"Wave_532",-0.0124495857648616
"Wave_533",-0.0120734008215938
"Wave_534",-0.0116128623495265
"Wave_535",-0.0108217896603635
"Wave_536",-0.0101525549643674
"Wave_537",-0.00961695133469024
"Wave_538",-0.00912236938448653
"Wave_539",-0.00854120251977785
"Wave_540",-0.00791579647818266
"Wave_541",-0.00738371704754311
"Wave_542",-0.00641392003809815
"Wave_543",-0.00573909660424297
"Wave_544",-0.00498184228288652
"Wave_545",-0.00403927785734683
"Wave_546",-0.00371641418691642
"Wave_547",-0.00373660044120317
"Wave_548",-0.00403961591045724
"Wave_549",-0.00375975508280399
"Wave_550",-0.00298267526598964
"Wave_551",-0.00211387918961858
"Wave_552",-0.00163540148199917
"Wave_553",-0.00126742395548749
"Wave_554",-0.000744267746110043
"Wave_555",5.50851372058501e-05
"Wave_556",0.000995268062859169
"Wave_557",0.0016542099501656
"Wave_558",0.0020553945937514
"Wave_559",0.00239383131533335
"Wave_560",0.00307183617950285
"Wave_561",0.00395634589480427
"Wave_562",0.00511412756181239
"Wave_563",0.0063165662907997
"Wave_564",0.00740264167918284
"Wave_565",0.00824471650334458
"Wave_566",0.00895521855555802
"Wave_567",0.00934444338934342
"Wave_568",0.00977347866021714
"Wave_569",0.0101661671450156
"Wave_570",0.010375404448712
"Wave_571",0.0105076543658627
"Wave_572",0.0104440166644209
"Wave_573",0.0103788731307207
"Wave_574",0.0102648346174667
"Wave_575",0.010150548780878
"Wave_576",0.010032859539054
"Wave_577",0.00976632582589121
"Wave_578",0.0095030073204378
"Wave_579",0.00931177743116877
"Wave_580",0.00912576193316868
"Wave_581",0.00909768359843765
"Wave_582",0.0089988508827259
"Wave_583",0.00881112697273987
"Wave_584",0.00866671010856558
"Wave_585",0.00840503356804525
"Wave_586",0.00804381673204255
"Wave_587",0.00765744112940717
"Wave_588",0.00728928320327372
"Wave_589",0.0069291650895356
"Wave_590",0.00660354322525868
"Wave_591",0.00628842890167956
"Wave_592",0.00609389653240947
"Wave_593",0.00582405350994185
"Wave_594",0.00550134793569548
"Wave_595",0.00517567336772507
"Wave_596",0.00486708560402749
"Wave_597",0.00455914261945
"Wave_598",0.00422197355582143
"Wave_599",0.00384613308549075
"Wave_600",0.00344289938770052
"Wave_601",0.00311553441920739
"Wave_602",0.00278696732612827
"Wave_603",0.00248734806596873
"Wave_604",0.0022784394788841
"Wave_605",0.00203015093748345
"Wave_606",0.00163089923343961
