"","x"
"Wave_500",0.870620062652878
"Wave_501",0.858799136837211
"Wave_502",0.843023873848662
"Wave_503",0.828152407662379
"Wave_504",0.812808537133638
"Wave_505",0.795489696226589
"Wave_506",0.776327631478455
"Wave_507",0.758456866048511
"Wave_508",0.738209998440515
"Wave_509",0.716708644334101
"Wave_510",0.699030891694557
"Wave_511",0.682180590480655
"Wave_512",0.665782463355538
"Wave_513",0.654773067102123
"Wave_514",0.648954211904208
"Wave_515",0.653497452069201
"Wave_516",0.662238743373726
"Wave_517",0.676651505978945
"Wave_518",0.691827521906206
"Wave_519",0.71204401277445
"Wave_520",0.725521295357862
"Wave_521",0.748273104979536
"Wave_522",0.776830892963359
"Wave_523",0.816482062392964
"Wave_524",0.85046276236036
"Wave_525",0.879607850430038
"Wave_526",0.914300272189975
"Wave_527",0.938522817653145
"Wave_528",0.950106596705505
"Wave_529",0.947564672068219
"Wave_530",0.943441108947079
"Wave_531",0.953336509256229
"Wave_532",0.964316688810935
"Wave_533",0.957788310771267
"Wave_534",0.955867310638841
"Wave_535",0.944887253048889
"Wave_536",0.935127766384892
"Wave_537",0.934811624220233
"Wave_538",0.930690742112285
"Wave_539",0.926508843886978
"Wave_540",0.925439258384066
"Wave_541",0.923896014179474
"Wave_542",0.913611472605308
"Wave_543",0.915438497951116
"Wave_544",0.914147043364823
"Wave_545",0.915049452126788
"Wave_546",0.929217527633274
"Wave_547",0.946332285026849
"Wave_548",0.964766084763728
"Wave_549",0.969133300259965
"Wave_550",0.963721659900781
"Wave_551",0.957148115270608
"Wave_552",0.955900321485183
"Wave_553",0.955745396633897
"Wave_554",0.950221498471403
"Wave_555",0.946685249824562
"Wave_556",0.944619822123414
"Wave_557",0.940281380536665
"Wave_558",0.937993587865864
"Wave_559",0.934464019541402
"Wave_560",0.93082954400402
"Wave_561",0.932704933861098
"Wave_562",0.938083140055715
"Wave_563",0.945705961047499
"Wave_564",0.953197389703156
"Wave_565",0.957305359925075
"Wave_566",0.960344856944533
"Wave_567",0.95707412615523
"Wave_568",0.954939877490601
"Wave_569",0.952658320144073
"Wave_570",0.943948538097342
"Wave_571",0.933242268526451
"Wave_572",0.917110195946165
"Wave_573",0.901873266395307
"Wave_574",0.88507836583759
"Wave_575",0.86846767613855
"Wave_576",0.851896426513593
"Wave_577",0.830906907769533
"Wave_578",0.811165898254706
"Wave_579",0.79448047100183
"Wave_580",0.779041699479505
"Wave_581",0.770094981007393
"Wave_582",0.759293307869058
"Wave_583",0.746015838115928
"Wave_584",0.734443633333698
"Wave_585",0.719143357507642
"Wave_586",0.700016204851307
"Wave_587",0.679921135239799
"Wave_588",0.660081557092138
"Wave_589",0.643346794330022
"Wave_590",0.628873220549615
"Wave_591",0.615756253778696
"Wave_592",0.607769281889381
"Wave_593",0.597870472455765
"Wave_594",0.586485803098436
"Wave_595",0.575571902135462
"Wave_596",0.565609835024736
"Wave_597",0.556179251099408
"Wave_598",0.546852706749692
"Wave_599",0.537360196969906
"Wave_600",0.527458231364315
"Wave_601",0.521585908944157
"Wave_602",0.51487862528296
"Wave_603",0.510320635665025
"Wave_604",0.508126292398808
"Wave_605",0.505702381479262
"Wave_606",0.499731828152809
"Wave_607",0.498800938357578
"Wave_608",0.497498868530814
"Wave_609",0.494940793639884
"Wave_610",0.491565378574275
"Wave_611",0.488423274051049
"Wave_612",0.486377535717987
"Wave_613",0.486373566028098
"Wave_614",0.48454330869528
"Wave_615",0.48115239486052
"Wave_616",0.478849857513868
"Wave_617",0.47625485908999
"Wave_618",0.475136398583513
"Wave_619",0.475320376957626
"Wave_620",0.475659120651023
"Wave_621",0.475666982341399
"Wave_622",0.477461039222885
"Wave_623",0.479381179220029
"Wave_624",0.482048703982922
"Wave_625",0.484322691345491
"Wave_626",0.487545722291658
"Wave_627",0.490862938948227
"Wave_628",0.496154029010048
"Wave_629",0.499283220838862
"Wave_630",0.502965757458741
"Wave_631",0.507759976836912
"Wave_632",0.51284318715511
"Wave_633",0.515099533555153
"Wave_634",0.517342861660351
"Wave_635",0.519156650067401
"Wave_636",0.522200433035797
"Wave_637",0.525712951334818
"Wave_638",0.529376383152192
"Wave_639",0.533262272532537
"Wave_640",0.538077397564329
"Wave_641",0.543421140813466
"Wave_642",0.549917506882074
"Wave_643",0.558738029546542
"Wave_644",0.568142685082825
"Wave_645",0.579015203963762
"Wave_646",0.590755792256638
"Wave_647",0.604478076019579
"Wave_648",0.614658432845732
"Wave_649",0.622950152802921
"Wave_650",0.635254734883863
"Wave_651",0.64845109411069
"Wave_652",0.657753386468284
"Wave_653",0.670321373223013
"Wave_654",0.684267735966972
"Wave_655",0.698566618734752
"Wave_656",0.715727354769174
"Wave_657",0.731877866878787
"Wave_658",0.75106904079765
"Wave_659",0.776148475427646
"Wave_660",0.80312457083073
"Wave_661",0.837494361944921
"Wave_662",0.874236296384164
"Wave_663",0.908879858719192
"Wave_664",0.943575849492467
"Wave_665",0.981830855843632
"Wave_666",1.01410150362495
"Wave_667",1.04417727311184
"Wave_668",1.06917294282159
"Wave_669",1.0847575982423
"Wave_670",1.09759471027702
"Wave_671",1.10635044897545
"Wave_672",1.11797049418991
"Wave_673",1.12498399339107
"Wave_674",1.13388390534073
"Wave_675",1.14559642886023
"Wave_676",1.15655672616814
"Wave_677",1.16937798996221
"Wave_678",1.18288987627461
"Wave_679",1.18745505657071
"Wave_680",1.18624054480712
"Wave_681",1.17681857215877
"Wave_682",1.16022769768758
"Wave_683",1.12856323953088
"Wave_684",1.08835138490566
"Wave_685",1.0426910283019
"Wave_686",0.971871067992046
"Wave_687",0.876486346820169
"Wave_688",0.785002380539482
"Wave_689",0.711831178861449
"Wave_690",0.652937360313887
"Wave_691",0.641166863747004
"Wave_692",0.675689453685744
"Wave_693",0.753954174317821
"Wave_694",0.862790410425083
