"Spectra_Name","Location","Instrument","Species_Code","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL1236","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.890176684874504
"BNL1238","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.874618825723832
"BNL1240","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.870347977113437
"BNL1242","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.838625760787072
"BNL1244","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.853321722937597
"BNL1245","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.893769404101458
"BNL1246","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.86500079994436
"BNL1247","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.891349300537885
"BNL1248","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.861460130795654
"BNL1249","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.909931988708394
"BNL1251","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.894602472039029
"BNL1253","Utqiagvik","ASD_FieldSpec_3","SAPU15","20130725",0.865918968884537
"BNL1255","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.903724725140276
"BNL1256","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.869834875804192
"BNL1257","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.898612490269153
"BNL1258","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.780533427046908
"BNL1259","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.903653369921818
"BNL1260","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.846146319868862
"BNL1261","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.914065526030794
"BNL1262","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.814883261230461
"BNL1264","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.863491294486346
"BNL1265","Utqiagvik","ASD_FieldSpec_3","ARFU2","20130725",0.819651469828679
"BNL1266","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.850590731567337
"BNL1267","Utqiagvik","ASD_FieldSpec_3","ARFU2","20130725",0.837263778092224
"BNL1268","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.884637146464854
"BNL1269","Utqiagvik","ASD_FieldSpec_3","ARFU2","20130725",0.807585890007106
"BNL1270","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.830667240589242
"BNL1271","Utqiagvik","ASD_FieldSpec_3","ARFU2","20130725",0.79761124556349
"BNL1272","Utqiagvik","ASD_FieldSpec_3","SAPU6","20130725",0.876251665901558
"BNL1281","Utqiagvik","ASD_FieldSpec_3","ARFU2","20130725",0.883622824880446
"BNL1303","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.83454667621064
"BNL1305","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.782702781529067
"BNL1307","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.816382233162273
"BNL1309","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.792511274986081
"BNL1313","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.782465499833562
"BNL1315","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.794324940174393
"BNL1317","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.754865549942673
"BNL1321","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.813835048510908
"BNL1323","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.906179143379192
"BNL1324","Utqiagvik","ASD_FieldSpec_3","CAAQ","20130725",0.850742293719517
"BNL1325","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.876747611340062
"BNL1327","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.887039190360137
"BNL1328","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.845446531775388
"BNL1329","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.894759297863934
"BNL1330","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.849124228550488
"BNL1331","Utqiagvik","ASD_FieldSpec_3","PEFR5","20130725",0.909201178977088
"BNL1332","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.840716441393355
"BNL1334","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.863728770596524
"BNL1336","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.846705328266213
"BNL1338","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.881849609374022
"BNL1340","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.86287016347775
"BNL1342","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.877309698502852
"BNL1344","Utqiagvik","ASD_FieldSpec_3","DUFI","20130725",0.895076660771781
"BNL1363","Utqiagvik","ASD_FieldSpec_3","ARLA2","20130725",0.849144245469178
"BNL1365","Utqiagvik","ASD_FieldSpec_3","ARLA2","20130725",0.80230310663472
"BNL1369","Utqiagvik","ASD_FieldSpec_3","ARLA2","20130725",0.818691303679897
"BNL1373","Utqiagvik","ASD_FieldSpec_3","ARLA2","20130725",0.893151442748749
"BNL1379","Utqiagvik","ASD_FieldSpec_3","ARLA2","20130725",0.772993895341906
"BNL1383","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.891774269893113
"BNL1384","Utqiagvik","ASD_FieldSpec_3","VAVI","20130725",0.870578718975138
"BNL1385","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.877187624900143
"BNL1387","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.871042187184073
"BNL1389","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.874160796165668
"BNL1391","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.901179981173246
"BNL1393","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.876602268925196
"BNL1395","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.898684941866058
"BNL1397","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.897450958021105
"BNL1399","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.884612397385926
"BNL1400","Utqiagvik","ASD_FieldSpec_3","ERAN6","20130725",0.851460012624475
