"Spectra_Name","Location","Instrument","Species_Code","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL1632","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.753916352880115
"BNL1633","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.745577249068912
"BNL1634","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.828134793819481
"BNL1635","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.765237124225342
"BNL1636","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.764414054093134
"BNL1637","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",0.797736208000754
"BNL1638","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.877997959310264
"BNL1639","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.880000019199145
"BNL1640","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.880720170524643
"BNL1641","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.872988729620527
"BNL1642","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",0.882202573553269
"BNL1617","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.896919704446035
"BNL1618","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.91334553447647
"BNL1619","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.897759964697793
"BNL1620","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.933398442785678
"BNL1621","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.903694581178145
"BNL1622","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.900628906113757
"BNL1623","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.887163952789895
"BNL1624","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.900009339469573
"BNL1625","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.906274615861293
"BNL1626","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.900596229906276
"BNL1627","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.917170525009382
"BNL1628","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.91814806840365
"BNL1629","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.907735109473894
"BNL1630","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.90396004780676
"BNL1631","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",0.905750547831854
