"Spectra_Name","Location","Instrument","Species_Code","Measurement_Date","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Cbrown.mu","Cbrown.q25","Cbrown.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"BNL1632","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",1.14122291991943,1.13770664891884,1.15197269859103,17.0266308848994,16.8265193471067,17.6117225064378,3.37702376500162,3.20968105318374,3.8624754077367,0.00565837378929269,0.0019351141344596,0.018680075281121,0.0079642037005355,0.0078898979799946,0.00816808065285468,0.0018827168120256,0.00174640932848392,0.00227546851308909
"BNL1633","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",1.25857335249397,1.25449615858419,1.26980455643548,15.5130184603788,15.3284830728966,16.0262680840569,3.8158047885664,3.63561920495223,4.35330299788612,0.00494346012698937,0.00153087447886842,0.0164250441194469,0.00664464814235115,0.00658248164665897,0.00682180085261799,0.00197085777900864,0.00184991300186234,0.00230414810265908
"BNL1634","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",1.3508013442333,1.3092263807218,1.66924262532899,25.5017130629303,18.9560112202619,77.8126108080993,4.36179657595544,3.93539607805695,8.36627307785502,0.00536741769403025,0.00137113153694748,0.0313082529604597,0.00746079714563052,0.00724684788342287,0.00854578047781448,0.00330259309790908,0.00240020753100015,0.0101161802390747
"BNL1635","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",1.40511726727286,1.40038624194656,1.41921996046852,16.5895179207478,16.3639301116907,17.2190202597749,4.42029125236396,4.20135966745053,4.97970666036841,0.00684384347310895,0.00254890122887473,0.0206841218148121,0.00623831077213199,0.00617895254644715,0.00642503226632838,0.00306872395759222,0.00294565963428471,0.00341912889418651
"BNL1636","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",1.31275766207744,1.30741925238563,1.3258872860788,17.506206913531,17.3211576981709,18.1313558279051,3.4931653641495,3.27547268021089,4.10392408492022,0.00367761285640887,0.00107549434697966,0.0137820874790548,0.00877685737676939,0.00867958309972743,0.0090498521516975,0.00236029730468289,0.00217751756522372,0.0028526158788408
"BNL1637","Utqiagvik","SVC_HR-1024i","CAAQ","20150712",1.62294703649285,1.61654916041275,1.64165190026629,20.7101302537352,20.4549222580502,21.4455136794378,3.8923989129382,3.69705233783763,4.45208268099753,0.00414608137408687,0.00115347409086105,0.0143069541464453,0.00891575183068844,0.0088332400953562,0.00915255515391832,0.00331128267554583,0.00314231471998586,0.00377301087914044
"BNL1638","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",1.75354036049675,1.74395134424677,1.78116519939271,31.7152292183217,31.2955931828662,32.9180286594578,15.0125793987282,14.1910261865173,17.5624737340475,0.00649594167395361,0.00196937737773039,0.0200707720857973,0.0176779133996873,0.0175670341344514,0.018063554085089,0.0023062311509326,0.00204939003720395,0.00301947559020989
"BNL1639","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",1.98386766524504,1.972394749812,2.01759366130051,33.124848988234,32.6714541522195,34.4080846721526,13.7887785655633,12.9745170998923,16.06612219898,0.00719353274160853,0.0024448845937867,0.0221230232255622,0.0155759884124932,0.0154547642468518,0.0159482401249099,0.00332756359130242,0.00306586267140026,0.00409309429137002
"BNL1640","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",2.08960797915429,2.07612631854932,2.12816716353958,33.3792602664077,32.9196283424025,34.6984752005244,14.316404554717,13.5238559068055,16.7484605930583,0.0150228092708568,0.00567230699205948,0.0447718766491292,0.0169695275070223,0.0168292202992474,0.0173985132480444,0.00351512742854576,0.00321878407139117,0.00438781998058208
"BNL1641","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",2.01148793781973,2.00147156845185,2.04263222080096,32.3241547256836,31.9064320782659,33.89764488779,10.5879028305876,10.10277062371,12.0801412537834,0.00661450761655533,0.00201155395062448,0.0245229953885385,0.0152091172467302,0.0151065572352942,0.0154845576554169,0.00338279405510825,0.00319432111084937,0.00392376241946601
"BNL1642","Utqiagvik","SVC_HR-1024i","ERAN6","20150712",1.87874364173848,1.86683360087489,1.90932664999477,33.4395388455695,33.0629635728739,34.5979730873109,14.2547193863884,13.3262884002405,16.9871513161596,0.00532741287308994,0.00146016826448972,0.018795794636713,0.0163486633254608,0.0162101781537557,0.0167310464050586,0.00341950621193941,0.00310578128358407,0.00417958400572164
"BNL1617","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",2.00306949952278,1.99370899183344,2.03241647136919,38.8440624062356,38.3922500154106,40.1462996521057,17.3209366910502,16.2631326180258,20.594806758934,0.00462378541561073,0.00121803589636426,0.018153426154198,0.0442063667813503,0.0439121104599742,0.0451475650176718,0.000390201169583399,0.000205275771488209,0.000968826601954538
"BNL1618","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",2.15719953556609,1.9653676713673,4.11146116733017,44.6110254284952,40.4928533957302,83.061434688795,29.3106184875214,26.2785348787955,39.7226050125474,0.0110825006664744,0.00172582522463912,0.0996886577329991,0.0511853326296823,0.0485639932771153,0.0796038039085584,0.00403816841211848,0.000327155003878684,0.0402790228845931
"BNL1619","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",2.02149889861619,2.00683772591254,2.0711369680408,38.314591837669,37.8541904454054,39.5119093670259,20.4645328208932,19.3738312910725,24.554691017415,0.00392448340058211,0.00089389291567908,0.0134498132303779,0.0508276966926844,0.0504345433916183,0.0520422241601079,0.000759424942099037,0.0003960140890683,0.00191436477764463
"BNL1620","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",2.09637705717975,1.99532780148973,3.59665112076238,50.5209903312944,46.7576198627412,98.149683524226,629.907147763671,328.718475105268,1633.70077239376,0.00602869265871289,0.00129220539158458,0.026692766948569,0.0525814711724526,0.0510111372306355,0.0793023534828779,0.00250088002177253,0.000417149522009635,0.0299111186272965
"BNL1621","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",1.98821819805055,1.97773415952971,2.02553643438878,40.5502886555482,40.1028769346326,41.9950824263417,22.1660845372921,20.6097737098426,27.663930646565,0.00400448180309574,0.00125724423186887,0.0145659196690517,0.0461700501830159,0.0458648894369381,0.0472363076700623,0.000479764171186607,0.000241247080165924,0.00136918837130458
"BNL1622","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",1.96857046320242,1.95836563075469,2.00336488054382,38.5867775660844,38.0979369037924,40.0328535341789,23.9216109681306,22.1618995390755,29.5785474848842,0.00506201384051808,0.00147614463262979,0.0202750885024016,0.0436062758888609,0.0433065552786551,0.044553295269961,0.00046107503492876,0.000228049174280729,0.00135389040170806
"BNL1623","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",1.84696165882449,1.83717223431718,1.87187103612228,34.3337283395574,33.8342091251789,35.6992924261681,17.8673064443439,16.4859639430868,21.4258117837962,0.00399130959550786,0.00133001204711716,0.0122155564775809,0.0317786584875389,0.0315822265754607,0.0324229040420608,0.00035234244258252,0.000192902284681685,0.000873312965479728
"BNL1624","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",1.88456804479922,1.87524059594238,1.91735715797729,35.5171643334792,35.0600936449977,37.0402996107959,42.3270945315544,36.6490483723637,62.7311927733567,0.00331216732804752,0.00109112232593892,0.0112195060519334,0.0405509747692566,0.0402585321659515,0.0413854248881881,0.000499837837005464,0.000274023102030558,0.00128445864951496
"BNL1625","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",2.15164136006424,2.13565326105065,2.2082193895686,41.3307971339915,40.7845459054232,42.9448157806008,27.8021509644429,25.5689824799612,34.7180539111163,0.00508888756520936,0.00137755310043551,0.0186092938941599,0.0572208705574345,0.0567885209902207,0.0585102591790029,0.000700216108854351,0.000368420712464821,0.00186619224085793
"BNL1626","Utqiagvik","SVC_HR-1024i","PEFR5","20150712",1.88888361239075,1.87926882260366,1.91897145443205,38.3609931715115,37.8576527737249,39.8202485776804,23.6894287260826,21.9830872228505,29.5266172236591,0.00571301838586716,0.0015166782166346,0.0234218229745397,0.039209353217238,0.0389123761322268,0.0402397056412978,0.000450285765015743,0.000250020004762633,0.00112619466100625
