"Date","Date_Time","Frac_DOY","PAR_umol_m2_s1","Solar_W_m2","Tair_degC","Tsurf_degC"
2015-01-01,2015-01-01 00:00:00,0,8.68,-7.47,-20.57,-20.53
2015-01-01,2015-01-01 00:30:00,0.0208299999999999,0.265,-6.56,-19.95,-19.86
2015-01-01,2015-01-01 01:00:00,0.0416700000000001,0.257,-6.701,-19.86,-19.85
2015-01-01,2015-01-01 01:30:00,0.0625,0.3,-6.708,-19.8,-19.85
2015-01-01,2015-01-01 02:00:00,0.0833299999999999,0.277,-6.751,-19.79,-19.89
2015-01-01,2015-01-01 02:30:00,0.10417,0.319,-6.648,-19.68,-19.73
2015-01-01,2015-01-01 03:00:00,0.125,0.338,-6.34,-19.53,-19.48
2015-01-01,2015-01-01 03:30:00,0.14583,0.415,-6.502,-19.61,-19.54
2015-01-01,2015-01-01 04:00:00,0.16667,0.296,-6.737,-19.83,-19.84
2015-01-01,2015-01-01 04:30:00,0.1875,0.373,-6.904,-20.05,-20.14
2015-01-01,2015-01-01 05:00:00,0.20833,0.315,-7.143,-20.3,-20.48
2015-01-01,2015-01-01 05:30:00,0.22917,0.254,-7.274,-20.59,-20.85
2015-01-01,2015-01-01 06:00:00,0.25,0.246,-7.526,-20.77,-21.17
2015-01-01,2015-01-01 06:30:00,0.27083,0.242,-7.905,-20.96,-21.54
2015-01-01,2015-01-01 07:00:00,0.29167,0.265,-7.985,-20.92,-21.62
2015-01-01,2015-01-01 07:30:00,0.3125,0.188,-8.09,-20.73,-21.57
2015-01-01,2015-01-01 08:00:00,0.33333,0.177,-8.15,-20.85,-21.72
2015-01-01,2015-01-01 08:30:00,0.35417,0.108,-8.08,-20.9,-21.78
2015-01-01,2015-01-01 09:00:00,0.375,0.077,-7.933,-20.67,-21.5
2015-01-01,2015-01-01 09:30:00,0.39583,0.085,-8.35,-20.71,-21.67
2015-01-01,2015-01-01 10:00:00,0.41667,0.065,-8.21,-21,-21.93
2015-01-01,2015-01-01 10:30:00,0.4375,0.069,-8.34,-21.04,-22
2015-01-01,2015-01-01 11:00:00,0.45833,0.035,-8.38,-21.13,-22.13
2015-01-01,2015-01-01 11:30:00,0.47917,0.023,-8.31,-20.98,-22.03
2015-01-01,2015-01-01 12:00:00,0.5,0.054,-8.51,-20.97,-22.1
2015-01-01,2015-01-01 12:30:00,0.52083,0.015,-8.48,-21.25,-22.38
2015-01-01,2015-01-01 13:00:00,0.54167,0.023,-8.05,-21.11,-22.19
2015-01-01,2015-01-01 13:30:00,0.5625,0.012,-8.12,-21.04,-22.18
2015-01-01,2015-01-01 14:00:00,0.58333,0.046,-7.976,-20.85,-21.99
2015-01-01,2015-01-01 14:30:00,0.60417,0.046,-8.19,-20.71,-21.81
2015-01-01,2015-01-01 15:00:00,0.625,0.035,-8.16,-20.88,-21.96
2015-01-01,2015-01-01 15:30:00,0.64583,0.015,-7.879,-20.88,-21.9
2015-01-01,2015-01-01 16:00:00,0.66667,0.023,-7.529,-20.78,-21.76
2015-01-01,2015-01-01 16:30:00,0.6875,0.019,-7.481,-20.82,-21.71
2015-01-01,2015-01-01 17:00:00,0.70833,0.015,-7.523,-20.53,-21.46
2015-01-01,2015-01-01 17:30:00,0.72917,0.05,-7.264,-19.81,-20.5
2015-01-01,2015-01-01 18:00:00,0.75,0.035,-7.358,-19.58,-20.24
2015-01-01,2015-01-01 18:30:00,0.77083,0.042,-7.296,-19.75,-20.36
2015-01-01,2015-01-01 19:00:00,0.79167,0.023,-7.146,-19.79,-20.33
2015-01-01,2015-01-01 19:30:00,0.8125,0.027,-7.079,-19.78,-20.35
2015-01-01,2015-01-01 20:00:00,0.83333,0.035,-6.962,-19.76,-20.31
2015-01-01,2015-01-01 20:30:00,0.85417,0.031,-6.618,-19.81,-20.32
2015-01-01,2015-01-01 21:00:00,0.875,0.05,-6.475,-20,-20.49
2015-01-01,2015-01-01 21:30:00,0.89583,0.1,-6.128,-19.92,-20.13
2015-01-01,2015-01-01 22:00:00,0.91667,0.096,-6.547,-20,-20.39
2015-01-01,2015-01-01 22:30:00,0.9375,0.108,-6.312,-20.32,-20.8
2015-01-01,2015-01-01 23:00:00,0.95833,0.031,-6.493,-20.12,-20.74
2015-01-01,2015-01-01 23:30:00,0.97917,0.038,-6.597,-19.97,-20.6
2015-01-02,2015-01-02 00:00:00,1,0.031,-6.691,-20,-20.47
2015-01-02,2015-01-02 00:30:00,1.02083,0.012,-6.342,-19.82,-20.09
2015-01-02,2015-01-02 01:00:00,1.04167,0.023,-5.884,-19.43,-19.51
2015-01-02,2015-01-02 01:30:00,1.0625,0.054,-5.556,-19.19,-19.19
2015-01-02,2015-01-02 02:00:00,1.08333,0.081,-5.781,-18.85,-18.75
2015-01-02,2015-01-02 02:30:00,1.10417,0.046,-6.47,-18.91,-18.96
2015-01-02,2015-01-02 03:00:00,1.125,0.027,-6.446,-19.21,-19.34
2015-01-02,2015-01-02 03:30:00,1.14583,0.069,-5.984,-19.36,-19.37
2015-01-02,2015-01-02 04:00:00,1.16667,0.084,-5.151,-19.43,-19.32
2015-01-02,2015-01-02 04:30:00,1.1875,0.054,-5.201,-19.32,-19.12
2015-01-02,2015-01-02 05:00:00,1.20833,0.065,-5.782,-19.76,-19.7
2015-01-02,2015-01-02 05:30:00,1.22917,0.058,-5.363,-20.26,-20.18
2015-01-02,2015-01-02 06:00:00,1.25,0.042,-5.714,-20.5,-20.53
2015-01-02,2015-01-02 06:30:00,1.27083,0.073,-6.324,-20.86,-21.19
2015-01-02,2015-01-02 07:00:00,1.29167,0.058,-6.317,-21.14,-21.51
2015-01-02,2015-01-02 07:30:00,1.3125,0.038,-6.509,-21.21,-21.65
2015-01-02,2015-01-02 08:00:00,1.33333,0.069,-6.08,-21.67,-22.07
2015-01-02,2015-01-02 08:30:00,1.35417,0.065,-5.812,-22.09,-22.51
2015-01-02,2015-01-02 09:00:00,1.375,0.077,-5.753,-22.16,-22.59
2015-01-02,2015-01-02 09:30:00,1.39583,0.096,-5.808,-22.26,-22.61
2015-01-02,2015-01-02 10:00:00,1.41667,0.085,-5.596,-22.27,-22.53
2015-01-02,2015-01-02 10:30:00,1.4375,0.077,-4.951,-22.28,-22.43
2015-01-02,2015-01-02 11:00:00,1.45833,0.085,-4.553,-22.2,-22.37
2015-01-02,2015-01-02 11:30:00,1.47917,0.061,-4.528,-22.26,-22.41
2015-01-02,2015-01-02 12:00:00,1.5,0.127,-4.771,-22.29,-22.34
2015-01-02,2015-01-02 12:30:00,1.52083,0.058,-5.258,-22.17,-22.23
2015-01-02,2015-01-02 13:00:00,1.54167,0.058,-4.552,-22.22,-22.19
