"Date","Date_Time","Frac_DOY","PAR_umol_m2_s1","Solar_W_m2","Tair_degC","Tsurf_degC"
2015-06-01,2015-06-01 00:00:00,150.95834,NA,NA,NA,NA
2015-06-01,2015-06-01 00:30:00,150.97917,NA,NA,NA,NA
2015-06-01,2015-06-01 01:00:00,151,NA,NA,NA,NA
2015-06-01,2015-06-01 01:30:00,151.02084,NA,NA,NA,NA
2015-06-01,2015-06-01 02:00:00,151.04167,NA,NA,NA,NA
2015-06-01,2015-06-01 02:30:00,151.0625,NA,NA,NA,NA
2015-06-01,2015-06-01 03:00:00,151.08334,NA,NA,NA,NA
2015-06-01,2015-06-01 03:30:00,151.10417,NA,NA,NA,NA
2015-06-01,2015-06-01 04:00:00,151.125,NA,NA,NA,NA
2015-06-01,2015-06-01 04:30:00,151.14584,NA,NA,NA,NA
2015-06-01,2015-06-01 05:00:00,151.16667,NA,NA,NA,NA
2015-06-01,2015-06-01 05:30:00,151.1875,NA,NA,NA,NA
2015-06-01,2015-06-01 06:00:00,151.20834,NA,NA,NA,NA
2015-06-01,2015-06-01 06:30:00,151.22917,NA,NA,NA,NA
2015-06-01,2015-06-01 07:00:00,151.25,NA,NA,NA,NA
2015-06-01,2015-06-01 07:30:00,151.27084,NA,NA,NA,NA
2015-06-01,2015-06-01 08:00:00,151.29167,NA,NA,NA,NA
2015-06-01,2015-06-01 08:30:00,151.3125,NA,NA,NA,NA
2015-06-01,2015-06-01 09:00:00,151.33334,NA,NA,NA,NA
2015-06-01,2015-06-01 09:30:00,151.35417,NA,NA,NA,NA
2015-06-01,2015-06-01 10:00:00,151.375,NA,NA,NA,NA
2015-06-01,2015-06-01 10:30:00,151.39584,NA,NA,NA,NA
2015-06-01,2015-06-01 11:00:00,151.41667,NA,NA,NA,NA
2015-06-01,2015-06-01 11:30:00,151.4375,NA,NA,NA,NA
2015-06-01,2015-06-01 12:00:00,151.45834,NA,NA,NA,NA
2015-06-01,2015-06-01 12:30:00,151.47917,NA,NA,NA,NA
2015-06-01,2015-06-01 13:00:00,151.5,NA,NA,NA,NA
2015-06-01,2015-06-01 13:30:00,151.52084,NA,NA,NA,NA
2015-06-01,2015-06-01 14:00:00,151.54167,NA,NA,NA,NA
2015-06-01,2015-06-01 14:30:00,151.5625,NA,NA,NA,NA
2015-06-01,2015-06-01 15:00:00,151.58334,NA,NA,NA,NA
2015-06-01,2015-06-01 15:30:00,151.60417,NA,NA,NA,NA
2015-06-01,2015-06-01 16:00:00,151.625,NA,NA,NA,NA
2015-06-01,2015-06-01 16:30:00,151.64584,NA,NA,NA,NA
2015-06-01,2015-06-01 17:00:00,151.66667,NA,NA,NA,NA
2015-06-01,2015-06-01 17:30:00,151.6875,NA,NA,NA,NA
2015-06-01,2015-06-01 18:00:00,151.70834,NA,NA,NA,NA
2015-06-01,2015-06-01 18:30:00,151.72917,NA,NA,NA,NA
2015-06-01,2015-06-01 19:00:00,151.75,NA,NA,NA,NA
2015-06-01,2015-06-01 19:30:00,151.77084,NA,NA,NA,NA
2015-06-01,2015-06-01 20:00:00,151.79167,NA,NA,NA,NA
2015-06-01,2015-06-01 20:30:00,151.8125,NA,NA,NA,NA
2015-06-01,2015-06-01 21:00:00,151.83334,NA,NA,NA,NA
2015-06-01,2015-06-01 21:30:00,151.85417,NA,NA,NA,NA
2015-06-01,2015-06-01 22:00:00,151.875,NA,NA,NA,NA
2015-06-01,2015-06-01 22:30:00,151.89584,NA,NA,NA,NA
2015-06-01,2015-06-01 23:00:00,151.91667,NA,NA,NA,NA
2015-06-01,2015-06-01 23:30:00,151.9375,NA,NA,NA,NA
2015-06-02,2015-06-02 00:00:00,151.95834,NA,NA,NA,NA
2015-06-02,2015-06-02 00:30:00,151.97917,NA,NA,NA,NA
2015-06-02,2015-06-02 01:00:00,152,NA,NA,NA,NA
2015-06-02,2015-06-02 01:30:00,152.02084,NA,NA,NA,NA
2015-06-02,2015-06-02 02:00:00,152.04167,NA,NA,NA,NA
2015-06-02,2015-06-02 02:30:00,152.0625,NA,NA,NA,NA
2015-06-02,2015-06-02 03:00:00,152.08334,NA,NA,NA,NA
2015-06-02,2015-06-02 03:30:00,152.10417,NA,NA,NA,NA
2015-06-02,2015-06-02 04:00:00,152.125,NA,NA,NA,NA
2015-06-02,2015-06-02 04:30:00,152.14584,NA,NA,NA,NA
2015-06-02,2015-06-02 05:00:00,152.16667,NA,NA,NA,NA
2015-06-02,2015-06-02 05:30:00,152.1875,NA,NA,NA,NA
2015-06-02,2015-06-02 06:00:00,152.20834,NA,NA,NA,NA
2015-06-02,2015-06-02 06:30:00,152.22917,NA,NA,NA,NA
2015-06-02,2015-06-02 07:00:00,152.25,NA,NA,NA,NA
2015-06-02,2015-06-02 07:30:00,152.27084,NA,NA,NA,NA
2015-06-02,2015-06-02 08:00:00,152.29167,NA,NA,NA,NA
2015-06-02,2015-06-02 08:30:00,152.3125,NA,NA,NA,NA
2015-06-02,2015-06-02 09:00:00,152.33334,NA,NA,NA,NA
2015-06-02,2015-06-02 09:30:00,152.35417,NA,NA,NA,NA
2015-06-02,2015-06-02 10:00:00,152.375,NA,NA,NA,NA
2015-06-02,2015-06-02 10:30:00,152.39584,NA,NA,NA,NA
2015-06-02,2015-06-02 11:00:00,152.41667,NA,NA,NA,NA
2015-06-02,2015-06-02 11:30:00,152.4375,NA,NA,NA,NA
2015-06-02,2015-06-02 12:00:00,152.45834,NA,NA,NA,NA
2015-06-02,2015-06-02 12:30:00,152.47917,NA,NA,NA,NA
2015-06-02,2015-06-02 13:00:00,152.5,NA,NA,NA,NA
2015-06-02,2015-06-02 13:30:00,152.52084,NA,NA,NA,NA
2015-06-02,2015-06-02 14:00:00,152.54167,NA,NA,NA,NA
2015-06-02,2015-06-02 14:30:00,152.5625,NA,NA,NA,NA
2015-06-02,2015-06-02 15:00:00,152.58334,NA,NA,NA,NA
2015-06-02,2015-06-02 15:30:00,152.60417,NA,NA,NA,NA
2015-06-02,2015-06-02 16:00:00,152.625,NA,NA,NA,NA
2015-06-02,2015-06-02 16:30:00,152.64584,NA,NA,NA,NA
2015-06-02,2015-06-02 17:00:00,152.66667,NA,NA,NA,NA
2015-06-02,2015-06-02 17:30:00,152.6875,NA,NA,NA,NA
2015-06-02,2015-06-02 18:00:00,152.70834,NA,NA,NA,NA
2015-06-02,2015-06-02 18:30:00,152.72917,NA,NA,NA,NA
2015-06-02,2015-06-02 19:00:00,152.75,NA,NA,NA,NA
2015-06-02,2015-06-02 19:30:00,152.77084,NA,NA,NA,NA
2015-06-02,2015-06-02 20:00:00,152.79167,NA,NA,NA,NA
2015-06-02,2015-06-02 20:30:00,152.8125,NA,NA,NA,NA
2015-06-02,2015-06-02 21:00:00,152.83334,NA,NA,NA,NA
2015-06-02,2015-06-02 21:30:00,152.85417,NA,NA,NA,NA
2015-06-02,2015-06-02 22:00:00,152.875,NA,NA,NA,NA
2015-06-02,2015-06-02 22:30:00,152.89584,NA,NA,NA,NA
2015-06-02,2015-06-02 23:00:00,152.91667,NA,NA,NA,NA
2015-06-02,2015-06-02 23:30:00,152.9375,NA,NA,NA,NA
2015-06-03,2015-06-03 00:00:00,152.95834,NA,NA,NA,NA
2015-06-03,2015-06-03 00:30:00,152.97917,NA,NA,NA,NA
2015-06-03,2015-06-03 01:00:00,153,NA,NA,NA,NA
2015-06-03,2015-06-03 01:30:00,153.02084,NA,NA,NA,NA
2015-06-03,2015-06-03 02:00:00,153.04167,NA,NA,NA,NA
2015-06-03,2015-06-03 02:30:00,153.0625,NA,NA,NA,NA
2015-06-03,2015-06-03 03:00:00,153.08334,NA,NA,NA,NA
2015-06-03,2015-06-03 03:30:00,153.10417,NA,NA,NA,NA
2015-06-03,2015-06-03 04:00:00,153.125,NA,NA,NA,NA
2015-06-03,2015-06-03 04:30:00,153.14584,NA,NA,NA,NA
2015-06-03,2015-06-03 05:00:00,153.16667,NA,NA,NA,NA
2015-06-03,2015-06-03 05:30:00,153.1875,NA,NA,NA,NA
2015-06-03,2015-06-03 06:00:00,153.20834,NA,NA,NA,NA
2015-06-03,2015-06-03 06:30:00,153.22917,NA,NA,NA,NA
2015-06-03,2015-06-03 07:00:00,153.25,NA,NA,NA,NA
2015-06-03,2015-06-03 07:30:00,153.27084,NA,NA,NA,NA
2015-06-03,2015-06-03 08:00:00,153.29167,NA,NA,NA,NA
2015-06-03,2015-06-03 08:30:00,153.3125,NA,NA,NA,NA
2015-06-03,2015-06-03 09:00:00,153.33334,NA,NA,NA,NA
2015-06-03,2015-06-03 09:30:00,153.35417,NA,NA,NA,NA
2015-06-03,2015-06-03 10:00:00,153.375,NA,NA,NA,NA
2015-06-03,2015-06-03 10:30:00,153.39584,NA,NA,NA,NA
2015-06-03,2015-06-03 11:00:00,153.41667,NA,NA,NA,NA
2015-06-03,2015-06-03 11:30:00,153.4375,NA,NA,NA,NA
2015-06-03,2015-06-03 12:00:00,153.45834,NA,NA,NA,NA
2015-06-03,2015-06-03 12:30:00,153.47917,NA,NA,NA,NA
2015-06-03,2015-06-03 13:00:00,153.5,NA,NA,NA,NA
2015-06-03,2015-06-03 13:30:00,153.52084,NA,NA,NA,NA
2015-06-03,2015-06-03 14:00:00,153.54167,NA,NA,NA,NA
