"Sample_ID","Sample_Date","USDA_Species_Code","Cmass_mg_g","Nmass_mg_g","LMA_gDW_m2","LWC","Carea_g_m2","Narea_g_m2","CN_ratio"
"BNL13001",20170728,"SAPU15",511.3,17.2,99.45,NA,50.85,1.71,29.73
"BNL13002",20170728,"SAPU15",494.5,16.9,107.16,NA,52.99,1.81,29.26
"BNL13003",20170728,"SAPU15",306.6,9.4,85.83,NA,26.32,0.81,32.62
"BNL13004",20170728,"SAPU15",518.1,18.1,98.32,NA,50.94,1.78,28.62
"BNL13005",20170728,"SAPU15",504.1,23.3,85.71,NA,43.21,2,21.64
"BNL13006",20170728,"SAPU15",495.7,15.1,87.01,NA,43.13,1.31,32.83
"BNL13007",20170728,"SAPU15",487.4,17.1,97.6,NA,47.57,1.67,28.5
"BNL13008",20170728,"SAPU15",507.3,16.3,106.93,NA,54.24,1.74,31.12
"BNL13009",20170728,"SAPU15",515.8,16.8,100.67,NA,51.92,1.69,30.7
"BNL13010",20170728,"SAPU15",507.4,13.3,103.55,NA,52.54,1.38,38.15
"BNL13011",20170728,"SAPU15",511.6,23,93.91,NA,48.05,2.16,22.24
"BNL13012",20170728,"SAPU15",515.5,21.4,100.23,NA,51.67,2.15,24.09
"BNL13013",20170728,"SAPU15",487,19,85.59,NA,41.68,1.63,25.63
"BNL13014",20170728,"SAPU15",493.6,19.9,78.05,NA,38.52,1.55,24.8
"BNL13015",20170728,"SAPU15",491,18.1,71.73,NA,35.22,1.3,27.13
"BNL13016",20170728,"SAPU15",474,19.5,100.36,NA,47.57,1.96,24.31
"BNL13018",20170728,"SAPU15",508.1,16,76.1,NA,38.67,1.22,31.76
"BNL13019",20170728,"SAPU15",506.8,23.4,86.91,NA,44.05,2.03,21.66
"BNL13020",20170728,"SAPU15",514.4,21.7,NA,NA,NA,NA,23.71
"BNL13301",20170729,"SAPU15",509,17.7,70.85,NA,36.06,1.25,28.76
"BNL13302",20170729,"SAPU15",512.3,13.5,115.88,NA,59.37,1.56,37.95
"BNL13303",20170729,"SAPU15",508.2,19.4,NA,NA,NA,NA,26.2
"BNL13304",20170729,"SAPU15",505.3,19.4,92.85,NA,46.92,1.8,26.05
"BNL13305",20170729,"SAPU15",505.7,16.9,92.93,NA,46.99,1.57,29.92
"BNL13306",20170729,"SAPU15",503.8,18.7,93.27,NA,46.99,1.74,26.94
"BNL13307",20170729,"SAPU15",513.3,19.2,111.69,NA,57.33,2.14,26.73
"BNL13308",20170729,"SAPU15",509.7,21.5,103.05,NA,52.52,2.22,23.71
"BNL13309",20170729,"SAPU15",520.7,16.9,102.6,NA,53.42,1.73,30.81
"BNL13310",20170729,"SAPU15",511.7,18.5,102.65,NA,52.52,1.9,27.66
"BNL13311",20170729,"SAPU15",508.4,19.7,106.62,NA,54.21,2.1,25.81
"BNL13312",20170729,"SAPU15",509.4,21.2,93.28,NA,47.52,1.98,24.03
"BNL13200",20170730,"CAAQ",457.6,13.9,63.04,NA,28.85,0.88,32.92
"BNL13148",20170730,"CAAQ",451.3,15.9,71.9,NA,32.45,1.14,28.38
"BNL13146",20170730,"CAAQ",469.3,14.2,67.09,NA,31.49,0.95,33.05
"BNL13153",20170730,"CAAQ",456,13.1,67.83,NA,30.93,0.89,34.81
"BNL13194",20170730,"CAAQ",468,17.3,54.12,NA,25.33,0.94,27.05
"BNL13343",20170730,"ARLA2",439.1,15.5,40.96,NA,17.99,0.63,28.33
"BNL13082",20170730,"CAAQ",465.6,18.5,75.53,NA,35.17,1.4,25.17
"BNL13088",20170730,"CAAQ",462.6,15.4,74.46,NA,34.45,1.15,30.04
"BNL13086",20170730,"CAAQ",456.8,18.8,60.52,NA,27.65,1.14,24.3
"BNL13188",20170730,"ARLA2",441.4,16.4,56.79,NA,25.07,0.93,26.91
"BNL13198",20170730,"SARI4",469.3,27.5,86.09,NA,40.4,2.37,17.07
"BNL13199",20170730,"SAPU15",333.1,18.3,85.06,NA,28.34,1.56,18.2
"BNL13154",20170730,"SAAL",463.6,21.6,94.58,NA,43.85,2.04,21.46
"BNL13085",20170730,"SAPU15",508.9,24.1,93.15,NA,47.4,2.24,21.12
"BNL13183",20170730,"SAPU15",496.3,24.5,108.77,NA,53.98,2.66,20.26
"BNL13187",20170730,"BENA",485.9,16.3,105.26,NA,51.15,1.72,29.81
