"Location","Sample_ID","Sample_Date","USDA_Species_Code","Asat","Tleaf","Ci","VcmaxT_one_point","Vcmax25_Rog","Vcmax25_Bern"
"Utqiagvik","BNL1980",20160714,"ARFU2",17.96,15.58,250,47,95.9919632053112,111.04737891739
"Utqiagvik","BNL1981",20160714,"ARFU2",13.27,15.23,229,36,75.5706304868236,87.9138004312121
"Utqiagvik","BNL1982",20160714,"ARFU2",18.12,15.3,225,50,104.384383465378,121.297808218052
"Utqiagvik","BNL1983",20160714,"ARFU2",16.09,15.17,282,38,80.1455410096291,93.325566686108
"Utqiagvik","BNL1989",20160714,"ARFU2",15.47,15.19,241,41,86.337166065111,100.503214741793
"Utqiagvik","BNL1990",20160714,"ARFU2",17.4,15.17,265,43,90.6910069319487,105.605246513227
"Utqiagvik","BNL1991",20160714,"ARFU2",18.3,15.13,238,48,101.554918257878,118.331536234415
"Utqiagvik","BNL1992",20160714,"ARFU2",13.98,15.19,278,33,69.4908897597235,80.8928313775405
"Utqiagvik","BNL1996",20160714,"ARFU2",19.06,15.14,275,46,97.2470712958695,113.293892350198
"Utqiagvik","BNL1999",20160714,"ARFU2",25.52,14.96,288,59,126.506479591712,147.807280347056
"Utqiagvik","BNL2023",20160716,"ARFU2",17.06,15.17,270,42,88.5819137474847,103.149310547804
"Utqiagvik","BNL2024",20160716,"ARFU2",15.03,15.11,279,36,76.2859122315965,88.9166414508752
"Utqiagvik","BNL2025",20160716,"ARFU2",11.46,14.95,235,30,64.3759222864182,75.2274224496513
"Utqiagvik","BNL2026",20160716,"ARFU2",14.57,14.9,260,36,77.5554493636048,90.701280519971
"Utqiagvik","BNL2027",20160716,"ARFU2",8.04,14.95,254,20,42.9172815242788,50.1516149664342
"Utqiagvik","BNL2028",20160716,"ARFU2",15.68,15.22,255,40,84.0332862443064,97.7743389122887
"Utqiagvik","BNL2109",20160718,"ARFU2",8.77,4.97,328,13,62.8859336395652,86.7413342994179
"Utqiagvik","BNL2110",20160718,"ARFU2",9,4.92,301,14,68.0096541022338,93.8894915456923
"Utqiagvik","BNL2111",20160718,"ARFU2",10.09,5.52,311,16,73.8954121585999,100.968689873987
"Utqiagvik","BNL2112",20160718,"ARFU2",5.72,5.2,334,8,37.9559378270936,52.1476085739494
"Utqiagvik","BNL2113",20160718,"ARFU2",10.56,5.33,320,16,75.0855742085088,102.929872927126
"Utqiagvik","BNL2114",20160718,"ARFU2",15.26,6.31,324,24,103.742844726716,139.849774494057
"Utqiagvik","BNL2115",20160718,"ARFU2",11.64,4.97,310,18,87.0728311932441,120.10338595304
"Utqiagvik","BNL2116",20160718,"ARFU2",5.7,5.88,336,9,40.3290768810216,54.7659295291306
"Utqiagvik","BNL2117",20160718,"ARFU2",7.12,5.59,309,11,50.5051979910619,68.9261850375023
"Utqiagvik","BNL2118",20160718,"ARFU2",10.71,5.93,333,16,71.3963435410993,96.8716917977922
"Utqiagvik","BNL2182",20160720,"ARFU2",10.72,6.22,322,17,74.0394200243078,99.9615974079376
"Utqiagvik","BNL2183",20160720,"ARFU2",6.6,7.09,292,11,44.5565931620054,59.2729661698604
"Utqiagvik","BNL2185",20160720,"ARFU2",11.38,7.56,318,18,70.1226931844253,92.5440704180199
