"Location","Sample_ID","Sample_Date","USDA_Species_Code","Temp_Response_flagged_with_1","Replicate","Tair","Tleaf","VpdL","Vcmax_Tleaf","Jmax_Tleaf","Rd_Tleaf","Vcmax25_Rog","Jmax25_Rog","Vcmax25_Bern","Jmax25_Bern"
"Utqiagvik","BNL1198",20130722,"ARFU2",NA,1,13.98,13.24,0.341,55,205,5.08,135.115014457692,373.460710428177,162.308052353804,424.195441387227
"Utqiagvik","BNL1200",20130722,"ARFU2",NA,1,13.85,13.17,0.345,52,182,3.51,128.458759352997,332.795198950665,154.487658105482,378.304082469761
"Utqiagvik","BNL1202",20130722,"ARFU2",NA,1,13.93,13.18,0.359,52,197,4.6,128.356543688604,360.032067251311,154.339663757119,409.219352777925
"Utqiagvik","BNL1204",20130722,"ARFU2",NA,1,13.87,14.35,0.466,52,173,4.45,116.986582700096,297.193427556175,138.031230064962,333.384357706358
"Utqiagvik","BNL1205",20130722,"ARFU2",NA,1,13.99,14.45,0.506,63,217,4.67,140.619503971217,370.821906513103,165.648517572248,415.513950988606
"Utqiagvik","BNL1209",20130722,"ARFU2",NA,1,13.73,13.69,0.495,62,210,4.15,146.962711304303,373.550702060961,175.257310284629,422.153397923547
"Utqiagvik","BNL1210",20130722,"ARFU2",NA,1,14,14.22,0.397,49,168,3.98,111.375166592475,290.588513374708,131.685968501182,326.449866115368
"Utqiagvik","BNL1217",20130722,"ARFU2",NA,1,13.93,14.56,0.595,69,221,4.41,152.681488745159,375.477195052718,179.539370039112,420.213318004636
"Utqiagvik","BNL1219",20130722,"ARFU2",NA,1,13.95,14.35,0.52,60,207,4.81,134.984518500111,355.601384416927,159.26680392111,398.904982920324
"Utqiagvik","BNL1221",20130722,"ARFU2",NA,1,14.06,13.81,0.249,45,164,3.51,105.656466387676,289.878976625904,125.754081105579,327.153716563496
"Utqiagvik","BNL1223",20130722,"ARFU2",NA,1,13.93,14.95,0.522,41,155,3.63,87.9804271247716,258.002503905357,102.81081068119,287.488351839597
"Utqiagvik","BNL1225",20130722,"ARFU2",NA,1,14.31,14.48,0.219,50,177,2.23,111.338962882269,301.990297800106,131.092988765238,338.27316474165
"Utqiagvik","BNL1227",20130722,"ARFU2",NA,1,14.22,15.46,0.366,53,196,3.38,109.26832075361,317.648888491414,126.648596576338,351.949174842847
"Utqiagvik","BNL1680",20150714,"ARFU2",NA,1,8.61,9.7,0.245,30,NA,3.52,98.0208885412186,NA,124.802704889485,NA
"Utqiagvik","BNL1681",20150714,"ARFU2",NA,1,8.33,9.44,0.299,35,141,3.91,116.811217816207,315.1498858382,149.372544741337,373.85085060503
"Utqiagvik","BNL1684",20150714,"ARFU2",NA,1,8.24,9.55,0.334,37,146,4.24,122.381497187595,324.374431342524,156.208915489301,384.303867626426
"Utqiagvik","BNL1685",20150714,"ARFU2",NA,1,8.61,10.38,0.335,36,139,3.97,111.293104233041,295.204656885197,140.110519224502,346.411227518799
