"Sample_ID","Sample_Date","USDA_Species_Code","Chl_a_L","Chl_b_L","Carot_tot_L","Chl_a_area_L","Chl_b_area_L","Chl_ab_area_L","Chl_a_b_ratio_L","Carot_tot_area_L","Chl_a_P","Chl_b_P","Chl_a_area_P","Chl_b_area_P","Chl_ab_area_P","Chl_a_b_ratio_P","Chl_a_mol_P"
"BNL1263",20130724,"ARFU2",6,1.74,NA,318,92,410,3.45,NA,5.96,1.65,315,87,402,3.61,6.66
"BNL1265",20130724,"ARFU2",5.46,1.7,NA,303,94,398,3.22,NA,5.42,1.6,301,89,390,3.38,6.06
"BNL1267",20130724,"ARFU2",5.78,1.74,NA,263,79,342,3.31,NA,5.73,1.65,261,75,335,3.48,6.41
"BNL1269",20130724,"ARFU2",5.86,1.61,NA,322,89,411,3.63,NA,5.81,1.53,319,84,404,3.79,6.5
"BNL1271",20130724,"ARFU2",5.47,1.77,NA,331,107,438,3.09,NA,5.43,1.67,329,101,430,3.25,6.07
"BNL1273",20130724,"ARFU2",5.01,1.6,NA,313,100,413,3.14,NA,4.97,1.51,311,94,405,3.3,5.56
"BNL1275",20130724,"ARFU2",4.46,1.55,NA,338,118,456,2.88,NA,4.43,1.46,336,111,446,3.04,4.96
"BNL1277",20130724,"ARFU2",5.71,1.86,NA,352,115,467,3.07,NA,5.67,1.75,350,108,458,3.24,6.34
"BNL1279",20130724,"ARFU2",6.19,1.98,NA,350,112,462,3.13,NA,6.15,1.87,347,106,453,3.29,6.87
"BNL1281",20130724,"ARFU2",7.41,2.33,NA,374,118,492,3.17,NA,7.35,2.2,371,111,483,3.34,8.23
"BNL1363",20130724,"ARLA2",4.3,1.19,NA,260,72,333,3.61,NA,4.26,1.13,258,69,327,3.77,4.77
"BNL1365",20130724,"ARLA2",3.54,0.96,NA,308,83,391,3.7,NA,3.51,0.91,305,79,384,3.86,3.93
"BNL1367",20130724,"ARLA2",4.9,1.44,NA,258,76,334,3.41,NA,4.86,1.36,256,72,328,3.57,5.44
"BNL1369",20130724,"ARLA2",5.2,1.45,NA,274,76,350,3.59,NA,5.16,1.37,271,72,344,3.76,5.77
"BNL1371",20130724,"ARLA2",3.12,0.83,NA,297,79,376,3.78,NA,3.1,0.79,295,75,370,3.94,3.46
"BNL1373",20130724,"ARLA2",4.86,1.34,NA,231,64,295,3.62,NA,4.82,1.28,230,61,290,3.78,5.39
"BNL1375",20130724,"ARLA2",3.28,0.94,NA,262,75,337,3.5,NA,3.25,0.89,260,71,331,3.66,3.64
"BNL1377",20130724,"ARLA2",4.49,1.27,NA,264,75,339,3.53,NA,4.45,1.21,262,71,333,3.69,4.98
"BNL1379",20130724,"ARLA2",2.81,0.78,NA,267,74,341,3.6,NA,2.78,0.74,265,70,336,3.76,3.11
"BNL1381",20130724,"ARLA2",4.85,1.33,NA,255,70,325,3.66,NA,4.81,1.26,253,66,320,3.82,5.39
"BNL1305",20130724,"CAAQ",4.14,1.54,NA,282,105,386,2.69,NA,4.11,1.44,280,98,378,2.85,4.6
"BNL1307",20130724,"CAAQ",4.31,1.62,NA,266,100,366,2.66,NA,4.28,1.52,264,94,358,2.82,4.79
"BNL1309",20130724,"CAAQ",6.18,2.35,NA,389,148,537,2.63,NA,6.14,2.2,386,138,525,2.79,6.87
"BNL1311",20130724,"CAAQ",5.52,1.97,NA,368,131,500,2.8,NA,5.49,1.85,366,123,489,2.96,6.14
"BNL1313",20130724,"CAAQ",5.77,1.9,NA,401,132,533,3.03,NA,5.73,1.79,398,124,522,3.2,6.41
"BNL1315",20130724,"CAAQ",4.87,1.93,NA,300,119,420,2.52,NA,4.84,1.81,299,111,410,2.68,5.41
"BNL1317",20130724,"CAAQ",5.29,2.08,NA,368,144,512,2.54,NA,5.26,1.95,365,135,501,2.7,5.89
"BNL1319",20130724,"CAAQ",4.46,1.66,NA,310,115,425,2.69,NA,4.43,1.55,308,108,416,2.85,4.96
"BNL1321",20130724,"CAAQ",5.11,1.91,NA,355,133,488,2.67,NA,5.08,1.79,353,124,477,2.83,5.68
"BNL1324",20130724,"CAAQ",5.6,1.75,NA,316,99,415,3.19,NA,5.56,1.65,314,93,407,3.36,6.21
"BNL1303",20130724,"DUFI",3.91,1.31,NA,217,73,290,2.98,NA,3.88,1.24,216,69,284,3.14,4.34
"BNL1328",20130724,"DUFI",3.24,1.23,NA,216,82,298,2.63,NA,3.22,1.15,215,77,291,2.79,3.6
"BNL1330",20130724,"DUFI",3.21,1.1,NA,214,74,288,2.91,NA,3.19,1.04,213,69,282,3.07,3.57
"BNL1332",20130724,"DUFI",2.89,1.04,NA,192,69,262,2.78,NA,2.87,0.98,191,65,256,2.94,3.21
"BNL1334",20130724,"DUFI",2.93,0.97,NA,202,67,269,3,NA,2.91,0.92,201,63,264,3.17,3.25
"BNL1336",20130724,"DUFI",2.6,0.94,NA,192,70,262,2.75,NA,2.58,0.89,191,66,257,2.91,2.89
"BNL1338",20130724,"DUFI",3.43,1.14,NA,214,71,285,3.02,NA,3.4,1.07,213,67,280,3.18,3.81
"BNL1340",20130724,"DUFI",3.4,1.19,NA,220,76,296,2.87,NA,3.38,1.11,218,72,290,3.03,3.78
"BNL1342",20130724,"DUFI",3.24,1.07,NA,216,72,288,3.02,NA,3.22,1.01,215,67,282,3.18,3.6
"BNL1344",20130724,"DUFI",4.85,1.77,NA,303,110,413,2.74,NA,4.82,1.66,301,104,405,2.9,5.39
"BNL1383",20130724,"ERAN6",4.55,1.58,NA,325,113,438,2.87,NA,4.51,1.49,322,106,429,3.04,5.05
"BNL1385",20130724,"ERAN6",3.81,1.4,NA,293,108,401,2.71,NA,3.79,1.32,291,101,393,2.87,4.23
"BNL1387",20130724,"ERAN6",4.35,1.43,NA,290,95,385,3.04,NA,4.32,1.35,288,90,377,3.21,4.83
