"Location","Sample_ID","Sample_Date","USDA_Species_Code","Air_Temperature_degC","Leaf_Temperature_PreSpec_degC","Leaf_Temperature_PostSpec_degC"
"Utqiagvik","BNL1546",20150709,"PEFR5",10.4,15,NA
"Utqiagvik","BNL1548",20150709,"PEFR5",8.5,11.5,NA
"Utqiagvik","BNL1549",20150709,"PEFR5",8.7,12,NA
"Utqiagvik","BNL1550",20150709,"PEFR5",9,17.4,NA
"Utqiagvik","BNL1551",20150709,"PEFR5",9.5,14,NA
"Utqiagvik","BNL1554",20150710,"PEFR5",9.6,12.2,NA
"Utqiagvik","BNL1555",20150710,"PEFR5",10.4,12.2,NA
"Utqiagvik","BNL1557",20150710,"PEFR5",8,11.5,NA
"Utqiagvik","BNL1558",20150710,"PEFR5",7.3,10.7,NA
"Utqiagvik","BNL1559",20150710,"PEFR5",7.1,10.5,NA
"Utqiagvik","BNL1560",20150710,"PEFR5",6.8,9.5,NA
"Utqiagvik","BNL1561",20150710,"PEFR5",6.7,11.1,NA
"Utqiagvik","BNL1562",20150710,"PEFR5",6.8,10.6,NA
"Utqiagvik","BNL1563",20150710,"PEFR5",7.4,11.2,NA
"Utqiagvik","BNL1564",20150710,"PEFR5",7,9.9,NA
"Utqiagvik","BNL1565",20150710,"PEFR5",7.3,10.4,NA
"Utqiagvik","BNL1566",20150710,"PEFR5",7.2,10.9,NA
"Utqiagvik","BNL1567",20150710,"PEFR5",7.1,10.2,NA
"Utqiagvik","BNL1568",20150710,"PEFR5",6.4,9.5,NA
"Utqiagvik","BNL1569",20150710,"PEFR5",6.9,11.5,NA
"Utqiagvik","BNL1570",20150710,"PEFR5",7,11.3,NA
"Utqiagvik","BNL1571",20150710,"PEFR5",7,10.6,NA
"Utqiagvik","BNL1572",20150710,"PEFR5",6.3,9.7,NA
"Utqiagvik","BNL1573",20150710,"PEFR5",7.6,9.5,NA
"Utqiagvik","BNL1574",20150710,"PEFR5",8.7,10.2,NA
"Utqiagvik","BNL1575",20150710,"PEFR5",6.5,12.5,NA
"Utqiagvik","BNL1576",20150710,"PEFR5",7.2,8.8,NA
"Utqiagvik","BNL1577",20150711,"CAAQ",10.5,11.4,14
"Utqiagvik","BNL1578",20150711,"CAAQ",6.7,8.6,10
"Utqiagvik","BNL1579",20150711,"CAAQ",10.8,12.4,NA
"Utqiagvik","BNL1580",20150711,"CAAQ",10,10,15.1
"Utqiagvik","BNL1581",20150711,"CAAQ",9,10,11.2
"Utqiagvik","BNL1582",20150711,"CAAQ",10.3,12.7,12.5
"Utqiagvik","BNL1583",20150711,"CAAQ",7.3,8.3,10.5
"Utqiagvik","BNL1584",20150711,"CAAQ",7.7,9.9,11.1
"Utqiagvik","BNL1585",20150711,"CAAQ",6.7,8.6,11.8
"Utqiagvik","BNL1586",20150711,"CAAQ",9.3,9.8,10.7
"Utqiagvik","BNL1587",20150711,"CAAQ",9.4,9.8,10
"Utqiagvik","BNL1588",20150711,"CAAQ",8.4,9.6,9.9
"Utqiagvik","BNL1589",20150711,"CAAQ",9,9.7,9.9
"Utqiagvik","BNL1590",20150711,"CAAQ",8.8,10.3,10.8
"Utqiagvik","BNL1591",20150711,"CAAQ",10,10.7,13.8
"Utqiagvik","BNL1592",20150711,"CAAQ",10.2,11.3,11.7
"Utqiagvik","BNL1593",20150711,"CAAQ",10.3,10.6,13.8
"Utqiagvik","BNL1594",20150711,"CAAQ",6.8,9.2,11.7
"Utqiagvik","BNL1595",20150711,"CAAQ",9.7,10.2,13.4
"Utqiagvik","BNL1596",20150711,"CAAQ",8.1,9.7,13.5
"Utqiagvik","BNL1627",20150712,"PEFR5",10.5,9.3,14.8
"Utqiagvik","BNL1628",20150712,"PEFR5",11.2,10.3,12.8
"Utqiagvik","BNL1629",20150712,"PEFR5",12.3,10.2,15
"Utqiagvik","BNL1630",20150712,"PEFR5",12.3,12.4,13.2
"Utqiagvik","BNL1631",20150712,"PEFR5",12,10.4,17.5
"Utqiagvik","BNL1643",20150713,"ERAN6",13,15.1,16.5
"Utqiagvik","BNL1644",20150713,"ERAN6",13.5,14.3,17.5
"Utqiagvik","BNL1645",20150713,"ERAN6",12.4,13,13.5
"Utqiagvik","BNL1646",20150713,"ERAN6",13,14.5,16.1
"Utqiagvik","BNL1647",20150713,"ERAN6",12.7,16.5,16.5
"Utqiagvik","BNL1648",20150713,"ERAN6",12.8,17.3,18.1
"Utqiagvik","BNL1649",20150713,"ERAN6",12.8,15,14.8
"Utqiagvik","BNL1650",20150713,"ERAN6",12.5,16.8,16.8
"Utqiagvik","BNL1651",20150713,"ERAN6",12.3,16.8,16.9
"Utqiagvik","BNL1652",20150713,"ERAN6",12.8,14.2,14.3
"Utqiagvik","BNL1653",20150713,"ERAN6",12.5,13.8,15
"Utqiagvik","BNL1654",20150713,"ERAN6",12.3,15.9,16.7
"Utqiagvik","BNL1655",20150713,"ERAN6",12.7,14.8,15.7
"Utqiagvik","BNL1656",20150713,"ERAN6",12.9,14.9,14.7
"Utqiagvik","BNL1657",20150713,"ERAN6",12.6,15,16.2
"Utqiagvik","BNL1658",20150714,"ERAN6",10.8,12.6,14.7
"Utqiagvik","BNL1659",20150714,"ERAN6",10.5,12.6,13.9
"Utqiagvik","BNL1660",20150714,"ERAN6",11.6,12.2,13.1
"Utqiagvik","BNL1661",20150714,"ERAN6",11.4,12,13.9
"Utqiagvik","BNL1662",20150714,"ERAN6",10,13.7,13.4
"Utqiagvik","BNL1678",20150714,"CAAQ",10.9,12.9,13.7
"Utqiagvik","BNL1679",20150714,"CAAQ",10.3,11.5,12.6
"Utqiagvik","BNL1680",20150714,"ARFU2",11,12.4,14.1
"Utqiagvik","BNL1681",20150714,"ARFU2",10.5,12.3,11.8
"Utqiagvik","BNL1682",20150714,"CAAQ",11,12.1,13.2
"Utqiagvik","BNL1683",20150714,"ARFU2",11.8,12.4,16.2
"Utqiagvik","BNL1684",20150714,"ARFU2",10.1,10.4,12.2
"Utqiagvik","BNL1685",20150714,"ARFU2",10.4,11.1,12.2
"Utqiagvik","BNL1686",20150714,"ARFU2",11.3,11.8,13.6
"Utqiagvik","BNL1687",20150714,"ARFU2",11.7,13.4,12.5
"Utqiagvik","BNL1741",20150718,"ARFU2",12.3,12.2,14.6
"Utqiagvik","BNL1742",20150718,"ARFU2",11.2,12.5,13.7
"Utqiagvik","BNL1743",20150718,"ARFU2",12.8,14.2,14.6
"Utqiagvik","BNL1744",20150718,"ARFU2",11.9,13.9,15.1
"Utqiagvik","BNL1745",20150718,"ARFU2",13.4,15.6,15.6
"Utqiagvik","BNL1746",20150718,"ARFU2",11.7,12.7,16.1
"Utqiagvik","BNL1747",20150718,"ARFU2",13.6,14.5,15.5
"Utqiagvik","BNL1748",20150718,"ARFU2",12,13.5,15.8
"Utqiagvik","BNL1749",20150718,"ARFU2",13.3,14.6,15.7
"Utqiagvik","BNL1750",20150718,"ARFU2",11.4,12,15
"Utqiagvik","BNL1761",20150721,"ERAN6",12.4,15,15
"Utqiagvik","BNL1762",20150721,"ERAN6",12.5,13,15.1
"Utqiagvik","BNL1763",20150721,"ERAN6",12.6,13,16
"Utqiagvik","BNL1764",20150721,"ERAN6",13.7,14.8,16.7
"Utqiagvik","BNL1765",20150720,"ERAN6",15.6,16,18.3
"Utqiagvik","BNL1780",20150723,"PEFR5",NA,NA,NA
"Utqiagvik","BNL1781",20150723,"PEFR5",NA,NA,NA
"Utqiagvik","BNL1782",20150723,"PEFR5",NA,NA,NA
"Utqiagvik","BNL1783",20150723,"PEFR5",NA,NA,NA
"Utqiagvik","BNL1784",20150723,"PEFR5",NA,NA,NA
"Utqiagvik","BNL1785",20150722,"PEFR5",12.8,12.9,14
"Utqiagvik","BNL1786",20150722,"PEFR5",12,11.3,16
"Utqiagvik","BNL1787",20150722,"ERAN6",12,15,16.1
"Utqiagvik","BNL1788",20150722,"ERAN6",11.4,11.6,13.7
"Utqiagvik","BNL1789",20150722,"ERAN6",13,16.4,16.1
"Utqiagvik","BNL1823",20160710,"ERAN6",NA,20,22.4
"Utqiagvik","BNL1829",20160710,"ERAN6",NA,18.6,21
"Utqiagvik","BNL1840",20160710,"ERAN6",NA,19.8,22.8
"Utqiagvik","BNL1828",20160710,"ERAN6",NA,18.3,20.8
"Utqiagvik","BNL1839",20160710,"ERAN6",NA,20.7,21.1
"Utqiagvik","BNL1835",20160710,"ERAN6",NA,18.6,20.3
"Utqiagvik","BNL1827",20160710,"ERAN6",NA,19.6,21.8
"Utqiagvik","BNL1837",20160710,"ERAN6",NA,21,22.4
"Utqiagvik","BNL1838",20160710,"ERAN6",NA,21.6,22.6
"Utqiagvik","BNL1847",20160710,"ARLA2",NA,21,23
"Utqiagvik","BNL1841",20160710,"ARLA2",NA,20.7,23
"Utqiagvik","BNL1836",20160710,"ARLA2",NA,21.1,22
"Utqiagvik","BNL1842",20160710,"ARLA2",NA,19.9,21.7
"Utqiagvik","BNL1851",20160710,"ARLA2",NA,19,24
"Utqiagvik","BNL1850",20160710,"ARLA2",NA,20.2,24
"Utqiagvik","BNL1845",20160711,"ARLA2",NA,15,17.3
"Utqiagvik","BNL1882",20160711,"ARLA2",NA,15.5,18.9
"Utqiagvik","BNL1846",20160711,"ARLA2",NA,17.2,20.3
"Utqiagvik","BNL1880",20160711,"ARLA2",NA,17.7,21.2
"Utqiagvik","BNL1844",20160711,"ARLA2",NA,19.2,20.6
"Utqiagvik","BNL1873",20160711,"ARLA2",NA,18.3,21.8
"Utqiagvik","BNL1881",20160711,"ARLA2",NA,19,21.3
"Utqiagvik","BNL1883",20160711,"ARLA2",NA,16.5,19.4
"Utqiagvik","BNL1884",20160711,"ARLA2",NA,17.5,22
"Utqiagvik","BNL1843",20160711,"ARLA2",NA,20.8,21.5
"Utqiagvik","BNL1879",20160711,"CAAQ",NA,19.3,21.1
"Utqiagvik","BNL1874",20160711,"CAAQ",NA,17.3,20.3
"Utqiagvik","BNL1878",20160711,"CAAQ",NA,17.4,21.3
"Utqiagvik","BNL1893",20160711,"SAPU15",NA,17.2,22
"Utqiagvik","BNL1894",20160711,"SAPU15",NA,17,22
"Utqiagvik","BNL1897",20160711,"SAPU15",NA,17.8,21.7
"Utqiagvik","BNL1895",20160711,"SAPU15",NA,17.7,21.7
"Utqiagvik","BNL1896",20160711,"SAPU15",NA,17.7,22.2
"Utqiagvik","BNL1912",20160712,"ARLA2",NA,16.7,22
"Utqiagvik","BNL1910",20160712,"ARLA2",NA,15.5,19.6
"Utqiagvik","BNL1921",20160712,"ARLA2",NA,15.5,19.2
