Sample_ID,Measurement_Date,Local_Time,USDA_Species_Code,Air_Temperature_degC,Leaf_Temperature_PreSpec_degC,Leaf_Temperature_PostSpec_degC,Leaf_minus_Air_degC
BNL1546,20150709,10:39 AM,PEFR5,10.4,15,-9999,4.6
BNL1548,20150709,10:22 AM,PEFR5,8.5,11.5,-9999,3
BNL1549,20150709,10:30 AM,PEFR5,8.7,12,-9999,3.3
BNL1550,20150709,10:34 AM,PEFR5,9,17.4,-9999,8.4
BNL1551,20150709,10:07 AM,PEFR5,9.5,14,-9999,4.5
BNL1554,20150710,9:52 AM,PEFR5,9.6,12.2,-9999,2.6
BNL1555,20150710,10:00 AM,PEFR5,10.4,12.2,-9999,1.8
BNL1557,20150710,4:23 PM,PEFR5,8,11.5,-9999,3.5
BNL1558,20150710,5:09 PM,PEFR5,7.3,10.7,-9999,3.4
BNL1559,20150710,5:00 PM,PEFR5,7.1,10.5,-9999,3.4
BNL1560,20150710,4:46 PM,PEFR5,6.8,9.5,-9999,2.7
BNL1561,20150710,5:30 PM,PEFR5,6.7,11.1,-9999,4.4
BNL1562,20150710,5:20 PM,PEFR5,6.8,10.6,-9999,3.8
BNL1563,20150710,4:40 PM,PEFR5,7.4,11.2,-9999,3.8
BNL1564,20150710,4:50 PM,PEFR5,7,9.9,-9999,2.9
BNL1565,20150710,4:42 PM,PEFR5,7.3,10.4,-9999,3.1
BNL1566,20150710,4:33 PM,PEFR5,7.2,10.9,-9999,3.7
BNL1567,20150710,4:56 PM,PEFR5,7.1,10.2,-9999,3.1
BNL1568,20150710,6:14 PM,PEFR5,6.4,9.5,-9999,3.1
BNL1569,20150710,5:51 PM,PEFR5,6.9,11.5,-9999,4.6
BNL1570,20150710,5:04 PM,PEFR5,7,11.3,-9999,4.3
BNL1571,20150710,5:26 PM,PEFR5,7,10.6,-9999,3.6
BNL1572,20150710,6:09 PM,PEFR5,6.3,9.7,-9999,3.4
BNL1573,20150710,7:13 PM,PEFR5,7.6,9.5,-9999,1.9
BNL1574,20150710,7:05 PM,PEFR5,8.7,10.2,-9999,1.5
BNL1575,20150710,6:05 PM,PEFR5,6.5,12.5,-9999,6
BNL1576,20150710,6:36 PM,PEFR5,7.2,8.8,-9999,1.6
BNL1577,20150711,6:07 PM,CAAQ,10.5,11.4,14,0.9
BNL1578,20150711,6:46 PM,CAAQ,6.7,8.6,10,1.9
BNL1579,20150711,5:45 PM,CAAQ,10.8,12.4,-9999,1.6
BNL1580,20150711,7:56 PM,CAAQ,10,10,15.1,0
BNL1581,20150711,8:30 PM,CAAQ,9,10,11.2,1
BNL1582,20150711,5:56 PM,CAAQ,10.3,12.7,12.5,2.4
BNL1583,20150711,6:40 PM,CAAQ,7.3,8.3,10.5,1
BNL1584,20150711,6:28 PM,CAAQ,7.7,9.9,11.1,2.2
BNL1585,20150711,6:59 PM,CAAQ,6.7,8.6,11.8,1.9
BNL1586,20150711,7:45 PM,CAAQ,9.3,9.8,10.7,0.5
BNL1587,20150711,7:33 PM,CAAQ,9.4,9.8,10,0.4
BNL1588,20150711,7:11 PM,CAAQ,8.4,9.6,9.9,1.2
BNL1589,20150711,7:24 PM,CAAQ,9,9.7,9.9,0.7
BNL1590,20150711,8:16 PM,CAAQ,8.8,10.3,10.8,1.5
BNL1591,20150711,8:22 PM,CAAQ,10,10.7,13.8,0.7
BNL1592,20150711,9:33 PM,CAAQ,10.2,11.3,11.7,1.1
BNL1593,20150711,9:44 PM,CAAQ,10.3,10.6,13.8,0.3
BNL1594,20150711,8:39 PM,CAAQ,6.8,9.2,11.7,2.4
BNL1595,20150711,9:09 PM,CAAQ,9.7,10.2,13.4,0.5
BNL1596,20150711,8:47 PM,CAAQ,8.1,9.7,13.5,1.6
BNL1627,20150712,7:16 PM,PEFR5,10.5,9.3,14.8,-1.2
BNL1628,20150712,6:35 PM,PEFR5,11.2,10.3,12.8,-0.9
BNL1629,20150712,6:29 PM,PEFR5,12.3,10.2,15,-2.1
BNL1630,20150712,6:09 PM,PEFR5,12.3,12.4,13.2,0.1
BNL1631,20150712,6:23 PM,PEFR5,12,10.4,17.5,-1.6
BNL1643,20150713,3:31 PM,ERAN6,13,15.1,16.5,2.1
BNL1644,20150713,3:48 PM,ERAN6,13.5,14.3,17.5,0.8
BNL1645,20150713,3:26 PM,ERAN6,12.4,13,13.5,0.6
BNL1646,20150713,4:15 PM,ERAN6,13,14.5,16.1,1.5
BNL1647,20150713,4:26 PM,ERAN6,12.7,16.5,16.5,3.8
BNL1648,20150713,5:10 PM,ERAN6,12.8,17.3,18.1,4.5
BNL1649,20150713,5:30 PM,ERAN6,12.8,15,14.8,2.2
BNL1650,20150713,4:44 PM,ERAN6,12.5,16.8,16.8,4.3
BNL1651,20150713,4:57 PM,ERAN6,12.3,16.8,16.9,4.5
BNL1652,20150713,5:42 PM,ERAN6,12.8,14.2,14.3,1.4
BNL1653,20150713,7:05 PM,ERAN6,12.5,13.8,15,1.3
BNL1654,20150713,6:53 PM,ERAN6,12.3,15.9,16.7,3.6
BNL1655,20150713,6:41 PM,ERAN6,12.7,14.8,15.7,2.1
BNL1656,20150713,5:59 PM,ERAN6,12.9,14.9,14.7,2
BNL1657,20150713,6:17 PM,ERAN6,12.6,15,16.2,2.4
BNL1658,20150714,2:48 PM,ERAN6,10.8,12.6,14.7,1.8
BNL1659,20150714,2:33 PM,ERAN6,10.5,12.6,13.9,2.1
BNL1660,20150714,5:10 PM,ERAN6,11.6,12.2,13.1,0.6
BNL1661,20150714,5:02 PM,ERAN6,11.4,12,13.9,0.6
BNL1662,20150714,3:06 PM,ERAN6,10,13.7,13.4,3.7
BNL1678,20150714,4:37 PM,CAAQ,10.9,12.9,13.7,2
BNL1679,20150714,4:27 PM,CAAQ,10.3,11.5,12.6,1.2
BNL1680,20150714,3:20 PM,ARFU2,11,12.4,14.1,1.4
BNL1681,20150714,3:40 PM,ARFU2,10.5,12.3,11.8,1.8
BNL1682,20150714,4:05 PM,CAAQ,11,12.1,13.2,1.1
BNL1683,20150714,6:14 PM,ARFU2,11.8,12.4,16.2,0.6
BNL1684,20150714,5:28 PM,ARFU2,10.1,10.4,12.2,0.3
BNL1685,20150714,5:40 PM,ARFU2,10.4,11.1,12.2,0.7
BNL1686,20150714,6:28 PM,ARFU2,11.3,11.8,13.6,0.5
BNL1687,20150714,6:00 PM,ARFU2,11.7,13.4,12.5,1.7
