Site,Date,SampleID,Species,LMA,CNratio,Cmass,Nmass,Carea,Narea
Seward_Teller,20170728,BNL13001,SAPU15,99.45,29.73,511.3,17.2,50.85,1.71
Seward_Teller,20170728,BNL13002,SAPU15,107.16,29.26,494.5,16.9,52.99,1.81
Seward_Teller,20170728,BNL13003,SAPU15,85.83,32.62,306.6,9.4,26.32,0.81
Seward_Teller,20170728,BNL13004,SAPU15,98.32,28.62,518.1,18.1,50.94,1.78
Seward_Teller,20170728,BNL13005,SAPU15,85.71,21.64,504.1,23.3,43.21,2
Seward_Teller,20170728,BNL13006,SAPU15,87.01,32.83,495.7,15.1,43.13,1.31
Seward_Teller,20170728,BNL13007,SAPU15,97.6,28.5,487.4,17.1,47.57,1.67
Seward_Teller,20170728,BNL13008,SAPU15,106.93,31.12,507.3,16.3,54.24,1.74
Seward_Teller,20170728,BNL13009,SAPU15,100.67,30.7,515.8,16.8,51.92,1.69
Seward_Teller,20170728,BNL13010,SAPU15,103.55,38.15,507.4,13.3,52.54,1.38
Seward_Teller,20170728,BNL13011,SAPU15,93.91,22.24,511.6,23,48.05,2.16
Seward_Teller,20170728,BNL13012,SAPU15,100.23,24.09,515.5,21.4,51.67,2.15
Seward_Teller,20170728,BNL13013,SAPU15,85.59,25.63,487,19,41.68,1.63
Seward_Teller,20170728,BNL13014,SAPU15,78.05,24.8,493.6,19.9,38.52,1.55
Seward_Teller,20170728,BNL13015,SAPU15,71.73,27.13,491,18.1,35.22,1.3
Seward_Teller,20170728,BNL13016,SAPU15,100.36,24.31,474,19.5,47.57,1.96
Seward_Teller,20170728,BNL13018,SAPU15,76.1,31.76,508.1,16,38.67,1.22
Seward_Teller,20170728,BNL13019,SAPU15,86.91,21.66,506.8,23.4,44.05,2.03
Seward_Teller,20170728,BNL13020,SAPU15,-9999,23.71,514.4,21.7,-9999,-9999
Seward_Teller,20170729,BNL13301,SAPU15,70.85,28.76,509,17.7,36.06,1.25
Seward_Teller,20170729,BNL13302,SAPU15,115.88,37.95,512.3,13.5,59.37,1.56
Seward_Teller,20170729,BNL13303,SAPU15,-9999,26.2,508.2,19.4,-9999,-9999
