Date,Species,SampleID,LMA,Cmass,Nmass,Carea,Narea,CNratio
20180725,ALVI5,BNL13320,89.80,502.70,23.30,45.14,2.09,21.58
20180725,ALVI5,BNL13316,107.50,502.70,27.60,54.04,2.97,18.21
20180725,ALVI5,BNL13317,83.55,501.40,26.30,41.89,2.20,19.06
20180725,ALVI5,BNL13314,95.42,503.40,25.80,48.04,2.46,19.51
20180725,ALVI5,BNL13028,85.89,504.40,29.40,43.32,2.53,17.16
20180725,ALVI5,BNL13313,92.26,490.50,22.60,45.25,2.09,21.70
20180725,ALVI5,BNL13318,94.57,499.30,28.10,47.22,2.66,17.77
20180725,ALVI5,BNL13319,98.38,507.40,30.10,49.92,2.96,16.86
20180725,ALVI5,BNL13315,85.40,500.60,31.30,42.75,2.67,15.99
20180725,BENA,BNL13332,100.47,508.20,22.40,51.06,2.25,22.69
20180725,BENA,BNL13322,104.56,524.10,21.20,54.80,2.22,24.72
20180725,BENA,BNL13333,93.76,512.40,23.20,48.04,2.18,22.09
20180725,BEGL,BNL13323,83.22,515.10,34.50,42.87,2.87,14.93
20180725,BEGL,BNL13324,93.25,514.70,23.00,48.00,2.14,22.38
20180725,BEGL,BNL13321,89.26,513.00,25.50,45.79,2.28,20.12
20180725,ARAL13,BNL13330,120.65,506.60,17.30,61.12,2.09,29.28
20180725,ARAL13,BNL13329,121.63,502.70,18.30,61.14,2.23,27.47
20180725,ARAL13,BNL13331,130.16,506.40,17.20,65.91,2.24,29.44
20180725,SAPU15,BNL13327,112.76,501.20,20.00,56.52,2.26,25.06
20180725,SAPU15,BNL13326,123.88,502.90,22.80,62.30,2.82,22.06
20180725,SAPU15,BNL13328,88.79,496.80,25.50,44.11,2.26,19.48
20180725,SAPU15,BNL13325,90.56,502.80,26.70,45.53,2.42,18.83
