Date,Species,SampleID,LMA,LWC,Cmass,Nmass,Carea,Narea,CNratio
20180725,ALVI5,BNL13320,89.8,54.85,502.7,23.3,45.14,2.09,21.58
20180725,ALVI5,BNL13316,107.5,56.49,502.7,27.6,54.04,2.97,18.21
20180725,ALVI5,BNL13317,83.55,57.30,501.4,26.3,41.89,2.2,19.06
20180725,ALVI5,BNL13314,95.42,55.74,503.4,25.8,48.04,2.46,19.51
20180725,ALVI5,BNL13028,85.89,57.04,504.4,29.4,43.32,2.53,17.16
20180725,ALVI5,BNL13313,92.26,53.88,490.5,22.6,45.25,2.09,21.7
20180725,ALVI5,BNL13318,94.57,59.91,499.3,28.1,47.22,2.66,17.77
20180725,ALVI5,BNL13319,98.38,58.69,507.4,30.1,49.92,2.96,16.86
20180725,ALVI5,BNL13315,85.4,58.94,500.6,31.3,42.75,2.67,15.99
20180725,BENA,BNL13332,100.47,50.29,508.2,22.4,51.06,2.25,22.69
20180725,BENA,BNL13322,104.56,57.41,524.1,21.2,54.8,2.22,24.72
20180725,BENA,BNL13333,93.76,52.42,512.4,23.2,48.04,2.18,22.09
20180725,BEGL,BNL13323,83.22,61.80,515.1,34.5,42.87,2.87,14.93
20180725,BEGL,BNL13324,93.25,57.43,514.7,23,48,2.14,22.38
20180725,BEGL,BNL13321,89.26,54.03,513,25.5,45.79,2.28,20.12
20180725,ARALA7,BNL13330,120.65,56.02,506.6,17.3,61.12,2.09,29.28
20180725,ARALA7,BNL13329,121.63,57.78,502.7,18.3,61.14,2.23,27.47
20180725,ARALA7,BNL13331,130.16,54.60,506.4,17.2,65.91,2.24,29.44
20180725,SAPU15,BNL13327,112.76,55.21,501.2,20,56.52,2.26,25.06
20180725,SAPU15,BNL13326,123.88,53.52,502.9,22.8,62.3,2.82,22.06
20180725,SAPU15,BNL13328,88.79,59.19,496.8,25.5,44.11,2.26,19.48
20180725,SAPU15,BNL13325,90.56,63.00,502.8,26.7,45.53,2.42,18.83
