Date,SampleID,Species,Plot,LMA,Cmass,Nmass,Carea,Narea
20190704,BNL12954,ALVI5,AS1,64.774,491.3,26.9,31.823,1.742
20190704,BNL12949,ALVI5,AS1,73.189,487.9,28.5,35.709,2.086
20190704,BNL12953,ALVI5,AS1,75.076,490.2,28.4,36.802,2.132
20190704,BNL12952,ALVI5,AS1,85.005,489.9,29,41.644,2.465
20190704,BNL12955,ALVI5,AS1,66.61,486.8,32.7,32.426,2.178
20190704,BNL12975,ALVI5,AS1,87.47,467.1,23.1,40.857,2.021
20190704,BNL12973,ALVI5,AS4,82.115,495.3,25.5,40.671,2.094
20190704,BNL12974,ALVI5,AS4,95.456,508.9,21.2,48.578,2.024
20190704,BNL12976,ALVI5,AS4,79.31,495.4,29.4,39.29,2.332
20190704,BNL12979,ALVI5,AS4,87.419,508.8,26.3,44.479,2.299
20190704,BNL12977,ALVI5,AS4,100.747,491.6,20.9,49.527,2.106
20190704,BNL12978,ALVI5,AS4,72.552,488.4,24.4,35.434,1.77
20190704,BNL12980,ALVI5,AS4,92.621,490,26,45.385,2.408
20190705,BNL12982,ALVI5,AS2,79.419,499.1,23.6,39.638,1.874
20190705,BNL12984,ALVI5,AS2,74.537,497.6,27.1,37.09,2.02
20190705,BNL12985,ALVI5,AS2,93.948,503.1,26.6,47.265,2.499
20190705,BNL12988,ALVI5,AS2,72.118,505.4,28,36.449,2.019
20190705,BNL12956,ALVI5,AS5,71.098,494.2,24.3,35.137,1.728
20190705,BNL12957,ALVI5,AS5,67.018,499.1,29.7,33.449,1.99
20190705,BNL12958,ALVI5,AS5,53.383,496.2,26.2,26.489,1.399
20190705,BNL12959,ALVI5,AS5,66.389,491.8,30.2,32.65,2.005
20190705,BNL12961,ALVI5,AS3,92.315,497.9,23.6,45.964,2.179
20190705,BNL12960,ALVI5,AS3,76.76,510.5,28.1,39.186,2.157
20190705,BNL12963,ALVI5,AS3,91.55,506.4,29.6,46.361,2.71
20190705,BNL12962,ALVI5,AS3,87.47,495.9,27.5,43.376,2.405
20190706,BNL13052,ALVI5,TT-WBT-5,94.611,491.1,24.2,46.463,2.29
20190706,BNL13053,ALVI5,TT-WBT-5,93.438,487.5,20.4,45.551,1.906
20190706,BNL13051,ALVI5,TT-WBT-5,95.07,494.7,24.9,47.031,2.367
20190706,BNL13402,ALVI5,KGIS-6,100.045,491.7,28.1,49.192,2.811
20190706,BNL13403,ALVI5,KGIS-6,82.788,505.7,29.8,41.866,2.467
20190706,BNL13404,ALVI5,KGIS-6,101.96,500.7,25.1,51.051,2.559
20190706,BNL13401,ALVI5,KGIS-6,102.141,507.4,21.7,51.826,2.216
20190708,BNL13038,SAPU15,-9999,95.336,495.2,20.6,47.21,1.964
20190708,BNL14202,SAPU15,-9999,100.163,373.5,14.2,37.411,1.422
20190708,BNL14203,SAGL,-9999,98.893,469.2,20.1,46.401,1.988
20190708,BNL14204,SAPU15,-9999,95.719,501.3,22.6,47.984,2.163
20190708,BNL14205,SARI4,-9999,92.861,465.8,25.6,43.254,2.377
20190708,BNL14206,SAPU15,-9999,104.609,510.8,23,53.435,2.406
