Date,SampleID,Species,Tcanopy,TairCanopy,Tleaf,TairLeaf
20190704,BNL12954,ALVI5,12.4,19.4,21.7,-9999
20190704,BNL12949,ALVI5,12.3,20.8,21.2,-9999
20190704,BNL12953,ALVI5,12.7,18.7,22.8,-9999
20190704,BNL12952,ALVI5,12.7,15.9,19.4,-9999
20190704,BNL12955,ALVI5,13.8,15.7,19.2,-9999
20190704,BNL12975,ALVI5,17,22,20.4,-9999
20190704,BNL12973,ALVI5,18.6,21.2,17,-9999
20190704,BNL12974,ALVI5,17.6,22.2,18,-9999
20190704,BNL12976,ALVI5,17.4,18.6,19.6,-9999
20190704,BNL12979,ALVI5,16.1,17.9,19.7,-9999
20190704,BNL12977,ALVI5,15.5,17.3,18.7,-9999
20190704,BNL12978,ALVI5,15.9,18.8,18.5,-9999
20190704,BNL12980,ALVI5,14.2,15.6,20,-9999
20190705,BNL12982,ALVI5,16.6,17.7,23.8,26.1
20190705,BNL12984,ALVI5,17,16.6,26,24
20190705,BNL12985,ALVI5,16.6,19,26.1,28.01
20190705,BNL12988,ALVI5,18,22.4,28.6,27.4
20190705,BNL12956,ALVI5,18.5,22.2,27,25.7
20190705,BNL12957,ALVI5,18.1,20.1,25.5,25.4
20190705,BNL12958,ALVI5,18,20.2,23.3,25.4
20190705,BNL12959,ALVI5,17.2,21.8,24.9,26.6
20190705,BNL12961,ALVI5,16.8,20.3,24.7,26.2
20190705,BNL12960,ALVI5,19.4,23.8,28.4,27
20190705,BNL12963,ALVI5,18.4,23.5,24.8,26.9
20190705,BNL12962,ALVI5,20.6,22.8,29.4,27
20190706,BNL13052,ALVI5,24.4,24.8,28.1,27.9
20190706,BNL13053,ALVI5,22.9,24.3,25.8,27.7
20190706,BNL13051,ALVI5,23.5,23.1,25.4,27.3
20190706,BNL13402,ALVI5,27.5,29,25,25.4
20190706,BNL13403,ALVI5,27.2,27.1,23.8,25.7
20190706,BNL13404,ALVI5,28.2,26.4,27.7,25.1
20190706,BNL13401,ALVI5,26.8,25.7,28.2,26.8
20190708,BNL13038,SAPU15,22,24.5,29.1,30.4
20190708,BNL14202,SAPU15,22.2,25.2,27.7,30.9
20190708,BNL14203,SAPU15,22.4,25.1,28.1,30.1
20190708,BNL14204,SAPU15,21.8,26.2,27.5,31
20190708,BNL14205,SARI4,22.9,26.9,26.8,30.6
20190708,BNL14206,SAPU15,23.4,26.1,30,30.6
20190708,BNL14207,SAPU15,23.5,27.3,29.3,29.2
20190708,BNL14208,SAPU15,23.8,27.2,27.9,30.6
20190708,BNL14209,SAPU15,24,27.2,28.1,30.7
20190708,BNL14210,SARI4,23.2,27.9,29.3,32.2
20190708,BNL15358,SARI4,26.6,30,27.4,30.2
20190708,BNL15359,SAPU15,27.8,31.9,28,30.1
20190708,BNL14206analog,SAPU15,-9999,-9999,29,30.6
